name,unit,dataset_id,id
"Agricultural machinery, tractors",,0,0
Fertilizer consumption (% of fertilizer production),,0,1
Fertilizer consumption (kilograms per hectare of arable land),,0,2
Agricultural land (sq. km),,1,3
Agricultural land (% of land area),,1,4
Arable land (hectares),,1,5
Arable land (hectares per person),,1,6
Arable land (% of land area),,1,7
Land under cereal production (hectares),,0,8
Permanent cropland (% of land area),,1,9
Rural land area where elevation is below 5 meters (sq. km),,1,10
Rural land area where elevation is below 5 meters (% of total land area),,1,11
Urban land area where elevation is below 5 meters (sq. km),,1,12
Urban land area where elevation is below 5 meters (% of total land area),,1,13
Land area where elevation is below 5 meters (% of total land area),,1,14
Forest area (sq. km),,1,15
Forest area (% of land area),,1,16
Agricultural irrigated land (% of total agricultural land),,1,17
Average precipitation in depth (mm per year),,1,18
Land area (sq. km),,1,19
Rural land area (sq. km),,1,20
Urban land area (sq. km),,1,21
"Agricultural machinery, tractors per 100 sq. km of arable land",,0,22
Cereal production (metric tons),,0,23
Crop production index (2004-2006 = 100),,0,24
Food production index (2004-2006 = 100),,0,25
Livestock production index (2004-2006 = 100),,0,26
Surface area (sq. km),,1,27
Cereal yield (kg per hectare),,0,28
Trade in services (% of GDP),,2,29
"Communications, computer, etc. (% of service imports, BoP)",,2,30
"Primary income payments (BoP, current US$)",,2,31
"Imports of goods and services (BoP, current US$)",,2,32
"Insurance and financial services (% of service imports, BoP)",,2,33
"Goods imports (BoP, current US$)",,2,34
"Service imports (BoP, current US$)",,2,35
"Charges for the use of intellectual property, payments (BoP, current US$)",,2,36
"Imports of goods, services and primary income (BoP, current US$)",,2,37
"Transport services (% of service imports, BoP)",,2,38
"Travel services (% of service imports, BoP)",,2,39
"Foreign direct investment, net outflows (BoP, current US$)",,3,40
"Foreign direct investment, net outflows (% of GDP)",,3,41
"Secondary income, other sectors, payments (BoP, current US$)",,4,42
"Personal remittances, paid (current US$)",,4,43
"Current account balance (BoP, current US$)",,5,44
Current account balance (% of GDP),,5,45
"Net financial account (BoP, current US$)",,3,46
"Net primary income (BoP, current US$)",,2,47
"Net trade in goods and services (BoP, current US$)",,5,48
"Net trade in goods (BoP, current US$)",,5,49
"Net errors and omissions (BoP, current US$)",,3,50
"Foreign direct investment, net (BoP, current US$)",,3,51
"Portfolio Investment, net (BoP, current US$)",,3,52
"Reserves and related items (BoP, current US$)",,3,53
"Net secondary income (BoP, current US$)",,4,54
"Net capital account (BoP, current US$)",,3,55
"Grants, excluding technical cooperation (BoP, current US$)",,6,56
"Technical cooperation grants (BoP, current US$)",,6,57
"ICT service exports (BoP, current US$)",,7,58
"ICT service exports (% of service exports, BoP)",,7,59
"Communications, computer, etc. (% of service exports, BoP)",,2,60
"Primary income receipts (BoP, current US$)",,2,61
"Exports of goods and services (BoP, current US$)",,2,62
"Insurance and financial services (% of service exports, BoP)",,2,63
"Goods exports (BoP, current US$)",,2,64
"Service exports (BoP, current US$)",,2,65
"Charges for the use of intellectual property, receipts (BoP, current US$)",,2,66
"Exports of goods, services and primary income (BoP, current US$)",,2,67
"Transport services (% of service exports, BoP)",,2,68
"Travel services (% of service exports, BoP)",,2,69
"Foreign direct investment, net inflows (BoP, current US$)",,3,70
"Foreign direct investment, net inflows (% of GDP)",,3,71
"Portfolio equity, net inflows (BoP, current US$)",,3,72
"Secondary income receipts (BoP, current US$)",,4,73
"Personal transfers, receipts (BoP, current US$)",,4,74
"Personal remittances, received (current US$)",,4,75
"Personal remittances, received (% of GDP)",,4,76
S&P Global Equity Indices (annual % change),,8,77
Market capitalization of listed domestic companies (current US$),,8,78
Market capitalization of listed domestic companies (% of GDP),,8,79
"Listed domestic companies, total",,8,80
"Stocks traded, total value (current US$)",,8,81
"Stocks traded, total value (% of GDP)",,8,82
"Stocks traded, turnover ratio of domestic shares (%)",,8,83
"Net bilateral aid flows from DAC donors, Australia (current US$)",,9,84
"Net bilateral aid flows from DAC donors, Austria (current US$)",,9,85
"Net bilateral aid flows from DAC donors, Belgium (current US$)",,9,86
"Net bilateral aid flows from DAC donors, Canada (current US$)",,9,87
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",,9,88
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",,9,89
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",,9,90
"Net bilateral aid flows from DAC donors, Germany (current US$)",,9,91
"Net bilateral aid flows from DAC donors, Denmark (current US$)",,9,92
"Net bilateral aid flows from DAC donors, Spain (current US$)",,9,93
"Net bilateral aid flows from DAC donors, Finland (current US$)",,9,94
"Net bilateral aid flows from DAC donors, France (current US$)",,9,95
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",,9,96
"Net bilateral aid flows from DAC donors, Greece (current US$)",,9,97
"Net bilateral aid flows from DAC donors, Ireland (current US$)",,9,98
"Net bilateral aid flows from DAC donors, Iceland (current US$)",,9,99
"Net bilateral aid flows from DAC donors, Italy (current US$)",,9,100
"Net bilateral aid flows from DAC donors, Japan (current US$)",,9,101
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",,9,102
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",,9,103
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",,9,104
"Net bilateral aid flows from DAC donors, Norway (current US$)",,9,105
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",,9,106
"Net bilateral aid flows from DAC donors, Poland (current US$)",,9,107
"Net bilateral aid flows from DAC donors, Portugal (current US$)",,9,108
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",,9,109
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",,9,110
"Net bilateral aid flows from DAC donors, Sweden (current US$)",,9,111
