Entity,Year,Population
Africa,-10000,241901
Africa,-9000,342782
Africa,-8000,490284
Africa,-7000,707844
Africa,-6000,1031529
Africa,-5000,1517227
Africa,-4000,2352091
Africa,-3000,4147835
Africa,-2000,6259743
Africa,-1000,9263872
Africa,0,15185668
Africa,100,16626739
Africa,200,18269986
Africa,300,19315228
Africa,400,20676601
Africa,500,22307213
Africa,600,24445556
Africa,700,28184551
Africa,800,32914604
Africa,900,37126286
Africa,1000,41465159
Africa,1100,44318856
Africa,1200,47743011
Africa,1300,53531813
Africa,1400,57880048
Africa,1500,62206640
Africa,1600,72815091
Africa,1700,80209441
Africa,1710,81333556
Africa,1720,81582976
Africa,1730,81891220
Africa,1740,82256499
Africa,1750,82677325
Africa,1760,83152514
Africa,1770,83681188
Africa,1780,84262792
Africa,1790,84900352
Asia,-10000,914198
Asia,-9000,1557637
Asia,-8000,2415036
Asia,-7000,3791700
Asia,-6000,6142399
Asia,-5000,10296941
Asia,-4000,17179857
Asia,-3000,27662911
Asia,-2000,45947827
Asia,-1000,74546429
Asia,0,121526575
Asia,100,125047832
Asia,200,128691577
Asia,300,131674996
Asia,400,134818478
Asia,500,138098286
Asia,600,141597605
Asia,700,148147039
Asia,800,154876682
Asia,900,172793269
Asia,1000,188585413
Asia,1100,232217657
Asia,1200,250480641
Asia,1300,221290613
Asia,1400,229632561
Asia,1500,272967243
Asia,1600,364970700
Asia,1700,387623416
Asia,1710,409051760
Asia,1720,422732345
Asia,1730,428466821
Asia,1740,505257874
Asia,1750,555108369
Asia,1760,572221364
Asia,1770,585400132
Asia,1780,664648174
Asia,1790,690969249
Europe,-10000,706597
Europe,-9000,997425
Europe,-8000,1419331
Europe,-7000,2034939
Europe,-6000,2938442
Europe,-5000,4273580
Europe,-4000,6256696
Europe,-3000,9272386
Europe,-2000,14363294
Europe,-1000,22834477
Europe,0,38492730
Europe,100,39600740
Europe,200,40762886
Europe,300,38894398
Europe,400,37083923
Europe,500,32738693
Europe,600,28298919
Europe,700,30122550
Europe,800,32164486
Europe,900,35550031
Europe,1000,38951890
Europe,1100,46999895
Europe,1200,62684246
Europe,1300,82290913
Europe,1400,63762266
Europe,1500,84369667
Europe,1600,105798983
Europe,1700,121197135
Europe,1710,129225230
Europe,1720,135675971
Europe,1730,142272529
Europe,1740,149024609
Europe,1750,155942986
Europe,1760,163034888
Europe,1770,170222961
Europe,1780,178045405
Europe,1790,186443810
Latin America,-10000,278282
Latin America,-9000,362548
Latin America,-8000,489240
Latin America,-7000,679625
Latin America,-6000,967278
Latin America,-5000,1405425
Latin America,-4000,2093001
Latin America,-3000,3164199
Latin America,-2000,4850915
Latin America,-1000,7579675
Latin America,0,11981719
Latin America,100,12694655
Latin America,200,13450847
Latin America,300,14253298
Latin America,400,15105313
Latin America,500,16010564
Latin America,600,16973173
Latin America,700,17997829
Latin America,800,19089954
Latin America,900,21702981
Latin America,1000,24329090
Latin America,1100,27235355
Latin America,1200,30162988
Latin America,1300,33126607
Latin America,1400,36136711
Latin America,1500,39219552
Latin America,1600,8808243
Latin America,1700,12259440
Latin America,1710,12869362
Latin America,1720,13503017
Latin America,1730,14164007
Latin America,1740,14856724
Latin America,1750,15586479
Latin America,1760,16359871
Latin America,1770,17185105
Latin America,1780,18086046
Latin America,1790,19058213
North America,-10000,38894
North America,-9000,52001
North America,-8000,69550
North America,-7000,93055
North America,-6000,124556
North America,-5000,166800
North America,-4000,223486
North America,-3000,299613
North America,-2000,401930
North America,-1000,539578
North America,0,724947
North America,100,761624
North America,200,800250
North America,300,840937
North America,400,883809
North America,500,929001
North America,600,976659
North America,700,1026949
North America,800,1080062
North America,900,1202674
North America,1000,1325405
North America,1100,1440107
North America,1200,1602399
North America,1300,1742087
North America,1400,1930795
North America,1500,2099760
North America,1600,984311
North America,1700,1227479
North America,1710,1695439
North America,1720,2173131
North America,1730,2657753
North America,1740,3150680
North America,1750,3653560
North America,1760,4168374
North America,1770,4697496
North America,1780,5243777
North America,1790,5810639
Oceania,-10000,251343
Oceania,-9000,252015
Oceania,-8000,253022
Oceania,-7000,254533
Oceania,-6000,256800
Oceania,-5000,260199
Oceania,-4000,265299
Oceania,-3000,272949
Oceania,-2000,284423
Oceania,-1000,301634
Oceania,0,327451
Oceania,100,330602
Oceania,200,334008
Oceania,300,337698
Oceania,400,341709
Oceania,500,346080
Oceania,600,350857
Oceania,700,356094
Oceania,800,361852
Oceania,900,372205
Oceania,1000,383237
Oceania,1100,395048
Oceania,1200,407755
Oceania,1300,421499
Oceania,1400,432446
Oceania,1500,504796
Oceania,1600,578789
Oceania,1700,650634
Oceania,1710,649577
Oceania,1720,659671
Oceania,1730,670615
Oceania,1740,682500
Oceania,1750,695440
Oceania,1760,709566
Oceania,1770,725037
Oceania,1780,742048
Oceania,1790,761331
World,-10000,4000000
World,-5000,5000000
World,-4000,7000000
World,-3000,14000000
World,-2000,27000000
World,-1000,50000000
World,-500,100000000
World,-200,150000000
World,1,170000000
World,200,190000000
World,400,190000000
World,500,190000000
World,600,200000000
World,700,207000000
World,800,224000000
World,900,226000000
World,1000,254000000
World,1100,301000000
World,1200,400000000
World,1250,416000000
World,1300,432000000
World,1340,443000000
World,1400,374000000
World,1500,460000000
World,1600,579000000
World,1650,579000000
World,1700,679000000
World,1750,770000000
