id,name,description
AE,ASTI R&D Indicators: ASTI-Expenditures,"ASTI collects primary time-series data on agricultural research capacity and spending levels through national survey rounds in over 80 low-and middle-income countries. Data collection is carried out by country focal points, who distribute survey forms to all agencies known to conduct agricultural research in a given country, including government, nonprofit, and higher education agencies. Private-for profit sector coverage is limited, and hence excluded from this dataset. More detailed country- and regional-level data on agricultural research capacity, investment, and outputs are available on www.asti.cgiar.org/data."
AF,ASTI R&D Indicators: ASTI-Researchers,"ASTI collects primary time-series data on agricultural research capacity and spending levels through national survey rounds in over 80 low-and middle-income countries. Data collection is carried out by country focal points, who distribute survey forms to all agencies known to conduct agricultural research in a given country, including government, nonprofit, and higher education agencies. Private-for profit sector coverage is limited, and hence excluded from this dataset. More detailed country- and regional-level data on agricultural research capacity, investment, and outputs are available on www.asti.cgiar.org/data."
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,"Commodity balances show balances of food and agricultural commodities in a standardized form. The scope of standardization is to present these data in a less detailed form for a selected number of commodities without causing any significant loss of the basic variables monitoring the agricultural sector. The selected commodities include the equivalents of their derived products falling in the same commodity group, but exclude the equivalents of by-products and derived commodities, which through processing, change their nature and become part of different commodity groups. A number of commodity/item aggregates have been included to offer synthetic information. Some of these are included with the aim of simplifying the extraction of all component commodities. Data shown in the item aggregates represent the sum of the component commodities as presented in this domain (standardized form). Commodity coverage: The commodity list in this domain has been generally confined to primary commodities - except for sugar, oils and fats and beverages.  Whenever possible trade in processed commodities is expressed in the originating primary commodity equivalent. Rice is expressed in milled equivalent."
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,"Food supply data is some of the most important data in FAOSTAT. In fact, this data is for the basis for estimation of global and national undernourishment assessment, when it is combined with parameters and other data sets. This data has been the foundation of food balance sheets ever since they were first constructed. The data is accessed by both business and governments for economic analysis and policy setting, as well as being used by the academic community."
CC,Food Balance: Food Supply - Crops Primary Equivalent,"Food supply data is some of the most important data in FAOSTAT. In fact, this data is for the basis for estimation of global and national undernourishment assessment, when it is combined with parameters and other data sets. This data has been the foundation of food balance sheets ever since they were first constructed. The data is accessed by both business and governments for economic analysis and policy setting, as well as being used by the academic community."
CISP,Investment: Country Investment Statistics Profile,"The Country Investment Statistics Profile domain provides an overall view of the information about investment in agriculture at country level. Data are collected from other FAOSTAT domains, in particular from Investment and Macro Indicators. The purpose is to give to the users a comprehensive dataset that allows making comparison among the different flows to agriculture within each country. The dataset consists of a time series of more than 200 countries, from 2001 onwards. The information included regards the levels of central government expenditure on agriculture, credit to agriculture, official development flows (commitment) and foreign direct investment on agriculture. Besides the levels of investment flows, the dataset also includes the information on agriculture value added and agriculture gross fixed capital formation. Additional reported indicators are -the share of total flow allocated to agriculture (for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows, Foreign direct Investment to Agriculture), -the agriculture share of total GDP, -the agriculture share of total gross fixed capital formation, -the agriculture orientation index (ratio of the agriculture share of total flow, over the agriculture value added share of total GDP) for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows to Agriculture, -the investment agriculture orientation index (which is the ratio between the agriculture share of gross fixed capital formation over the agriculture share of GDP), -the annual growth,-the investment ratio (ratio between gross fixed capital formation over GDP),-the agriculture investment ratio (ratio between agriculture gross fixed capital formation and agriculture value added). Though the goal is to have complete and consistent coverage for all countries, relatively low response rates for the different databases belonging to the investment domain and country level differences in data collection and reporting creates some challenges in providing a complete and consistent global dataset. The Country Investment Statistics Profile domain provides an overall view of the information about investment in agriculture at country level. Data are collected from other FAOSTAT domains, in particular from Investment and Macro Indicators. The purpose is to give to the users a comprehensive dataset that allows making comparison among the different flows to agriculture within each country. The dataset consists of a time series of more than 200 countries, from 2001 onwards. The information included regards the levels of central government expenditure on agriculture, credit to agriculture, official development flows (commitment) and foreign direct investment on agriculture. Besides the levels of investment flows, the dataset also includes the information on agriculture value added and agriculture gross fixed capital formation. Additional reported indicators are -the share of total flow allocated to agriculture (for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows, Foreign direct Investment to Agriculture), -the agriculture share of total GDP, -the agriculture share of total gross fixed capital formation, -the agriculture orientation index (ratio of the agriculture share of total flow, over the agriculture value added share of total GDP) for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows to Agriculture, -the investment agriculture orientation index (which is the ratio between the agriculture share of gross fixed capital formation over the agriculture share of GDP), -the annual growth,-the investment ratio (ratio between gross fixed capital formation over GDP),-the agriculture investment ratio (ratio between agriculture gross fixed capital formation and agriculture value added). Though the goal is to have complete and consistent coverage for all countries, relatively low response rates for the different databases belonging to the investment domain and country level differences in data collection and reporting creates some challenges in providing a complete and consistent global dataset."
CL,Food Balance: Food Supply - Livestock and Fish Primary Equivalent,"Food supply data is some of the most important data in FAOSTAT. In fact, this data is for the basis for estimation of global and national undernourishment assessment, when it is combined with parameters and other data sets. This data has been the foundation of food balance sheets ever since they were first constructed. The data is accessed by both business and governments for economic analysis and policy setting, as well as being used by the academic community."
CS,Macro-Statistics: Capital Stock,"As part of the FAO Agriculture Capital Stock (ACS) database, ESS-FAO publishes country-by-country data on physical investment in agriculture, forestry and fishing as measured by the System of National Accounts (SNA) concept of Gross Fixed Capital Formation (GFCF). Additional variables included in the ACS are Net and Gross Capital Stock, Consumption of Fixed Capital, the Agriculture Investment ratio, and the Gross Fixed Capital Formation Agriculture Orientation Index.   The FAO Agriculture Capital Stock Database is an analytical database: whenever available, the database integrates official National Accounts data harvested from the UNSD National Accounts Main Aggregates Database (UNSD AMA) and the OECD Annual National Accounts Database (OECD ANA). If the full set of official data is not available for any specific country, imputation methods are applied to obtain estimates over the complete time series. Many data points in ACS are estimated and are flagged as such; they do not represent official Member countries' submissions.  With a view of producing internationally comparable net capital stock estimates, we employ the Perpetual Inventory Method (PIM) with a time invariant geometric depreciation rate to impute missing data. The Perpetual Inventory Method is a well-established economic model to calculate Net Capital Stocks (NCS) and Consumption of Fixed Capital (CFC) from time series of Gross Fixed Capital Formation (GFCF). Specifically, annual measures of the NCS are obtained from cumulating historical series on physical investment flows and deducting the part of assets that are depreciated (the Consumption of Fixed Capital that occurs in every period).   In order to implement the PIM, long time series on aggregate GFCF in agriculture, forestry and fishing is required. As much as possible, we rely on National Accounts data published by the OECD and UNSD. When country data are partially or fully missing, we employ econometric techniques to impute missing observations. Depending on the pattern of data missingness for the countries, different imputation methods are applied (selected from the ARMAX, PANEL and OLS classes of econometric models). Working with the above-mentioned data sources, we can rely on country data - though very incomplete in some cases - on agriculture GFCF, CFC and/or NCS for 103 countries to guide us in our data gap filling exercise. For the other 104 countries included in the database, we fully rely on imputation methods. For a detailed description of the imputation methods and our PIM framework, refer to box 20.5.   All data series in the database are provided both in national currencies and in US dollars as well as in current prices and constant prices with base year 2010. Calculation of constant price series is done applying GFCF deflator series. When OECD National Accounts data are available, an OECD implicit deflator for agriculture GFCF is calculated and used. For other cases, the implicit deflators on GFCF for total economy available from the FAOSTAT Deflators database is used."
EF,Agri-Environmental Indicators: Fertilizers indicators,"The data describe the use of chemical and mineral fertilizers per area of cropland (which corresponds to the sum of arable land and permanent crops) at national, regional, and global level in a time series from 2002 to 2017"
EI,Agri-Environmental Indicators: Emissions intensities,Intensities of greenhouse gas (GHG) emissions by unit of product for a selection of agricultural commodities.
