Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Application type","Stage of procedure","Cases / Persons",applied
2000,Afghanistan,AFG,-,-,G,V,FI,C,8007
2000,Afghanistan,AFG,-,-,U,V,FI,P,4318
2000,Afghanistan,AFG,-,-,G,V,AR,C,179
2000,Afghanistan,AFG,-,-,G,V,FA,P,4729
2000,Afghanistan,AFG,-,-,G,V,FI,P,262371
2000,Afghanistan,AFG,-,-,G,V,NA,P,5380
2000,Afghanistan,AFG,-,-,G,V,RA,P,5756
2000,Afghanistan,AFG,-,-,U,V,FI,C,94
2000,Afghanistan,AFG,-,-,G,V,EO,C,225
2000,Afghanistan,AFG,-,-,G,V,IN,C,218
2000,Albania,ALB,-,-,G,V,FI,P,4795
2000,Albania,ALB,-,-,G,V,AR,C,24
2000,Albania,ALB,-,-,G,V,FI,C,1549
2000,Albania,ALB,-,-,G,V,FA,P,260
2000,Albania,ALB,-,-,G,V,AR,P,138
2000,Albania,ALB,-,-,G,V,NA,P,346
2000,Albania,ALB,-,-,G,V,RA,P,163
2000,Albania,ALB,-,-,G,V,EO,C,1563
2000,Albania,ALB,-,-,G,V,IN,C,918
2000,Algeria,DZA,-,-,G,V,AR,C,45
2000,Algeria,DZA,-,-,G,V,FI,C,1794
2000,Algeria,DZA,-,-,G,V,FA,P,108
2000,Algeria,DZA,-,-,U,V,FI,P,63
2000,Algeria,DZA,-,-,G,V,FI,P,5133
2000,Algeria,DZA,-,-,G,V,AR,P,1133
2000,Algeria,DZA,-,-,G,V,NA,P,1379
2000,Algeria,DZA,-,-,G,V,RA,P,458
2000,Algeria,DZA,-,-,U,V,FI,C,30
2000,Algeria,DZA,-,-,G,V,EO,C,105
2000,Algeria,DZA,-,-,G,V,IN,C,52
2000,Angola,AGO,-,-,G,V,AR,C,15
2000,Angola,AGO,-,-,G,V,FI,C,817
2000,Angola,AGO,-,-,G,V,FA,P,114
2000,Angola,AGO,-,-,G,V,FI,P,5270
2000,Angola,AGO,-,-,U,V,FI,C,104
2000,Angola,AGO,-,-,G,V,AR,P,173
2000,Angola,AGO,-,-,U,V,FI,P,84
2000,Angola,AGO,-,-,G,V,NA,P,346
2000,Angola,AGO,-,-,G,V,RA,P,111
2000,Angola,AGO,-,-,G,V,EO,C,57
2000,Angola,AGO,-,-,G,V,IN,C,61
2000,"Antigua and Barbuda",ATG,-,-,G,V,FI,P,5
2000,Egypt,EGY,-,-,G,V,AR,C,53
2000,Egypt,EGY,-,-,G,V,FI,C,99
2000,Egypt,EGY,-,-,G,V,FA,P,18
2000,Egypt,EGY,-,-,G,V,FI,P,323
2000,Egypt,EGY,-,-,U,V,FI,P,90
2000,Egypt,EGY,-,-,G,V,NA,P,118
2000,Egypt,EGY,-,-,G,V,RA,P,41
2000,Egypt,EGY,-,-,G,V,EO,C,458
2000,Egypt,EGY,-,-,G,V,IN,C,543
2000,Argentina,ARG,-,-,G,V,AR,C,5
2000,Argentina,ARG,-,-,G,V,FI,C,5
2000,Argentina,ARG,-,-,G,V,FI,P,1445
2000,Argentina,ARG,-,-,G,V,EO,C,156
2000,Argentina,ARG,-,-,G,V,IN,C,12
2000,Armenia,ARM,-,-,G,V,FI,P,5856
2000,Armenia,ARM,-,-,G,V,AR,C,53
2000,Armenia,ARM,-,-,G,V,FI,C,288
2000,Armenia,ARM,-,-,G,V,FA,P,178
2000,Armenia,ARM,-,-,G,V,AR,P,218
2000,Armenia,ARM,-,-,G,V,NA,P,903
2000,Armenia,ARM,-,-,G,V,RA,P,413
2000,Armenia,ARM,-,-,U,V,FI,P,15
2000,Armenia,ARM,-,-,G,V,EO,C,1042
2000,Armenia,ARM,-,-,G,V,IN,C,1758
2000,Australia,AUS,-,-,G,V,FI,P,5
2000,Australia,AUS,-,-,G,V,EO,C,5
2000,Austria,AUT,-,-,G,V,FI,P,5
2000,Austria,AUT,-,-,G,V,EO,C,5
2000,Azerbaijan,AZE,-,-,G,V,FA,P,34
2000,Azerbaijan,AZE,-,-,G,V,FI,P,2698
2000,Azerbaijan,AZE,-,-,G,V,AR,C,5
