Country,Year,undesa_international_migrants_by_origin
World,1990,152986157
Sub-Saharan Africa,1990,15334807
Northern Africa and Western Asia,1990,16365218
Central and Southern Asia,1990,31104020
Eastern and South-Eastern Asia,1990,14774419
Latin America and the Caribbean,1990,15273399
Oceania (excluding Australia and New Zealand),1990,272517
Australia and New Zealand,1990,689030
Europe and Northern America,1990,50532413
Developed regions,1990,51826246
Less developed regions,1990,92519577
"Less developed regions, excluding least developed countries",1990,62696205
"Less developed regions, excluding China",1990,87652367
Least developed countries,1990,29823372
Land-locked Developing Countries (LLDC),1990,25086015
Small island developing States (SIDS),1990,5452503
High-income countries,1990,34008977
Middle-income countries,1990,88958999
Upper-middle-income countries,1990,46251718
Lower-middle-income countries,1990,42707281
Low-income countries,1990,21142448
Africa,1990,20621464
Eastern Africa,1990,7784743
Burundi,1990,337100
Comoros,1990,40079
Djibouti,1990,5308
Eritrea,1990,170603
Ethiopia,1990,1689941
Kenya,1990,250332
Madagascar,1990,59415
Malawi,1990,143436
Mauritius,1990,110707
Mayotte,1990,1835
Mozambique,1990,2222354
Reunion,1990,3087
Rwanda,1990,547717
Seychelles,1990,35633
Somalia,1990,848055
South Sudan,1990,514943
Uganda,1990,311591
Tanzania,1990,203043
Zambia,1990,85201
Zimbabwe,1990,204363
Middle Africa,1990,1922243
Angola,1990,824886
Cameroon,1990,115835
Central African Republic,1990,46354
Chad,1990,336798
Congo,1990,96370
Democratic Republic of Congo,1990,436513
Equatorial Guinea,1990,36175
Gabon,1990,15347
Sao Tome and Principe,1990,13965
Northern Africa,1990,5286657
Algeria,1990,921665
Egypt,1990,1321915
Libya,1990,76239
Morocco,1990,1748116
Sudan,1990,584935
Tunisia,1990,465549
Western Sahara,1990,168238
Southern Africa,1990,576752
Botswana,1990,26048
Eswatini,1990,35179
Lesotho,1990,191328
Namibia,1990,16077
South Africa,1990,308120
Western Africa,1990,5051069
Benin,1990,234314
Burkina Faso,1990,1021331
Cape Verde,1990,91363
Cote d'Ivoire,1990,366336
Gambia,1990,36280
Ghana,1990,371157
Guinea,1990,352763
Guinea-Bissau,1990,55406
Liberia,1990,516878
Mali,1990,647426
Mauritania,1990,134478
Niger,1990,149777
Nigeria,1990,446753
Saint Helena,1990,884
Senegal,1990,370243
Sierra Leone,1990,61853
Togo,1990,193827
Asia,1990,56957000
Central Asia,1990,5719892
Kazakhstan,1990,2971634
Kyrgyzstan,1990,522574
Tajikistan,1990,537699
Turkmenistan,1990,260005
Uzbekistan,1990,1427980
Eastern Asia,1990,7049024
China,1990,4231625
Hong Kong,1990,549125
Macao,1990,86460
Taiwan,1990,0
North Korea,1990,39383
Japan,1990,604803
Mongolia,1990,24466
South Korea,1990,1513162
South-Eastern Asia,1990,7725395
Brunei,1990,26323
Cambodia,1990,355428
Indonesia,1990,1622259
Laos,1990,483008
Malaysia,1990,560353
Myanmar,1990,685308
Philippines,1990,2012499
Singapore,1990,156444
Thailand,1990,306924
Timor-Leste,1990,11261
Vietnam,1990,1505588
Southern Asia,1990,25384128
Afghanistan,1990,7679582
Bangladesh,1990,5450443
Bhutan,1990,28461
India,1990,6619431
Iran,1990,631196
Maldives,1990,2192
Nepal,1990,748053
Pakistan,1990,3341086
Sri Lanka,1990,883684
Western Asia,1990,11078561
Armenia,1990,899678
Azerbaijan,1990,1634157
Bahrain,1990,12817
Cyprus,1990,174370
Georgia,1990,919438
Iraq,1990,642933
Israel,1990,279625
Jordan,1990,313621
Kuwait,1990,81583
Lebanon,1990,507722
Oman,1990,12504
Qatar,1990,12175
Saudi Arabia,1990,107045
Palestine,1990,1812673
Syria,1990,620285
Turkey,1990,2512944
United Arab Emirates,1990,79499
Yemen,1990,455492
Europe,1990,47730278
Eastern Europe,1990,24779673
Belarus,1990,1767600
Bulgaria,1990,612960
Czechia,1990,564746
Hungary,1990,391583
Poland,1990,1673426
Moldova,1990,625680
Romania,1990,811853
Russia,1990,12653331
Slovakia,1990,132977
Ukraine,1990,5545517
Northern Europe,1990,6227251
Channel Islands,1990,18726
Denmark,1990,201514
Estonia,1990,113860
Faeroe Islands,1990,7518
Finland,1990,250610
Iceland,1990,17597
Ireland,1990,917101
Isle of Man,1990,10735
Latvia,1990,215070
Lithuania,1990,340973
Norway,1990,138289
Sweden,1990,205942
United Kingdom,1990,3789316
Southern Europe,1990,10622826
Albania,1990,180204
Andorra,1990,3740
Bosnia and Herzegovina,1990,861760
Croatia,1990,425544
Gibraltar,1990,11989
Greece,1990,1022125
Vatican,1990,10
Italy,1990,3350982
Malta,1990,110738
Montenegro,1990,77384
North Macedonia,1990,432070
