Country,Year,undesa_five_year_change_in_international_migrants_by_origin
World,1995,8303819
Sub-Saharan Africa,1995,1154166
Northern Africa and Western Asia,1995,1704219
Central and Southern Asia,1995,-2034037
Eastern and South-Eastern Asia,1995,3086504
Latin America and the Caribbean,1995,4396305
Oceania (excluding Australia and New Zealand),1995,40544
Australia and New Zealand,1995,69204
Europe and Northern America,1995,1049751
Developed regions,1995,1167445
Less developed regions,1995,8299211
"Less developed regions, excluding least developed countries",1995,10005245
"Less developed regions, excluding China",1995,7428766
Least developed countries,1995,-1706034
Land-locked Developing Countries (LLDC),1995,-1211238
Small island developing States (SIDS),1995,1119858
High-income countries,1995,1668990
Middle-income countries,1995,9970759
Upper-middle-income countries,1995,6807553
Lower-middle-income countries,1995,3163206
Low-income countries,1995,-2182965
Africa,1995,1719930
Eastern Africa,1995,-49969
Burundi,1995,203458
Comoros,1995,11211
Djibouti,1995,1656
Eritrea,1995,204654
Ethiopia,1995,-873521
Kenya,1995,27315
Madagascar,1995,7909
Malawi,1995,7389
Mauritius,1995,3366
Mayotte,1995,2102
Mozambique,1995,-1409669
Reunion,1995,-464
Rwanda,1995,1512646
Seychelles,1995,-7835
Somalia,1995,120901
South Sudan,1995,-76899
Uganda,1995,50378
Tanzania,1995,26108
Zambia,1995,55694
Zimbabwe,1995,83632
Middle Africa,1995,-64641
Angola,1995,-136305
Cameroon,1995,23101
Central African Republic,1995,2851
Chad,1995,-113702
Congo,1995,19307
Democratic Republic of Congo,1995,123311
Equatorial Guinea,1995,10237
Gabon,1995,1263
Sao Tome and Principe,1995,5296
Northern Africa,1995,565764
Algeria,1995,57976
Egypt,1995,170089
Libya,1995,1159
Morocco,1995,135808
Sudan,1995,190440
Tunisia,1995,11384
Western Sahara,1995,-1092
Southern Africa,1995,27704
Botswana,1995,-2733
Eswatini,1995,-4839
Lesotho,1995,-54735
Namibia,1995,12143
South Africa,1995,77868
Western Africa,1995,1241072
Benin,1995,41382
Burkina Faso,1995,194334
Cape Verde,1995,15591
Cote d'Ivoire,1995,83162
Gambia,1995,2104
Ghana,1995,56894
Guinea,1995,13099
Guinea-Bissau,1995,11743
Liberia,1995,25417
Mali,1995,173138
Mauritania,1995,17232
Niger,1995,27290
Nigeria,1995,77782
Saint Helena,1995,1323
Senegal,1995,-11182
Sierra Leone,1995,395974
Togo,1995,115789
Asia,1995,2190922
Central Asia,1995,439967
Kazakhstan,1995,323523
Kyrgyzstan,1995,27448
Tajikistan,1995,17727
Turkmenistan,1995,-16482
Uzbekistan,1995,87751
Eastern Asia,1995,1117651
China,1995,798696
Hong Kong,1995,68112
Macao,1995,3637
Taiwan,1995,0
North Korea,1995,14414
Japan,1995,48490
Mongolia,1995,3228
South Korea,1995,181074
South-Eastern Asia,1995,1968853
Brunei,1995,8729
Cambodia,1995,62785
Indonesia,1995,314974
Laos,1995,64778
Malaysia,1995,300855
Myanmar,1995,226137
Philippines,1995,469464
Singapore,1995,11656
Thailand,1995,104954
Timor-Leste,1995,67789
Vietnam,1995,336732
Southern Asia,1995,-2474004
Afghanistan,1995,-3332533
Bangladesh,1995,-26915
Bhutan,1995,89506
India,1995,534008
Iran,1995,115543
Maldives,1995,-505
Nepal,1995,107975
Pakistan,1995,-929
Sri Lanka,1995,39846
Western Asia,1995,1138455
Armenia,1995,2181
Azerbaijan,1995,78057
Bahrain,1995,13197
Cyprus,1995,-11095
Georgia,1995,33842
Iraq,1995,109671
Israel,1995,10740
Jordan,1995,25405
Kuwait,1995,15426
Lebanon,1995,23816
Oman,1995,1340
Qatar,1995,1127
Saudi Arabia,1995,23866
Palestine,1995,461916
Syria,1995,40993
Turkey,1995,258787
United Arab Emirates,1995,18429
Yemen,1995,30757
Europe,1995,905725
Eastern Europe,1995,-611085
Belarus,1995,-31107
Bulgaria,1995,36470
Czechia,1995,55540
Hungary,1995,12558
Poland,1995,102348
Moldova,1995,-5650
Romania,1995,164879
Russia,1995,-1065372
Slovakia,1995,58633
Ukraine,1995,60616
Northern Europe,1995,-25004
Channel Islands,1995,-3100
Denmark,1995,6193
Estonia,1995,15726
Faeroe Islands,1995,2485
Finland,1995,38045
Iceland,1995,3836
Ireland,1995,-53560
Isle of Man,1995,-1732
Latvia,1995,13888
Lithuania,1995,1416
Norway,1995,12752
Sweden,1995,19713
United Kingdom,1995,-80666
Southern Europe,1995,1267130
Albania,1995,320862
Andorra,1995,402
Bosnia and Herzegovina,1995,510766
Croatia,1995,309669
Gibraltar,1995,-1859
Greece,1995,-17924
Vatican,1995,16
Italy,1995,-143254
Malta,1995,-899
Montenegro,1995,67256
North Macedonia,1995,59922
Portugal,1995,48996
San Marino,1995,1043
Serbia,1995,171565
Slovenia,1995,17164
Spain,1995,-76595
Western Europe,1995,274684
Austria,1995,-15169
Belgium,1995,10764
France,1995,137460
Germany,1995,115906
Liechtenstein,1995,-407
Luxembourg,1995,1767
Monaco,1995,309
Netherlands,1995,10385
Switzerland,1995,13669
Latin America and the Caribbean,1995,0
Caribbean,1995,896078
Anguilla,1995,334
Antigua and Barbuda,1995,5583
Aruba,1995,818
Bahamas,1995,4457
Barbados,1995,4846
Bonaire Sint Eustatius and Saba,1995,95
British Virgin Islands,1995,274
