Year,Country,share_idmc_total_internal_displacement_conflict
2011,Afghanistan,1.4755584402656656
2012,Afghanistan,1.7524314874650282
2013,Afghanistan,2.2018964479005496
2014,Afghanistan,2.7901167739320876
2015,Afghanistan,3.1672969552185517
2016,Afghanistan,4.192293548194915
2017,Afghanistan,5.292455161380788
2018,Afghanistan,6.444288245305152
2011,Armenia,0.2920178993066661
2012,Armenia,0.2912380007343358
2013,Armenia,0.28989578591610343
2014,Armenia,0.288421622969074
2015,Armenia,0.2351687318560316
2011,Azerbaijan,6.38904988335691
2012,Azerbaijan,6.270435127630905
2013,Azerbaijan,6.128709418508424
2014,Azerbaijan,6.015717445350202
2015,Azerbaijan,6.031131878120797
2016,Azerbaijan,6.166831055867574
2017,Azerbaijan,6.266110706857962
2018,Azerbaijan,6.544680420807521
2011,Bangladesh,0.2857111581780014
2012,Bangladesh,0.28243298550790785
2013,Bangladesh,0.27918018799682087
2014,Bangladesh,0.27600078787251026
2015,Bangladesh,0.27363455782102386
2016,Bangladesh,0.2706006516094217
2017,Bangladesh,0.26771473395808626
2018,Bangladesh,0.26494925572068134
2011,Bosnia and Herzegovina,2.987097304607021
2012,Bosnia and Herzegovina,2.9604335345739163
2013,Bosnia and Herzegovina,2.9275068748980266
2014,Bosnia and Herzegovina,2.893932579881256
2015,Bosnia and Herzegovina,2.9100106667071017
2016,Bosnia and Herzegovina,2.9185447202417536
2017,Bosnia and Herzegovina,2.9378905301273983
2018,Bosnia and Herzegovina,2.9639381587272173
2018,Burkina Faso,1.7089020126404797
2011,Burundi,0.974503723095381
2012,Burundi,0.8957394728440171
2013,Burundi,0.8666392321752499
2014,Burundi,0.8002863788906902
2015,Burundi,0.7330113265368994
2016,Burundi,0.6524903408675933
2017,Burundi,0.5320656395440662
2018,Burundi,0.37671921462350405
2016,Cameroon,1.0430530537437723
2017,Cameroon,1.7721043699704513
2018,Cameroon,2.423541697954348
2011,Central African Republic,6.908036614894315
2012,Central African Republic,8.126866514396434
2013,Central African Republic,9.274808928617597
2014,Central African Republic,10.614606832937179
2015,Central African Republic,13.024080321002693
2016,Central African Republic,11.60036961594717
2017,Central African Republic,12.122676496614574
2018,Central African Republic,12.925446411829311
2011,Chad,1.0436060683184982
2012,Chad,0.8572714925628568
2013,Chad,0.7324374322686708
2014,Chad,0.6830327260197597
2015,Chad,0.7573780712893534
2016,Chad,0.7337488629385472
2017,Chad,0.8508266196685158
2018,Chad,1.1290352905177872
2011,Colombia,11.627563711837135
2012,Colombia,12.013223623782253
2013,Colombia,12.36709700802822
2014,Colombia,13.079217452093573
2015,Colombia,13.370813587275615
2016,Colombia,13.21440925186001
2017,Colombia,12.824443275672683
2018,Colombia,12.087444133286253
2011,Congo,0.17748078315443422
2012,Congo,0.17294144801213782
2013,Congo,0.16873047837037508
2014,Congo,0.2714945117812777
2015,Congo,0.6768033478765748
2016,Congo,1.0596836456001972
2017,Congo,1.5283461114238535
2018,Congo,1.9723119852687543
2011,Cote d'Ivoire,1.2086709124293846
2012,Cote d'Ivoire,1.1414352536395933
2013,Cote d'Ivoire,0.9154949408955452
2014,Cote d'Ivoire,0.9404401476672746
2015,Cote d'Ivoire,0.8617399665239367
2016,Cote d'Ivoire,1.0267926516889796
2017,Cote d'Ivoire,1.0024628158187374
2018,Cote d'Ivoire,0.9806988057788463
2011,Cyprus,18.480899899274295
2012,Cyprus,18.515549149549887
2013,Cyprus,19.49878744538259
2014,Cyprus,20.466945587812866
2015,Cyprus,20.43204618139566
2016,Cyprus,20.5401349696502
2017,Cyprus,20.641391557915885
2018,Cyprus,19.73058922255987
2011,Democratic Republic of Congo,3.2877462894211713
2012,Democratic Republic of Congo,3.428041616876688
2013,Democratic Republic of Congo,3.259667861025249
2014,Democratic Republic of Congo,3.2942599543741817
2015,Democratic Republic of Congo,3.654086826842874
2016,Democratic Republic of Congo,3.565947231553388
2017,Democratic Republic of Congo,4.128654040389924
2018,Democratic Republic of Congo,4.893957864536762
2016,Egypt,0.012905852845346576
2017,Egypt,0.01245818885618895
2018,Egypt,0.011011180021637494
2011,Eritrea,0.31114176894674467
2012,Eritrea,0.3076824618535284
2011,Ethiopia,0.369647510701362
2012,Ethiopia,0.3695237271930192
2013,Ethiopia,0.3907173052490112
2014,Ethiopia,0.3610826826734742
2015,Ethiopia,0.49574547951899417
2016,Ethiopia,0.8341146054956601
2017,Ethiopia,1.0033864121296474
2018,Ethiopia,1.2721866842768936
2011,Georgia,6.142486226455595
2012,Georgia,6.132146944327363
2013,Georgia,6.067491770817356
2014,Georgia,5.779174338526656
2015,Georgia,5.839823268342868
2016,Georgia,6.283359527944142
2017,Georgia,6.635729133691702
2018,Georgia,6.966803948891642
2015,Guatemala,1.526310073727459
2016,Guatemala,1.4963421449056598
2017,Guatemala,1.4597334114337357
2018,Guatemala,1.4217466461771622
2016,Honduras,1.6683705840082306
2017,Honduras,2.102212998684062
2018,Honduras,2.2199268778807624
2011,India,0.05320374445362062
2012,India,0.058144374117869685
2013,India,0.05686357351900917
2014,India,0.05847384616554966
2015,India,0.05485899231178902
2016,India,0.05356106913669867
2017,India,0.0472534079863949
2018,India,0.04471497066161135
2011,Indonesia,0.057931757597142135
2012,Indonesia,0.058280942267920924
2013,Indonesia,0.04210054121415404
