Year,Country,unhcr_resettlement_arrivals_by_destination
2007,Argentina,30.6
2008,Argentina,28.0
2009,Argentina,30.0
2010,Argentina,24.8
2011,Argentina,20.4
1978,Australia,11099.8
1979,Australia,14594.4
1980,Australia,17353.0
1981,Australia,18844.4
1982,Australia,19108.2
1983,Australia,18087.4
1984,Australia,16086.0
1985,Australia,13922.8
1986,Australia,12727.2
1987,Australia,11950.8
1988,Australia,11370.4
1989,Australia,10551.4
1990,Australia,10327.4
1991,Australia,10298.2
1992,Australia,10831.6
1993,Australia,11523.4
1994,Australia,12194.2
1995,Australia,11761.0
1996,Australia,12086.8
1997,Australia,11056.6
1998,Australia,9440.6
1999,Australia,8552.2
2000,Australia,8823.6
2001,Australia,8682.6
2002,Australia,10195.4
2003,Australia,11057.6
2004,Australia,12413.4
2005,Australia,12503.4
2006,Australia,12333.6
2007,Australia,11356.2
2008,Australia,10731.8
2009,Australia,9889.8
2010,Australia,9152.0
2011,Australia,9584.8
2012,Australia,9683.6
2013,Australia,9857.6
2014,Australia,10129.6
2015,Australia,11966.0
2016,Australia,11873.4
2017,Australia,13206.6
2018,Australia,12066.8
2019,Australia,10028.2
1973,Belgium,17.8
1974,Belgium,15.0
1975,Belgium,13.4
1976,Belgium,13.4
1977,Belgium,27.8
1978,Belgium,77.0
1984,Belgium,85.0
1989,Belgium,87.4
2009,Belgium,101.6
2011,Belgium,91.8
2013,Belgium,96.8
2014,Belgium,178.0
2015,Belgium,433.6
2016,Belgium,590.4
2017,Belgium,631.4
2018,Belgium,611.4
2019,Belgium,694.6
2003,Brazil,40.8
2004,Brazil,48.4
2005,Brazil,74.8
2006,Brazil,76.0
2007,Brazil,66.8
2008,Brazil,55.0
2009,Brazil,50.0
2010,Brazil,26.6
2011,Brazil,34.6
2012,Brazil,35.6
2013,Brazil,38.0
2014,Brazil,39.0
1961,Canada,2185.6
1962,Canada,2031.0
1963,Canada,1992.2
1964,Canada,2041.6
1965,Canada,1995.4
1966,Canada,3586.8
1967,Canada,3852.6
1968,Canada,3700.0
1969,Canada,3434.8
1970,Canada,4181.6
1971,Canada,2665.6
1972,Canada,2276.0
1973,Canada,3259.4
1974,Canada,4229.6
1975,Canada,3907.6
1976,Canada,4006.8
1977,Canada,9209.0
1978,Canada,16005.6
1979,Canada,17812.2
1980,Canada,20346.6
1981,Canada,22456.8
1982,Canada,19842.0
1983,Canada,14917.0
1984,Canada,15531.8
1985,Canada,16177.0
1986,Canada,18483.8
1987,Canada,22497.8
1988,Canada,26579.8
1989,Canada,28422.6
1990,Canada,27648.6
1991,Canada,25004.6
1992,Canada,20169.4
1993,Canada,15247.6
1994,Canada,12051.4
1995,Canada,10992.0
1996,Canada,10563.2
1997,Canada,10419.8
1998,Canada,10834.6
1999,Canada,11095.2
2000,Canada,11102.6
2001,Canada,11324.6
2002,Canada,11475.8
2003,Canada,10848.8
2004,Canada,10534.0
2005,Canada,10687.2
2006,Canada,10703.0
2007,Canada,11090.2
2008,Canada,11430.6
2009,Canada,11882.8
2010,Canada,11573.8
2011,Canada,11845.0
2012,Canada,11806.0
2013,Canada,13388.4
2014,Canada,20144.0
2015,Canada,23539.8
2016,Canada,26719.4
2017,Canada,30283.4
2018,Canada,28129.6
2019,Canada,19368.8
2005,Chile,60.8
2006,Chile,56.6
2008,Chile,56.4
2010,Chile,48.2
2011,Chile,52.6
1982,Denmark,390.0
1983,Denmark,359.0
1984,Denmark,359.6
1985,Denmark,346.4
1986,Denmark,355.6
1987,Denmark,459.6
1988,Denmark,552.8
1989,Denmark,648.2
1990,Denmark,697.0
1991,Denmark,1228.8
1992,Denmark,1826.2
1993,Denmark,2079.4
1994,Denmark,2027.0
1995,Denmark,2016.2
1996,Denmark,1467.4
1997,Denmark,812.8
1998,Denmark,502.6
1999,Denmark,490.6
2000,Denmark,487.6
2001,Denmark,497.8
2002,Denmark,497.0
2003,Denmark,501.0
2004,Denmark,499.4
2005,Denmark,496.6
2006,Denmark,506.0
2007,Denmark,491.2
2008,Denmark,493.2
2009,Denmark,490.8
2010,Denmark,491.8
2011,Denmark,484.6
2012,Denmark,467.0
2013,Denmark,487.2
2014,Denmark,446.6
2015,Denmark,353.0
2016,Denmark,256.4
1982,Finland,65.0
1983,Finland,46.8
1984,Finland,68.6
1985,Finland,125.4
1986,Finland,177.8
1987,Finland,245.6
1988,Finland,371.4
1989,Finland,438.4
1990,Finland,514.4
1991,Finland,551.4
1992,Finland,601.6
1993,Finland,602.2
1994,Finland,678.4
1995,Finland,669.4
1996,Finland,613.2
1997,Finland,591.4
1998,Finland,614.2
1999,Finland,594.2
2000,Finland,582.4
2001,Finland,634.0
2002,Finland,672.6
2003,Finland,674.6
2004,Finland,636.0
2005,Finland,652.6
2006,Finland,689.8
2007,Finland,688.8
2008,Finland,644.0
2009,Finland,651.4
2010,Finland,667.4
2011,Finland,651.2
2012,Finland,721.8
2013,Finland,813.8
2014,Finland,884.6
2015,Finland,955.2
2016,Finland,942.6
2017,Finland,875.8
2018,Finland,807.6
2019,Finland,676.2
2011,France,135.6
2012,France,150.0
2013,France,351.6
2014,France,832.4
2016,France,1934.6
2017,France,3039.8
2018,France,3261.4
2011,Germany,639.2
2012,Germany,281.0
2013,Germany,283.2
2014,Germany,518.6
2015,Germany,1060.6
2016,Germany,1645.6
2017,Germany,2567.4
2018,Germany,2807.8
2019,Germany,3008.0
1995,Iceland,26.2
1996,Iceland,24.8
1997,Iceland,30.6
1998,Iceland,33.8
1999,Iceland,32.4
2000,Iceland,33.8
2001,Iceland,35.4
2003,Iceland,26.4
2005,Iceland,27.4
2007,Iceland,24.0
2008,Iceland,21.0
2010,Iceland,17.4
2012,Iceland,22.6
2015,Iceland,26.4
2016,Iceland,35.8
2017,Iceland,49.0
1999,Ireland,398.8
2000,Ireland,361.0
2001,Ireland,241.0
2002,Ireland,47.0
2003,Ireland,60.8
2004,Ireland,89.4
2005,Ireland,107.6
2006,Ireland,117.4
2007,Ireland,144.2
2008,Ireland,125.2
2009,Ireland,94.8
2010,Ireland,80.0
2011,Ireland,75.6
2012,Ireland,55.6
2013,Ireland,86.6
2014,Ireland,149.0
2015,Ireland,195.6
2016,Ireland,247.8
2017,Ireland,385.2
2018,Ireland,389.0
2019,Ireland,328.8
2016,Italy,404.6
2017,Italy,497.6
2018,Italy,547.4
2019,Italy,472.2
1989,Japan,273.8
1990,Japan,297.8
1991,Japan,319.2
1992,Japan,313.4
1993,Japan,266.2
1994,Japan,193.2
1995,Japan,112.0
1996,Japan,53.0
1997,Japan,21.0
1998,Japan,31.0
1999,Japan,38.0
2000,Japan,42.4
2001,Japan,45.0
2010,Japan,47.6
2011,Japan,25.2
2013,Japan,21.0
2014,Japan,19.2
2015,Japan,21.4
2016,Japan,22.2
2017,Japan,21.6
2015,Luxembourg,66.2
2016,Luxembourg,68.0
2017,Luxembourg,65.4
1979,Netherlands,1177.6
1980,Netherlands,1166.2
1981,Netherlands,1164.6
1982,Netherlands,813.2
1983,Netherlands,613.8
1984,Netherlands,460.8
1985,Netherlands,451.0
1986,Netherlands,509.2
1987,Netherlands,534.2
1988,Netherlands,586.8
1989,Netherlands,630.6
1990,Netherlands,647.0
1991,Netherlands,598.6
1992,Netherlands,577.4
1993,Netherlands,535.2
1994,Netherlands,512.0
1995,Netherlands,421.0
1996,Netherlands,434.2
1997,Netherlands,337.0
1998,Netherlands,279.4
1999,Netherlands,230.8
2000,Netherlands,224.4
2001,Netherlands,154.2
2002,Netherlands,217.6
2003,Netherlands,260.4
2004,Netherlands,313.8
2005,Netherlands,396.0
2006,Netherlands,500.6
2007,Netherlands,510.0
2008,Netherlands,512.0
2009,Netherlands,520.2
2010,Netherlands,491.4
2011,Netherlands,414.0
2012,Netherlands,496.0
2013,Netherlands,548.6
2014,Netherlands,894.0
2016,Netherlands,1054.8
2017,Netherlands,1367.0
2018,Netherlands,1294.0
2019,Netherlands,1220.2
1982,New Zealand,844.8
1983,New Zealand,807.2
1984,New Zealand,665.8
1985,New Zealand,632.2
1986,New Zealand,626.0
1987,New Zealand,726.2
1988,New Zealand,743.8
1989,New Zealand,745.2
1990,New Zealand,762.6
1991,New Zealand,715.4
1992,New Zealand,650.8
1993,New Zealand,653.2
1994,New Zealand,671.6
1995,New Zealand,653.6
1996,New Zealand,707.6
1997,New Zealand,786.8
1998,New Zealand,762.6
1999,New Zealand,758.4
2000,New Zealand,786.2
2001,New Zealand,781.2
2002,New Zealand,719.8
2003,New Zealand,726.6
2004,New Zealand,715.0
2005,New Zealand,729.8
2006,New Zealand,746.4
2007,New Zealand,726.2
2008,New Zealand,705.2
2009,New Zealand,665.0
2010,New Zealand,673.2
2011,New Zealand,693.0
2012,New Zealand,695.6
2013,New Zealand,731.4
2014,New Zealand,824.6
2015,New Zealand,870.2
2016,New Zealand,901.4
2017,New Zealand,957.6
2018,New Zealand,860.6
2019,New Zealand,715.0
1985,Norway,793.4
1986,Norway,772.4
1987,Norway,853.8
1988,Norway,893.8
1989,Norway,953.6
1990,Norway,1200.4
1991,Norway,1341.0
1992,Norway,1264.6
1993,Norway,1388.0
