Country,Year,undesa_net_migration_rate_per_1000
World,1955,0
More developed regions,1955,0.031
Less developed regions,1955,-0.014
Least developed countries,1955,-0.487
"Less developed regions, excluding least developed countries",1955,0.046
"Less developed regions, excluding China",1955,-0.014
Land-locked Developing Countries (LLDC),1955,0.892
Small Island Developing States (SIDS),1955,-4.031
High-income countries,1955,0.339
Middle-income countries,1955,-0.023
Upper-middle-income countries,1955,-0.114
Lower-middle-income countries,1955,0.09
Low-income countries,1955,-1.407
No income group available,1955,-1.156
Africa,1955,-0.507
Asia,1955,0.135
Europe,1955,-0.622
Latin America and the Caribbean,1955,-0.524
Northern America,1955,1.58
Oceania,1955,6.131
Sub-Saharan Africa,1955,-0.198
Eastern Africa,1955,-0.287
Burundi,1955,-5.773
Comoros,1955,0
Djibouti,1955,3.037
Eritrea,1955,0.232
Ethiopia,1955,-0.21
Kenya,1955,0
Madagascar,1955,0
Malawi,1955,0
Mauritius,1955,1.001
Mayotte,1955,30.699
Mozambique,1955,-0.754
Reunion,1955,1.886
Rwanda,1955,0
Seychelles,1955,-12.608
Somalia,1955,0
South Sudan,1955,0
Uganda,1955,0
 Tanzania,1955,0.245
Zambia,1955,0
Zimbabwe,1955,-0.302
Middle Africa,1955,-0.044
Angola,1955,0
Cameroon,1955,0
Central African Republic,1955,0
Chad,1955,0
Congo,1955,0
Democratic Republic of Congo,1955,0
Equatorial Guinea,1955,0
Gabon,1955,1.253
Sao Tome and Principe,1955,-30.769
Southern Africa,1955,-0.315
Botswana,1955,-3.496
Eswatini,1955,-3.941
Lesotho,1955,-5.437
Namibia,1955,0
South Africa,1955,0.103
Western Africa,1955,-0.146
Benin,1955,-2.018
Burkina Faso,1955,-4.643
Cape Verde,1955,-6.317
Cote d'Ivoire,1955,4.925
Gambia,1955,0
Ghana,1955,2.229
Guinea,1955,0
Guinea-Bissau,1955,-3.599
Liberia,1955,-0.003
Mali,1955,-1.447
Mauritania,1955,-0.374
Niger,1955,0.363
Nigeria,1955,0.017
Senegal,1955,2.495
Sierra Leone,1955,0
Togo,1955,-6.541
Northern Africa and Western Asia,1955,-0.3
Northern Africa,1955,-1.627
Algeria,1955,-7.721
Egypt,1955,-0.459
Libya,1955,0
Morocco,1955,0
Sudan,1955,0
Tunisia,1955,-0.989
Western Sahara,1955,64.156
Western Asia,1955,0.959
Armenia,1955,6.838
Azerbaijan,1955,0
Bahrain,1955,4.944
Cyprus,1955,-5.391
Georgia,1955,2.48
Iraq,1955,-0.018
Israel,1955,32.12
Jordan,1955,42.29
Kuwait,1955,4.597
Lebanon,1955,0.225
Oman,1955,-4.201
Qatar,1955,37.368
Saudi Arabia,1955,1.574
