Year,Country,idmc_total_internal_displacement_conflict
2016,Abyei Area,36779.6
2017,Abyei Area,38984.4
2018,Abyei Area,26384.4
2011,Afghanistan,444400.0
2012,Afghanistan,546081.8
2013,Afghanistan,710543.0
2014,Afghanistan,931084.4
2015,Afghanistan,1089981.0
2016,Afghanistan,1483360.4
2017,Afghanistan,1920955.4
2018,Afghanistan,2395465.8
2011,Armenia,8400.0
2012,Armenia,8400.0
2013,Armenia,8400.0
2014,Armenia,8400.0
2015,Armenia,6880.0
2011,Azerbaijan,584360.2
2012,Azerbaijan,580936.0
2013,Azerbaijan,575208.0
2014,Azerbaijan,571831.0
2015,Azerbaijan,580360.2
2016,Azerbaijan,600405.2
2017,Azerbaijan,616918.4
2018,Azerbaijan,651165.4
2011,Bangladesh,426490.0
2012,Bangladesh,426490.0
2013,Bangladesh,426479.6
2014,Bangladesh,426469.2
2015,Bangladesh,427571.2
2016,Bangladesh,427487.2
2017,Bangladesh,427501.4
2018,Bangladesh,427566.4
2011,Bosnia and Herzegovina,109362.8
2012,Bosnia and Herzegovina,106722.8
2013,Bosnia and Herzegovina,103709.8
2014,Bosnia and Herzegovina,100769.8
2015,Bosnia and Herzegovina,99794.8
2016,Bosnia and Herzegovina,98829.6
2017,Bosnia and Herzegovina,98464.4
2018,Bosnia and Herzegovina,98519.2
2018,Burkina Faso,337533.2
2011,Burundi,87300.0
2012,Burundi,82820.0
2013,Burundi,82680.0
2014,Burundi,78782.6
2015,Burundi,74474.2
2016,Burundi,68433.2
2017,Burundi,57606.8
2018,Burundi,42099.8
2016,Cameroon,249566.6
2017,Cameroon,435336.4
2018,Cameroon,611126.6
2011,Central African Republic,305241.2
2012,Central African Republic,360541.2
2013,Central African Republic,412538.4
2014,Central African Republic,473854.2
2015,Central African Republic,585194.2
2016,Central African Republic,526388.0
2017,Central African Republic,557161.0
2018,Central African Republic,603149.8
2011,Chad,129000.0
2012,Chad,109600.0
2013,Chad,96831.4
2014,Chad,93326.6
2015,Chad,106873.4
2016,Chad,106846.0
2017,Chad,127766.6
2018,Chad,174749.0
2011,Colombia,5309465.0
2012,Colombia,5535179.4
2013,Colombia,5750142.6
2014,Colombia,6143008.4
2015,Colombia,6353899.8
2016,Colombia,6366048.0
2017,Colombia,6272415.2
2018,Colombia,6002752.4
2011,Congo,7800.0
2012,Congo,7800.0
2013,Congo,7800.0
2014,Congo,12860.6
2015,Congo,32866.2
2016,Congo,52782.8
2017,Congo,78109.2
2018,Congo,103435.2
2011,Cote d'Ivoire,254167.2
2012,Cote d'Ivoire,245947.2
2013,Cote d'Ivoire,202210.0
2014,Cote d'Ivoire,212987.8
2015,Cote d'Ivoire,200149.0
2016,Cote d'Ivoire,244610.0
2017,Cote d'Ivoire,244976.6
2018,Cote d'Ivoire,245853.6
2011,Cyprus,207880.0
2012,Cyprus,210160.0
2013,Cyprus,223040.0
2014,Cyprus,235840.0
2015,Cyprus,237213.4
2016,Cyprus,240358.4
2017,Cyprus,243503.4
2018,Cyprus,234648.4
2011,Democratic Republic of Congo,2194740.0
2012,Democratic Republic of Congo,2366060.0
2013,Democratic Republic of Congo,2326060.0
2014,Democratic Republic of Congo,2430091.4
2015,Democratic Republic of Congo,2786041.4
2016,Democratic Republic of Congo,2809578.8
2017,Democratic Republic of Congo,3360673.4
2018,Democratic Republic of Congo,4114257.0
2016,Egypt,12189.2
2017,Egypt,12015.0
2018,Egypt,10837.6
2011,Eritrea,10000.0
2012,Eritrea,10000.0
2011,Ethiopia,333200.0
2012,Ethiopia,342648.2
2013,Ethiopia,372688.8
2014,Ethiopia,354201.4
2015,Ethiopia,499887.2
2016,Ethiopia,864171.6
2017,Ethiopia,1067602.4
2018,Ethiopia,1389538.4
2011,Georgia,250675.6
2012,Georgia,249216.4
2013,Georgia,245654.6
2014,Georgia,233207.6
2015,Georgia,235005.0
2016,Georgia,252305.6
2017,Georgia,266008.0
2018,Georgia,278877.4
2015,Guatemala,248062.4
2016,Guatemala,248139.6
2017,Guatemala,246913.6
2018,Guatemala,245220.8
2016,Honduras,154671.2
2017,Honduras,198218.0
2018,Honduras,212836.0
2011,India,665200.0
2012,India,735980.0
2013,India,728332.6
