Country,Year,undesa_international_migrants_by_destination
World,1990,152986157
Sub-Saharan Africa,1990,13286341
Northern Africa and Western Asia,1990,17608769
Central and Southern Asia,1990,26168623
Eastern and South-Eastern Asia,1990,6835882
Latin America and the Caribbean,1990,7135971
Oceania (excluding Australia and New Zealand),1990,258678
Australia and New Zealand,1990,4473260
Europe and Northern America,1990,77218633
Developed regions,1990,82767210
Less developed regions,1990,70218947
"Less developed regions, excluding least developed countries",1990,59158726
"Less developed regions, excluding China",1990,67419066
Least developed countries,1990,11060221
Land-locked Developing Countries (LLDC),1990,14212843
Small island developing States (SIDS),1990,2312665
High-income countries,1990,76295202
Middle-income countries,1990,67228996
Upper-middle-income countries,1990,35289343
Lower-middle-income countries,1990,31939653
Low-income countries,1990,9193274
Africa,1990,15689666
Eastern Africa,1990,5959183
Burundi,1990,333110
Comoros,1990,14079
Djibouti,1990,122221
Eritrea,1990,11848
Ethiopia,1990,1155390
Kenya,1990,298089
Madagascar,1990,23917
Malawi,1990,1127724
Mauritius,1990,3613
Mayotte,1990,15229
Mozambique,1990,122332
Reunion,1990,57210
Rwanda,1990,160024
Seychelles,1990,3721
Somalia,1990,478294
Uganda,1990,544273
Tanzania,1990,574025
Zambia,1990,279463
Zimbabwe,1990,634621
Middle Africa,1990,1461155
Angola,1990,33517
Cameroon,1990,265967
Central African Republic,1990,67234
Chad,1990,74342
Congo,1990,129391
Democratic Republic of Congo,1990,754194
Equatorial Guinea,1990,2740
Gabon,1990,128188
Sao Tome and Principe,1990,5582
Northern Africa,1990,2403325
Algeria,1990,273954
Egypt,1990,173833
Libya,1990,457075
Morocco,1990,54895
Sudan,1990,1402896
Tunisia,1990,37984
Western Sahara,1990,2688
Southern Africa,1990,1395265
Botswana,1990,27510
Eswatini,1990,74991
Lesotho,1990,8240
Namibia,1990,120641
South Africa,1990,1163883
Western Africa,1990,4470738
Benin,1990,76751
Burkina Faso,1990,349652
Cape Verde,1990,8931
Cote d'Ivoire,1990,1816426
Gambia,1990,118123
