Year,Country,undesa_child_migrants_by_destination_under_15
1990,World,19319803.0
1995,World,18630978.0
2000,World,18481259.0
2005,World,19575192.0
2010,World,21569541.0
2015,World,23693984.0
2020,World,28408371.0
1990,Sub-Saharan Africa,3352492.0
1995,Sub-Saharan Africa,3370476.0
2000,Sub-Saharan Africa,2938204.0
2005,Sub-Saharan Africa,3173908.0
2010,Sub-Saharan Africa,3282756.0
2015,Sub-Saharan Africa,4198314.0
2020,Sub-Saharan Africa,4413251.0
1990,Northern Africa and Western Asia,3911865.0
1995,Northern Africa and Western Asia,3932511.0
2000,Northern Africa and Western Asia,3899552.0
2005,Northern Africa and Western Asia,4083274.0
2010,Northern Africa and Western Asia,5317183.0
2015,Northern Africa and Western Asia,7094551.0
2020,Northern Africa and Western Asia,8365995.0
1990,Central and Southern Asia,3028816.0
1995,Central and Southern Asia,2199153.0
2000,Central and Southern Asia,1898866.0
2005,Central and Southern Asia,2031153.0
2010,Central and Southern Asia,2108151.0
2015,Central and Southern Asia,2086580.0
2020,Central and Southern Asia,2300815.0
1990,Eastern and South-Eastern Asia,944269.0
1995,Eastern and South-Eastern Asia,1055667.0
2000,Eastern and South-Eastern Asia,1350805.0
2005,Eastern and South-Eastern Asia,1358320.0
2010,Eastern and South-Eastern Asia,1387817.0
2015,Eastern and South-Eastern Asia,1559909.0
2020,Eastern and South-Eastern Asia,1576520.0
1990,Latin America and the Caribbean,1138633.0
1995,Latin America and the Caribbean,936710.0
2000,Latin America and the Caribbean,968863.0
2005,Latin America and the Caribbean,992845.0
2010,Latin America and the Caribbean,1509342.0
2015,Latin America and the Caribbean,1560676.0
2020,Latin America and the Caribbean,3055552.0
1990,Oceania (excluding Australia and New Zealand),48078.0
1995,Oceania (excluding Australia and New Zealand),48386.0
2000,Oceania (excluding Australia and New Zealand),47678.0
2005,Oceania (excluding Australia and New Zealand),47998.0
2010,Oceania (excluding Australia and New Zealand),44755.0
2015,Oceania (excluding Australia and New Zealand),41513.0
2020,Oceania (excluding Australia and New Zealand),35945.0
1990,Australia and New Zealand,304775.0
1995,Australia and New Zealand,293920.0
2000,Australia and New Zealand,296049.0
2005,Australia and New Zealand,346172.0
2010,Australia and New Zealand,416371.0
2015,Australia and New Zealand,495141.0
2020,Australia and New Zealand,501188.0
1990,Europe and Northern America,6590875.0
1995,Europe and Northern America,6794155.0
2000,Europe and Northern America,7081242.0
2005,Europe and Northern America,7541522.0
2010,Europe and Northern America,7503166.0
2015,Europe and Northern America,6657300.0
2020,Europe and Northern America,8159105.0
1990,Developed regions,7070172.0
1995,Developed regions,7272312.0
2000,Developed regions,7574420.0
2005,Developed regions,8077539.0
2010,Developed regions,8123845.0
2015,Developed regions,7358692.0
2020,Developed regions,8886454.0
1990,Less developed regions,12249631.0
1995,Less developed regions,11358666.0
2000,Less developed regions,10906839.0
2005,Less developed regions,11497653.0
2010,Less developed regions,13445696.0
2015,Less developed regions,16335292.0
2020,Less developed regions,19521917.0
1990,"Less developed regions, excluding least developed countries",8999473.0
1995,"Less developed regions, excluding least developed countries",8317385.0
2000,"Less developed regions, excluding least developed countries",8378036.0
2005,"Less developed regions, excluding least developed countries",9108557.0
2010,"Less developed regions, excluding least developed countries",11056120.0
2015,"Less developed regions, excluding least developed countries",13093872.0
2020,"Less developed regions, excluding least developed countries",15373431.0
1990,"Less developed regions, excluding China",12073120.0
1995,"Less developed regions, excluding China",11134637.0
2000,"Less developed regions, excluding China",10630704.0
2005,"Less developed regions, excluding China",11220890.0
2010,"Less developed regions, excluding China",13184407.0
2015,"Less developed regions, excluding China",16074669.0
2020,"Less developed regions, excluding China",19223935.0
1990,Least developed countries,3250158.0
1995,Least developed countries,3041281.0
2000,Least developed countries,2528803.0
2005,Least developed countries,2389096.0
2010,Least developed countries,2389576.0
2015,Least developed countries,3241420.0
2020,Least developed countries,4148486.0
1990,Land-locked Developing Countries (LLDC),2433567.0
1995,Land-locked Developing Countries (LLDC),1967782.0
2000,Land-locked Developing Countries (LLDC),1803544.0
2005,Land-locked Developing Countries (LLDC),1849020.0
2010,Land-locked Developing Countries (LLDC),1721469.0
2015,Land-locked Developing Countries (LLDC),2386847.0
2020,Land-locked Developing Countries (LLDC),2778030.0
1990,Small island developing States (SIDS),419796.0
1995,Small island developing States (SIDS),384878.0
2000,Small island developing States (SIDS),415885.0
2005,Small island developing States (SIDS),397495.0
2010,Small island developing States (SIDS),519152.0
2015,Small island developing States (SIDS),455958.0
2020,Small island developing States (SIDS),429117.0
1990,High-income countries,7156311.0
1995,High-income countries,7656626.0
2000,High-income countries,8652269.0
2005,High-income countries,9773029.0
2010,High-income countries,11279220.0
2015,High-income countries,10861854.0
2020,High-income countries,13196886.0
1990,Middle-income countries,9333483.0
1995,Middle-income countries,8439804.0
2000,Middle-income countries,7795423.0
2005,Middle-income countries,7802175.0
2010,Middle-income countries,8154673.0
2015,Middle-income countries,10070367.0
2020,Middle-income countries,11835462.0
1990,Upper-middle-income countries,6174391.0
1995,Upper-middle-income countries,5452394.0
2000,Upper-middle-income countries,5215437.0
2005,Upper-middle-income countries,5110508.0
2010,Upper-middle-income countries,5480438.0
2015,Upper-middle-income countries,7260847.0
2020,Upper-middle-income countries,8780524.0
1990,Lower-middle-income countries,3159092.0
1995,Lower-middle-income countries,2987410.0
2000,Lower-middle-income countries,2579986.0
2005,Lower-middle-income countries,2691667.0
2010,Lower-middle-income countries,2674235.0
2015,Lower-middle-income countries,2809520.0
