Year,Country,unhcr_resettlement_arrivals_by_origin
1982,Afghanistan,1921.8
1983,Afghanistan,2407.4
1984,Afghanistan,2975.8
1985,Afghanistan,2875.8
1986,Afghanistan,2907.0
1987,Afghanistan,3002.0
1988,Afghanistan,3021.2
1989,Afghanistan,2957.6
1990,Afghanistan,2680.2
1991,Afghanistan,2528.4
1992,Afghanistan,2136.4
1993,Afghanistan,1899.0
1994,Afghanistan,1730.0
1995,Afghanistan,1611.0
1996,Afghanistan,1527.2
1997,Afghanistan,2035.2
1998,Afghanistan,2877.8
1999,Afghanistan,4101.4
2000,Afghanistan,4974.6
2001,Afghanistan,5784.2
2002,Afghanistan,6166.0
2003,Afghanistan,6191.6
2004,Afghanistan,5731.4
2005,Afghanistan,5287.4
2006,Afghanistan,4742.6
2007,Afghanistan,4259.2
2008,Afghanistan,3653.4
2009,Afghanistan,3167.4
2010,Afghanistan,2978.0
2011,Afghanistan,3262.4
2012,Afghanistan,3497.4
2013,Afghanistan,3856.4
2014,Afghanistan,4421.0
2015,Afghanistan,4682.4
2016,Afghanistan,4510.8
2017,Afghanistan,4821.0
2018,Afghanistan,4161.2
2019,Afghanistan,3319.8
1961,Albania,24.2
1962,Albania,24.0
1963,Albania,22.2
1964,Albania,21.2
1965,Albania,20.0
1966,Albania,25.4
1982,Albania,31.4
1983,Albania,38.0
1984,Albania,51.8
1985,Albania,58.6
1986,Albania,59.0
1987,Albania,59.2
1988,Albania,70.8
1989,Albania,339.6
1990,Albania,571.4
1991,Albania,654.2
1992,Albania,680.0
1993,Albania,669.6
1994,Albania,389.6
1995,Albania,150.0
1996,Albania,53.8
1997,Albania,22.4
1998,Albania,13.2
1999,Albania,8.6
2000,Albania,7.8
2001,Albania,7.8
2002,Albania,5.0
1992,Algeria,17.6
1996,Algeria,15.6
1997,Algeria,24.4
1998,Algeria,47.4
1999,Algeria,53.6
2000,Algeria,52.6
2001,Algeria,52.0
2002,Algeria,43.6
2003,Algeria,20.6
2005,Algeria,12.8
2006,Algeria,12.0
1978,Angola,271.0
1982,Angola,188.8
1983,Angola,94.0
1984,Angola,58.2
1985,Angola,42.2
1986,Angola,42.8
1987,Angola,30.2
1988,Angola,29.2
1989,Angola,34.4
1990,Angola,28.8
1991,Angola,27.4
1992,Angola,24.8
1994,Angola,13.4
1995,Angola,9.2
1998,Angola,8.2
1999,Angola,17.4
2000,Angola,19.6
2001,Angola,23.2
2002,Angola,27.2
2003,Angola,31.6
2004,Angola,28.0
2005,Angola,28.0
2006,Angola,24.2
2007,Angola,42.0
2008,Angola,37.4
2009,Angola,35.6
2010,Angola,33.6
2012,Angola,32.2
2013,Angola,10.6
2015,Angola,10.6
2016,Angola,6.6
2017,Angola,6.4
1976,Argentina,64.2
1977,Argentina,70.6
1978,Argentina,68.6
1980,Argentina,66.6
1981,Argentina,55.0
