Year,Country,undesa_child_migrants_by_destination_under_20
1990,World,28951556.0
1995,World,28084144.0
2000,World,28059346.0
2005,World,30227382.0
2010,World,32626562.0
2015,World,34641091.0
2020,World,40938208.0
1990,Sub-Saharan Africa,4643372.0
1995,Sub-Saharan Africa,4729312.0
2000,Sub-Saharan Africa,4140568.0
2005,Sub-Saharan Africa,4348117.0
2010,Sub-Saharan Africa,4586082.0
2015,Sub-Saharan Africa,5689091.0
2020,Sub-Saharan Africa,5921897.0
1990,Northern Africa and Western Asia,4964356.0
1995,Northern Africa and Western Asia,4996688.0
2000,Northern Africa and Western Asia,4985709.0
2005,Northern Africa and Western Asia,5298462.0
2010,Northern Africa and Western Asia,6879776.0
2015,Northern Africa and Western Asia,8964054.0
2020,Northern Africa and Western Asia,10825088.0
1990,Central and Southern Asia,4641481.0
1995,Central and Southern Asia,3327322.0
2000,Central and Southern Asia,2801684.0
2005,Central and Southern Asia,2965438.0
2010,Central and Southern Asia,3070998.0
2015,Central and Southern Asia,3012030.0
2020,Central and Southern Asia,3239146.0
1990,Eastern and South-Eastern Asia,1455017.0
1995,Eastern and South-Eastern Asia,1620836.0
2000,Eastern and South-Eastern Asia,1982766.0
2005,Eastern and South-Eastern Asia,2273234.0
2010,Eastern and South-Eastern Asia,2294459.0
2015,Eastern and South-Eastern Asia,2512025.0
2020,Eastern and South-Eastern Asia,2568980.0
1990,Latin America and the Caribbean,1590078.0
1995,Latin America and the Caribbean,1351415.0
2000,Latin America and the Caribbean,1329009.0
2005,Latin America and the Caribbean,1429555.0
2010,Latin America and the Caribbean,2008293.0
2015,Latin America and the Caribbean,2134973.0
2020,Latin America and the Caribbean,3986903.0
1990,Oceania (excluding Australia and New Zealand),65425.0
1995,Oceania (excluding Australia and New Zealand),66504.0
2000,Oceania (excluding Australia and New Zealand),66324.0
2005,Oceania (excluding Australia and New Zealand),66444.0
2010,Oceania (excluding Australia and New Zealand),61809.0
2015,Oceania (excluding Australia and New Zealand),57660.0
2020,Oceania (excluding Australia and New Zealand),53167.0
1990,Australia and New Zealand,493518.0
1995,Australia and New Zealand,492990.0
2000,Australia and New Zealand,512947.0
2005,Australia and New Zealand,590621.0
2010,Australia and New Zealand,716563.0
2015,Australia and New Zealand,812035.0
2020,Australia and New Zealand,1036973.0
1990,Europe and Northern America,11098309.0
1995,Europe and Northern America,11499077.0
2000,Europe and Northern America,12240339.0
2005,Europe and Northern America,13255511.0
2010,Europe and Northern America,13008582.0
2015,Europe and Northern America,11459223.0
2020,Europe and Northern America,13306054.0
1990,Developed regions,11849017.0
1995,Developed regions,12260991.0
2000,Developed regions,13038659.0
2005,Developed regions,14124715.0
2010,Developed regions,14013484.0
2015,Developed regions,12573823.0
2020,Developed regions,14651565.0
1990,Less developed regions,17102539.0
1995,Less developed regions,15823153.0
2000,Less developed regions,15020687.0
2005,Less developed regions,16102667.0
2010,Less developed regions,18613078.0
2015,Less developed regions,22067268.0
2020,Less developed regions,26286643.0
1990,"Less developed regions, excluding least developed countries",12646027.0
1995,"Less developed regions, excluding least developed countries",11620836.0
2000,"Less developed regions, excluding least developed countries",11533278.0
2005,"Less developed regions, excluding least developed countries",12819673.0
2010,"Less developed regions, excluding least developed countries",15282167.0
2015,"Less developed regions, excluding least developed countries",17716084.0
2020,"Less developed regions, excluding least developed countries",20887442.0
1990,"Less developed regions, excluding China",16807328.0
1995,"Less developed regions, excluding China",15490675.0
2000,"Less developed regions, excluding China",14625642.0
2005,"Less developed regions, excluding China",15662247.0
2010,"Less developed regions, excluding China",18186714.0
2015,"Less developed regions, excluding China",21653705.0
2020,"Less developed regions, excluding China",25834254.0
1990,Least developed countries,4456512.0
1995,Least developed countries,4202317.0
2000,Least developed countries,3487409.0
2005,Least developed countries,3282994.0
2010,Least developed countries,3330911.0
2015,Least developed countries,4351184.0
2020,Least developed countries,5399201.0
1990,Land-locked Developing Countries (LLDC),3447257.0
1995,Land-locked Developing Countries (LLDC),2770405.0
2000,Land-locked Developing Countries (LLDC),2566405.0
