Country,Year,undesa_net_number_of_migrants
South America,1985,-817013
Argentina,1985,140000
Bolivia,1985,-73670
Brazil,1985,0
Chile,1985,-154520
Colombia,1985,-370972
Ecuador,1985,-14001
French Guiana,1985,10773
Guyana,1985,-97340
Paraguay,1985,-21310
Peru,1985,-175500
Suriname,1985,-31771
Uruguay,1985,-30000
Venezuela,1985,1380
Australia/New Zealand,1985,450664
Australia,1985,453572
New Zealand,1985,-2908
Oceania (excluding Australia and New Zealand),1985,-33722
Melanesia,1985,-12688
Fiji,1985,-12677
New Caledonia,1985,-3292
Papua New Guinea,1985,10704
Solomon Islands,1985,-3420
Vanuatu,1985,-4003
Micronesia (country),1985,7875
Guam,1985,109
Kiribati,1985,-3011
Micronesia (region),1985,445
Polynesia,1985,-28909
French Polynesia,1985,3650
Samoa,1985,-18695
Tonga,1985,-12375
Europe and Northern America,1985,5333861
Europe,1985,1578086
Eastern Europe,1985,782518
Belarus,1985,47114
Bulgaria,1985,-22346
Czechia,1985,-52946
Hungary,1985,-115800
Poland,1985,-119193
Moldova,1985,-9185
Romania,1985,-200000
Russia,1985,1100559
Slovakia,1985,-34777
Ukraine,1985,189092
Northern Europe,1985,39477
Channel Islands,1985,5380
Denmark,1985,9319
Estonia,1985,25900
Finland,1985,26181
Iceland,1985,260
Ireland,1985,-60929
Latvia,1985,30762
Lithuania,1985,43804
Norway,1985,24805
Sweden,1985,29799
United Kingdom,1985,-97495
Southern Europe,1985,270126
Albania,1985,-99
Bosnia and Herzegovina,1985,-29999
Croatia,1985,54369
Greece,1985,100241
Italy,1985,264799
Malta,1985,2553
Montenegro,1985,-2001
North Macedonia,1985,-72752
Portugal,1985,-66894
Serbia,1985,-10360
Slovenia,1985,68363
Spain,1985,-43292
Western Europe,1985,485965
Austria,1985,18002
Belgium,1985,18478
France,1985,291570
Germany,1985,23
Luxembourg,1985,2552
Netherlands,1985,71525
Switzerland,1985,81040
Northern America,1985,3755775
Canada,1985,373939
United States,1985,3382460
World,1990,-1
More developed regions,1990,6977639
Less developed regions,1990,-6977640
Least developed countries,1990,-3733802
"Less developed regions, excluding least developed countries",1990,-3243838
"Less developed regions, excluding China",1990,-6880717
Land-locked Developing Countries (LLDC),1990,-3006066
Small Island Developing States (SIDS),1990,-793493
High-income countries,1990,8702303
Middle-income countries,1990,-5162043
Upper-middle-income countries,1990,-2945797
Lower-middle-income countries,1990,-2216246
Low-income countries,1990,-3589860
No income group available,1990,49599
Africa,1990,-1784980
Asia,1990,-1437056
Europe,1990,2406244
Latin America and the Caribbean,1990,-3956103
Northern America,1990,4224943
Oceania,1990,546951
Sub-Saharan Africa,1990,-1264499
Eastern Africa,1990,-389136
Burundi,1990,-180004
Comoros,1990,-4500
Djibouti,1990,89998
Eritrea,1990,-40000
Ethiopia,1990,765993
Kenya,1990,5023
Madagascar,1990,-10000
Malawi,1990,877076
Mauritius,1990,-35977
Mayotte,1990,6055
Mozambique,1990,-1336060
Reunion,1990,-1996
Rwanda,1990,29999
Seychelles,1990,-5196
Somalia,1990,-410787
South Sudan,1990,-416233
Uganda,1990,200002
 Tanzania,1990,68117
Zambia,1990,-75000
Zimbabwe,1990,84354
Middle Africa,1990,189733
Angola,1990,188491
Cameroon,1990,-19500
Central African Republic,1990,-80000
Chad,1990,1418
Congo,1990,2000
Democratic Republic of Congo,1990,74515
Equatorial Guinea,1990,20000
Gabon,1990,4999
Sao Tome and Principe,1990,-2190
Southern Africa,1990,-75487
Botswana,1990,46821
Eswatini,1990,-2218
Lesotho,1990,-40195
Namibia,1990,38106
South Africa,1990,-118001
Western Africa,1990,-989609
Benin,1990,-8723
Burkina Faso,1990,-183699
Cape Verde,1990,-27757
Cote d'Ivoire,1990,319134
Gambia,1990,60597
Ghana,1990,-40000
Guinea,1990,0
Guinea-Bissau,1990,-28004
Liberia,1990,-359708
Mali,1990,-493982
Mauritania,1990,-39998
Niger,1990,-77917
Nigeria,1990,-91407
Senegal,1990,-60291
Sierra Leone,1990,62745
Togo,1990,-20000
Northern Africa and Western Asia,1990,-476782
Northern Africa,1990,-520481
Algeria,1990,-93302
Egypt,1990,-212184
Libya,1990,5490
Morocco,1990,-430184
Sudan,1990,150000
Tunisia,1990,48999
Western Sahara,1990,10700
Western Asia,1990,43699
Armenia,1990,-67528
Azerbaijan,1990,-161568
Bahrain,1990,12899
Cyprus,1990,17167
Georgia,1990,-43659
Iraq,1990,-647664
Israel,1990,65418
Jordan,1990,170602
Kuwait,1990,119768
Lebanon,1990,-128038
Oman,1990,11169
Qatar,1990,57517
Saudi Arabia,1990,716825
Palestine,1990,-39345
Syria,1990,-146501
Turkey,1990,-100001
United Arab Emirates,1990,256637
Yemen,1990,-50000
 Central and Southern Asia,1990,-1645814
Central Asia,1990,-1228411
Kazakhstan,1990,-674287
Kyrgyzstan,1990,-126883
Tajikistan,1990,-31508
Turkmenistan,1990,-39702
Uzbekistan,1990,-356031
Southern Asia,1990,-417403
Afghanistan,1990,-1525351
Bangladesh,1990,-219363
Bhutan,1990,1595
India,1990,45150
Iran,1990,1497228
Maldives,1990,-2605
Nepal,1990,-216407
Pakistan,1990,139790
Sri Lanka,1990,-137440
 Eastern and South-Eastern Asia,1990,165059
Eastern Asia,1990,-224681
China,1990,-431651
Hong Kong,1990,221262
Macao,1990,33466
 Taiwan,1990,80000
North Korea,1990,0
Japan,1990,-298339
Mongolia,1990,0
South Korea,1990,170581
South-Eastern Asia,1990,389740
Brunei,1990,3684
Cambodia,1990,-78022
Indonesia,1990,261281
Laos,1990,138
Malaysia,1990,425455
Myanmar,1990,-200000
Philippines,1990,-314676
Singapore,1990,119802
Thailand,1990,504404
Timor-Leste,1990,0
Vietnam,1990,-332327
Latin America and the Caribbean,1990,-3956103
Caribbean,1990,-610953
Antigua and Barbuda,1990,-2890
Aruba,1990,-5194
Bahamas,1990,-811
Barbados,1990,-6311
Cuba,1990,-69999
Curacao,1990,-14547
Dominican Republic,1990,-134470
Grenada,1990,-15189
Guadeloupe,1990,21103
Haiti,1990,-135001
Jamaica,1990,-146934
Martinique,1990,-234
Puerto Rico,1990,-55192
Saint Lucia,1990,-4285
Saint Vincent and the Grenadines,1990,-7183
Trinidad and Tobago,1990,-45387
United States Virgin Islands,1990,-11156
Central America,1990,-2613541
Belize,1990,-5404
Costa Rica,1990,17417
El Salvador,1990,-256685
Guatemala,1990,-299909
Honduras,1990,-73998
Mexico,1990,-1835537
Nicaragua,1990,-150030
Panama,1990,-9395
South America,1990,-731609
Argentina,1990,160000
Bolivia,1990,-64260
Brazil,1990,0
Chile,1990,-68650
Colombia,1990,-324000
Ecuador,1990,-16998
French Guiana,1990,16749
Guyana,1990,-102648
Paraguay,1990,-17340
Peru,1990,-280600
Suriname,1990,-4845
Uruguay,1990,-30000
Venezuela,1990,920
Australia/New Zealand,1990,644791
Australia,1990,654209
New Zealand,1990,-9418
Oceania (excluding Australia and New Zealand),1990,-97840
Melanesia,1990,-74881
Fiji,1990,-66996
New Caledonia,1990,-488
Papua New Guinea,1990,4723
Solomon Islands,1990,-8504
Vanuatu,1990,-3616
Micronesia (country),1990,11378
Guam,1990,99
Kiribati,1990,-664
Micronesia (region),1990,-1902
Polynesia,1990,-34337
French Polynesia,1990,-359
Samoa,1990,-19526
Tonga,1990,-10786
Europe and Northern America,1990,6631187
Europe,1990,2406244
Eastern Europe,1990,-27610
Belarus,1990,-23021
Bulgaria,1990,-184143
Czechia,1990,5671
Hungary,1990,-91554
Poland,1990,-304973
Moldova,1990,-84531
Romania,1990,-200000
Russia,1990,890253
Slovakia,1990,-35312
Ukraine,1990,0
Northern Europe,1990,304484
Channel Islands,1990,6085
Denmark,1990,32839
Estonia,1990,15497
Finland,1990,18268
Iceland,1990,646
Ireland,1990,-125947
Latvia,1990,41910
Lithuania,1990,36863
Norway,1990,38715
Sweden,1990,134569
United Kingdom,1990,98758
Southern Europe,1990,-269324
Albania,1990,-99
Bosnia and Herzegovina,1990,-134587
Croatia,1990,26145
Greece,1990,178887
Italy,1990,-10058
Malta,1990,1159
Montenegro,1990,-29965
North Macedonia,1990,-98818
Portugal,1990,-147873
Serbia,1990,-27488
Slovenia,1990,32609
Spain,1990,-67680
Western Europe,1990,2398694
Austria,1990,110999
Belgium,1990,42556
France,1990,276383
Germany,1990,1683737
Luxembourg,1990,12831
Netherlands,1990,139748
Switzerland,1990,130857
Northern America,1990,4224943
Canada,1990,859217
United States,1990,3366853
World,1995,0
More developed regions,1995,10634727
Less developed regions,1995,-10634727
Least developed countries,1995,870947
"Less developed regions, excluding least developed countries",1995,-11505674
"Less developed regions, excluding China",1995,-9883075
Land-locked Developing Countries (LLDC),1995,-3035394
Small Island Developing States (SIDS),1995,-515501
High-income countries,1995,10710205
Middle-income countries,1995,-11713489
Upper-middle-income countries,1995,-5842664
Lower-middle-income countries,1995,-5870825
Low-income countries,1995,984543
No income group available,1995,18741
Africa,1995,-1368269
Asia,1995,-4813042
Europe,1995,4968898
Latin America and the Caribbean,1995,-4303645
Northern America,1995,5150449
Oceania,1995,365609
Sub-Saharan Africa,1995,-1114675
Eastern Africa,1995,-2264564
Burundi,1995,-320001
Comoros,1995,-3000
Djibouti,1995,-45000
Eritrea,1995,-314772
Ethiopia,1995,1457943
Kenya,1995,221569
Madagascar,1995,-9500
Malawi,1995,-861893
Mauritius,1995,-5611
Mayotte,1995,10734
Mozambique,1995,642368
Reunion,1995,9589
Rwanda,1995,-1374270
Seychelles,1995,503
Somalia,1995,-822004
South Sudan,1995,-1097076
Uganda,1995,109998
 Tanzania,1995,584095
Zambia,1995,-150000
Zimbabwe,1995,-298236
Middle Africa,1995,1463476
Angola,1995,142812
Cameroon,1995,-48000
Central African Republic,1995,50000
Chad,1995,-10374
Congo,1995,22530
Democratic Republic of Congo,1995,1287106
Equatorial Guinea,1995,20002
Gabon,1995,4999
Sao Tome and Principe,1995,-5599
Southern Africa,1995,828785
Botswana,1995,24296
Eswatini,1995,-23252
Lesotho,1995,-7839
Namibia,1995,-17280
South Africa,1995,852860
Western Africa,1995,-1142372
Benin,1995,68259
Burkina Faso,1995,-150001
Cape Verde,1995,-6376
Cote d'Ivoire,1995,375000
Gambia,1995,2620
Ghana,1995,-16000
Guinea,1995,-134975
Guinea-Bissau,1995,-29999
Liberia,1995,-290000
Mali,1995,-173489
Mauritania,1995,-44622
Niger,1995,-2679
Nigeria,1995,-95769
Senegal,1995,-77004
Sierra Leone,1995,-450000
Togo,1995,-116499
Northern Africa and Western Asia,1995,-157693
Northern Africa,1995,-253594
Algeria,1995,-128679
Egypt,1995,-460404
Libya,1995,3965
Morocco,1995,-466627
Sudan,1995,645810
Tunisia,1995,140341
Western Sahara,1995,12000
Western Asia,1995,95901
Armenia,1995,-496288
Azerbaijan,1995,-115116
Bahrain,1995,5480
Cyprus,1995,43195
Georgia,1995,-591854
Iraq,1995,-154026
Israel,1995,451557
Jordan,1995,412472
Kuwait,1995,-655000
Lebanon,1995,390001
Oman,1995,104700
Qatar,1995,-10132
Saudi Arabia,1995,-110000
Palestine,1995,35005
Syria,1995,-70000
Turkey,1995,-120000
United Arab Emirates,1995,368126
Yemen,1995,607781
 Central and Southern Asia,1995,-2680612
Central Asia,1995,-2227090
Kazakhstan,1995,-1439396
Kyrgyzstan,1995,-276249
Tajikistan,1995,-232301
Turkmenistan,1995,43633
Uzbekistan,1995,-322777
Southern Asia,1995,-453522
Afghanistan,1995,3076383
Bangladesh,1995,-813794
Bhutan,1995,-58565
India,1995,-552948
Iran,1995,-898423
Maldives,1995,-3072
Nepal,1995,76064
Pakistan,1995,-1023387
Sri Lanka,1995,-255780
 Eastern and South-Eastern Asia,1995,-2228331
Eastern Asia,1995,-722380
China,1995,-779982
Hong Kong,1995,156486
Macao,1995,21845
 Taiwan,1995,-150001
North Korea,1995,0
Japan,1995,46286
Mongolia,1995,-88432
South Korea,1995,71418
South-Eastern Asia,1995,-1505951
Brunei,1995,4770
Cambodia,1995,409414
Indonesia,1995,-35412
Laos,1995,-60567
Malaysia,1995,292354
Myanmar,1995,-713704
Philippines,1995,-698877
Singapore,1995,297845
Thailand,1995,-607538
Timor-Leste,1995,0
Vietnam,1995,-394236
Latin America and the Caribbean,1995,-4303645
Caribbean,1995,-590362
Antigua and Barbuda,1995,2231
Aruba,1995,14218
Bahamas,1995,-322
Barbados,1995,-5393
Cuba,1995,-120006
Curacao,1995,-11517
Dominican Republic,1995,-144154
Grenada,1995,-4210
Guadeloupe,1995,-8194
Haiti,1995,-140001
Jamaica,1995,-110068
Martinique,1995,-6748
Puerto Rico,1995,-296
Saint Lucia,1995,-5031
Saint Vincent and the Grenadines,1995,-8721
Trinidad and Tobago,1995,-32813
United States Virgin Islands,1995,-4618
Central America,1995,-2787048
Belize,1995,-9011
Costa Rica,1995,69202
El Salvador,1995,-265152
Guatemala,1995,-367469
Honduras,1995,-77999
Mexico,1995,-2018533
Nicaragua,1995,-120040
Panama,1995,1954
South America,1995,-926235
Argentina,1995,-105000
Bolivia,1995,-51670
Brazil,1995,0
Chile,1995,3610
Colombia,1995,-287950
Ecuador,1995,-19000
French Guiana,1995,4450
Guyana,1995,-57867
Paraguay,1995,-31180
Peru,1995,-354600
Suriname,1995,-5195
Uruguay,1995,-20000
Venezuela,1995,-2270
Australia/New Zealand,1995,469094
Australia,1995,351078
New Zealand,1995,118016
Oceania (excluding Australia and New Zealand),1995,-103485
Melanesia,1995,-56221
Fiji,1995,-33803
New Caledonia,1995,6328
Papua New Guinea,1995,-21116
Solomon Islands,1995,-6682
Vanuatu,1995,-948
Micronesia (country),1995,-13242
Guam,1995,1739
Kiribati,1995,-4435
Micronesia (region),1995,-1662
Polynesia,1995,-34022
French Polynesia,1995,-3424
Samoa,1995,-13998
Tonga,1995,-10980
Europe and Northern America,1995,10119347
Europe,1995,4968898
Eastern Europe,1995,1447939
Belarus,1995,-63057
Bulgaria,1995,-356464
Czechia,1995,29999
Hungary,1995,99980
Poland,1995,-159999
Moldova,1995,-131953
Romania,1995,-520001
Russia,1995,2490121
Slovakia,1995,-15108
Ukraine,1995,74421
Northern Europe,1995,176013
Channel Islands,1995,1170
Denmark,1995,65465
Estonia,1995,-111876
Finland,1995,47223
Iceland,1995,-1054
Ireland,1995,-15374
Latvia,1995,-116474
Lithuania,1995,-100301
Norway,1995,46903
Sweden,1995,156460
United Kingdom,1995,205443
Southern Europe,1995,-197293
Albania,1995,-443212
Bosnia and Herzegovina,1995,-740715
Croatia,1995,-143579
Greece,1995,459178
Italy,1995,152825
Malta,1995,1630
Montenegro,1995,-20249
North Macedonia,1995,-100107
Portugal,1995,149122
Serbia,1995,178348
Slovenia,1995,-17461
Spain,1995,319270
Western Europe,1995,3542239
Austria,1995,227841
Belgium,1995,106947
France,1995,122170
Germany,1995,2628459
Luxembourg,1995,20040
Netherlands,1995,186409
Switzerland,1995,247406
Northern America,1995,5150449
Canada,1995,690555
United States,1995,4463754
World,2000,0
More developed regions,2000,13132656
Less developed regions,2000,-13132656
Least developed countries,2000,-4295293
"Less developed regions, excluding least developed countries",2000,-8837363
"Less developed regions, excluding China",2000,-12903205
Land-locked Developing Countries (LLDC),2000,-3993420
Small Island Developing States (SIDS),2000,-619766
High-income countries,2000,13921107
Middle-income countries,2000,-10366425
Upper-middle-income countries,2000,-3805068
Lower-middle-income countries,2000,-6561357
Low-income countries,2000,-3595794
No income group available,2000,41112
Africa,2000,-2464494
Asia,2000,-5977897
Europe,2000,3161212
Latin America and the Caribbean,2000,-4668383
Northern America,2000,9640774
Oceania,2000,308788
Sub-Saharan Africa,2000,-887300
Eastern Africa,2000,-411056
Burundi,2000,-455304
Comoros,2000,-6000
Djibouti,2000,9988
Eritrea,2000,-129997
Ethiopia,2000,-155577
Kenya,2000,-21386
Madagascar,2000,-8500
Malawi,2000,-59163
Mauritius,2000,-8858
Mayotte,2000,4664
Mozambique,2000,-50000
Reunion,2000,9746
Rwanda,2000,1244966
Seychelles,2000,-255
Somalia,2000,0
South Sudan,2000,300000
Uganda,2000,-180002
 Tanzania,2000,-400706
Zambia,2000,20000
Zimbabwe,2000,-524671
Middle Africa,2000,-622612
Angola,2000,199800
Cameroon,2000,-48000
Central African Republic,2000,30000
Chad,2000,69444
Congo,2000,49302
Democratic Republic of Congo,2000,-958174
Equatorial Guinea,2000,35001
Gabon,2000,9566
Sao Tome and Principe,2000,-9551
Southern Africa,2000,592112
Botswana,2000,36443
Eswatini,2000,-25847
Lesotho,2000,-37212
Namibia,2000,-21174
South Africa,2000,639902
Western Africa,2000,-445744
Benin,2000,-2851
Burkina Faso,2000,-137499
Cape Verde,2000,-5438
Cote d'Ivoire,2000,180000
Gambia,2000,-4570
Ghana,2000,-126999
Guinea,2000,-181099
Guinea-Bissau,2000,-41167
Liberia,2000,462952
Mali,2000,-141950
Mauritania,2000,-44003
Niger,2000,-9944
Nigeria,2000,-95027
Senegal,2000,-227553
Sierra Leone,2000,-150000
Togo,2000,80000
Northern Africa and Western Asia,2000,-2459648
Northern Africa,2000,-1577194
Algeria,2000,-164413
Egypt,2000,-210899
Libya,2000,-57368
Morocco,2000,-532581
Sudan,2000,-602679
Tunisia,2000,-39804
Western Sahara,2000,30550
Western Asia,2000,-882454
Armenia,2000,-223873
Azerbaijan,2000,-111849
Bahrain,2000,39180
Cyprus,2000,53260
Georgia,2000,-653597
Iraq,2000,-17859
Israel,2000,245334
Jordan,2000,-150149
Kuwait,2000,242000
Lebanon,2000,-29428
Oman,2000,-193372
Qatar,2000,29506
Saudi Arabia,2000,-350000
Palestine,2000,69998
Syria,2000,-130000
Turkey,2000,-99999
United Arab Emirates,2000,498394
Yemen,2000,-100000
 Central and Southern Asia,2000,-4778138
Central Asia,2000,-1833345
Kazakhstan,2000,-1261512
Kyrgyzstan,2000,-27268
Tajikistan,2000,-237255
Turkmenistan,2000,-64674
Uzbekistan,2000,-242636
Southern Asia,2000,-2944793
Afghanistan,2000,-867540
Bangladesh,2000,-719899
Bhutan,2000,143
India,2000,-682569
Iran,2000,-218350
Maldives,2000,-1100
Nepal,2000,-464703
Pakistan,2000,470909
Sri Lanka,2000,-461684
 Eastern and South-Eastern Asia,2000,-317305
Eastern Asia,2000,-236751
China,2000,-382999
Hong Kong,2000,375683
Macao,2000,27864
 Taiwan,2000,-249999
North Korea,2000,-13932
Japan,2000,-100333
Mongolia,2000,-52463
South Korea,2000,159428
South-Eastern Asia,2000,-80554
Brunei,2000,4188
Cambodia,2000,348495
Indonesia,2000,-67671
Laos,2000,-134746
Malaysia,2000,516688
Myanmar,2000,-537998
Philippines,2000,-949346
Singapore,2000,321578
Thailand,2000,715832
Timor-Leste,2000,-81574
Vietnam,2000,-216001
Latin America and the Caribbean,2000,-4668383
Caribbean,2000,-621620
Antigua and Barbuda,2000,2469
Aruba,2000,6926
Bahamas,2000,-3001
Barbados,2000,-3643
Cuba,2000,-132839
Curacao,2000,-17077
Dominican Republic,2000,-150146
Grenada,2000,-3964
Guadeloupe,2000,-2977
Haiti,2000,-144998
Jamaica,2000,-93279
Martinique,2000,2540
Puerto Rico,2000,-30450
Saint Lucia,2000,-1541
Saint Vincent and the Grenadines,2000,-7971
Trinidad and Tobago,2000,-34262
United States Virgin Islands,2000,-3936
Central America,2000,-3124434
Belize,2000,11909
Costa Rica,2000,89527
El Salvador,2000,-326853
Guatemala,2000,-402326
Honduras,2000,-64998
Mexico,2000,-2296470
Nicaragua,2000,-145020
Panama,2000,9797
South America,2000,-922329
Argentina,2000,-128000
Bolivia,2000,-64330
Brazil,2000,0
Chile,2000,19340
Colombia,2000,-259000
Ecuador,2000,-69999
French Guiana,2000,6600
Guyana,2000,-86647
Paraguay,2000,-44090
Peru,2000,-255800
Suriname,2000,-10189
Uruguay,2000,-26000
Venezuela,2000,-4540
Australia/New Zealand,2000,431003
Australia,2000,388419
New Zealand,2000,42584
Oceania (excluding Australia and New Zealand),2000,-122215
Melanesia,2000,-70368
Fiji,2000,-38692
New Caledonia,2000,7075
Papua New Guinea,2000,-26081
Solomon Islands,2000,-5285
Vanuatu,2000,-7385
Micronesia (country),2000,-22032
Guam,2000,-4116
Kiribati,2000,-2801
Micronesia (region),2000,-12788
Polynesia,2000,-29815
French Polynesia,2000,3483
Samoa,2000,-17141
Tonga,2000,-8435
Europe and Northern America,2000,12801986
Europe,2000,3161212
Eastern Europe,2000,1125029
Belarus,2000,56146
Bulgaria,2000,-133824
Czechia,2000,46002
Hungary,2000,78562
Poland,2000,-85199
Moldova,2000,-165309
Romania,2000,-580778
Russia,2000,2374657
Slovakia,2000,-2964
Ukraine,2000,-462264
Northern Europe,2000,678131
Channel Islands,2000,2291
Denmark,2000,74568
Estonia,2000,-1197
Finland,2000,22154
Iceland,2000,1020
Ireland,2000,84879
Latvia,2000,-46601
Lithuania,2000,-93925
Norway,2000,58773
Sweden,2000,58470
United Kingdom,2000,513361
Southern Europe,2000,65634
Albania,2000,-179606
Bosnia and Herzegovina,2000,-159283
Croatia,2000,-188129
Greece,2000,297431
Italy,2000,-298237
Malta,2000,6378
Montenegro,2000,-21588
North Macedonia,2000,-4999
Portugal,2000,173604
Serbia,2000,-495902
Slovenia,2000,1487
Spain,2000,931072
Western Europe,2000,1292418
Austria,2000,65081
Belgium,2000,50870
France,2000,193631
Germany,2000,715944
Luxembourg,2000,19940
Netherlands,2000,178553
Switzerland,2000,65218
Northern America,2000,9640774
Canada,2000,783535
United States,2000,8859954
World,2005,0
More developed regions,2005,16452170
Less developed regions,2005,-16452170
Least developed countries,2005,-4393465
"Less developed regions, excluding least developed countries",2005,-12058706
"Less developed regions, excluding China",2005,-14802674
Land-locked Developing Countries (LLDC),2005,-2263736
Small Island Developing States (SIDS),2005,-843890
High-income countries,2005,18568371
Middle-income countries,2005,-16539799
Upper-middle-income countries,2005,-3962417
Lower-middle-income countries,2005,-12577382
Low-income countries,2005,-2091059
No income group available,2005,62487
Africa,2005,-2508171
Asia,2005,-8233500
Europe,2005,9178958
Latin America and the Caribbean,2005,-5330704
Northern America,2005,6385103
Oceania,2005,508314
Sub-Saharan Africa,2005,-954639
Eastern Africa,2005,-1034315
Burundi,2005,-24721
Comoros,2005,-10000
Djibouti,2005,-8997
Eritrea,2005,227290
Ethiopia,2005,-150001
Kenya,2005,25144
Madagascar,2005,-7500
Malawi,2005,-59163
Mauritius,2005,-19372
Mayotte,2005,200
Mozambique,2005,30004
Reunion,2005,-890
Rwanda,2005,-72601
Seychelles,2005,2634
Somalia,2005,0
South Sudan,2005,432000
Uganda,2005,-250002
 Tanzania,2005,-300523
Zambia,2005,-150000
Zimbabwe,2005,-697817
Middle Africa,2005,278005
Angola,2005,261100
Cameroon,2005,-54000
Central African Republic,2005,-24405
Chad,2005,218966
Congo,2005,51485
Democratic Republic of Congo,2005,-241564
Equatorial Guinea,2005,50003
Gabon,2005,24820
Sao Tome and Principe,2005,-8400
Southern Africa,2005,605937
Botswana,2005,26928
Eswatini,2005,-47814
Lesotho,2005,-161218
Namibia,2005,-941
South Africa,2005,788982
Western Africa,2005,-804266
Benin,2005,25005
Burkina Faso,2005,-125000
Cape Verde,2005,-9859
Cote d'Ivoire,2005,-300000
Gambia,2005,1517
Ghana,2005,25002
Guinea,2005,-349998
Guinea-Bissau,2005,-27932
Liberia,2005,-50000
Mali,2005,-67110
Mauritania,2005,-10004
Niger,2005,-9497
Nigeria,2005,-170000
Senegal,2005,-202487
Sierra Leone,2005,500000
Togo,2005,-33000
Northern Africa and Western Asia,2005,150947
Northern Africa,2005,-1553532
Algeria,2005,-205228
Egypt,2005,-74464
Libya,2005,-20569
Morocco,2005,-654821
Sudan,2005,-546005
Tunisia,2005,-143045
Western Sahara,2005,90600
Western Asia,2005,1704479
Armenia,2005,-160521
Azerbaijan,2005,36523
Bahrain,2005,155500
Cyprus,2005,57530
Georgia,2005,-148337
Iraq,2005,-266320
Israel,2005,102935
Jordan,2005,-93910
Kuwait,2005,26500
Lebanon,2005,550110
Oman,2005,15000
Qatar,2005,213916
Saudi Arabia,2005,747996
Palestine,2005,-190001
Syria,2005,-379910
Turkey,2005,-39998
United Arab Emirates,2005,1189616
Yemen,2005,-112150
 Central and Southern Asia,2005,-5175898
Central Asia,2005,-641500
Kazakhstan,2005,44530
Kyrgyzstan,2005,-172911
Tajikistan,2005,-144939
Turkmenistan,2005,-125883
Uzbekistan,2005,-242297
Southern Asia,2005,-4534398
Afghanistan,2005,744193
Bangladesh,2005,-1492537
Bhutan,2005,6171
India,2005,-1888986
Iran,2005,-48444
Maldives,2005,17392
Nepal,2005,-772525
Pakistan,2005,-650182
Sri Lanka,2005,-449480
 Eastern and South-Eastern Asia,2005,-4762081
Eastern Asia,2005,-1436266
China,2005,-1965578
Hong Kong,2005,64797
Macao,2005,46284
 Taiwan,2005,205000
North Korea,2005,-17190
Japan,2005,164199
Mongolia,2005,-15001
South Korea,2005,81223
South-Eastern Asia,2005,-3325815
Brunei,2005,422
Cambodia,2005,-35156
Indonesia,2005,-1149655
Laos,2005,-148100
Malaysia,2005,671473
Myanmar,2005,-1208092
Philippines,2005,-1244356
Singapore,2005,92772
Thailand,2005,373746
Timor-Leste,2005,-27870
Vietnam,2005,-650999
Latin America and the Caribbean,2005,-5330704
Caribbean,2005,-728305
Antigua and Barbuda,2005,252
Aruba,2005,6263
Bahamas,2005,11877
Barbados,2005,-3188
Cuba,2005,-145629
Curacao,2005,-6070
Dominican Republic,2005,-152553
Grenada,2005,-3511
Guadeloupe,2005,-38122
Haiti,2005,-139999
Jamaica,2005,-92045
Martinique,2005,-4008
Puerto Rico,2005,-145704
Saint Lucia,2005,-804
Saint Vincent and the Grenadines,2005,-5298
Trinidad and Tobago,2005,-17490
United States Virgin Islands,2005,-5272
Central America,2005,-2952251
Belize,2005,5797
Costa Rica,2005,41792
El Salvador,2005,-312786
Guatemala,2005,-281050
Honduras,2005,-41999
Mexico,2005,-2206114
Nicaragua,2005,-174010
Panama,2005,16119
South America,2005,-1650148
Argentina,2005,-125000
Bolivia,2005,-77720
Brazil,2005,0
Chile,2005,42330
Colombia,2005,-231000
Ecuador,2005,-120002
French Guiana,2005,17299
Guyana,2005,-63249
Paraguay,2005,-47150
Peru,2005,-909782
Suriname,2005,-9124
Uruguay,2005,-104000
Venezuela,2005,-22740
Australia/New Zealand,2005,723911
Australia,2005,589282
New Zealand,2005,134629
Oceania (excluding Australia and New Zealand),2005,-215597
Melanesia,2005,-150034
Fiji,2005,-58598
New Caledonia,2005,4000
Papua New Guinea,2005,-84417
Solomon Islands,2005,-8445
Vanuatu,2005,-2574
Micronesia (country),2005,-34811
Guam,2005,-9556
Kiribati,2005,-1938
Micronesia (region),2005,-12284
Polynesia,2005,-30752
French Polynesia,2005,77
Samoa,2005,-15641
Tonga,2005,-7835
Europe and Northern America,2005,15564061
Europe,2005,9178958
Eastern Europe,2005,967210
Belarus,2005,-6382
Bulgaria,2005,-85500
Czechia,2005,47402
Hungary,2005,61589
Poland,2005,-183471
Moldova,2005,-12079
Romania,2005,-468204
Russia,2005,1778101
Slovakia,2005,1199
Ukraine,2005,-165445
Northern Europe,2005,1298372
Channel Islands,2005,1513
Denmark,2005,46306
Estonia,2005,-18406
Finland,2005,31935
Iceland,2005,2940
Ireland,2005,201467
Latvia,2005,-72490
Lithuania,2005,-99104
Norway,2005,67400
Sweden,2005,141723
United Kingdom,2005,992223
Southern Europe,2005,4416041
Albania,2005,-176774
Bosnia and Herzegovina,2005,-6000
Croatia,2005,-2580
Greece,2005,113586
Italy,2005,1664343
Malta,2005,5611
Montenegro,2005,-7999
North Macedonia,2005,-14572
Portugal,2005,178353
Serbia,2005,-276331
Slovenia,2005,14998
Spain,2005,2908209
Western Europe,2005,2497335
Austria,2005,178117
Belgium,2005,219560
France,2005,926483
Germany,2005,824445
