id,name,dataset_id,description
0,"Data compiled by WID.world from multiple sources. For a complete list of sources, please visit https://wid.world/",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
1,See DINA guidelines for methodological explanations,,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
2,World Inequality Database (2020),,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
3,See DINA guidelines for methodological explanations. The sources used are: IMF Balance of Payments Statistics,,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
4,See DINA guidelines for methodological explanations. The sources used are: OECD,,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
5,WID.world estimates based on macro aggregates: see method and corresponding macro variables for details,,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
6,"Piketty, Thomas; Yang, Li and Zucman, Gabriel (2016). Capital Accumulation, Private Property and Rising Inequality in China, 1978-2015",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
7,"Piketty, Thomas; Zucman, Gabriel (2014).Capital is back: Wealth-Income ratios in Rich Countries 1700-2010. Series updated by Luis Bauluz & Pierre Brassac (2020).",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
8,"Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
9,"After 1962, Piketty, Thomas; Saez, Emmanuel and Zucman, Gabriel (2016). Distributional National Accounts: Methods and Estimates for the United States. Before 1962, Fisher-Post, Matthew (2020). Examining the Great Leveling: New Evidence on Midcentury American Inequality ; Saez, Emmanuel and Zucman, Gabriel (2020). The Rise of Income and Wealth Inequality in America: Evidence from Distributional Macroeconomic Accounts ; Zucman, Gabriel (2020). Technical Note US Distributional National Accounts: Updates",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
