code,description,unit,name,short_unit,source_id,id,dataset_id
accmhn992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital attributable to mixed income (average, individuals, adults) [accmhn992i]",,0,1,0
accmhn999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital attributable to mixed income (average, individuals, all ages) [accmhn999i]",,0,2,0
accmho992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital attributable to mixed income (average, individuals, adults) [accmho992i]",,0,3,0
accmho999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital attributable to mixed income (average, individuals, all ages) [accmho999i]",,0,4,0
accshn992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital attributable to operating surplus (average, individuals, adults) [accshn992i]",,0,5,0
accshn999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital attributable to operating surplus (average, individuals, all ages) [accshn999i]",,0,6,0
accsho992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital attributable to operating surplus (average, individuals, adults) [accsho992i]",,0,7,0
accsho999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital attributable to operating surplus (average, individuals, all ages) [accsho999i]",,0,8,0
acfcco992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital of corporations (average, individuals, adults) [acfcco992i]",,0,9,0
acfcco999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital of corporations (average, individuals, all ages) [acfcco999i]",,0,10,0
acfcfc992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital of financial coporations (average, individuals, adults) [acfcfc992i]",,0,11,0
acfcfc999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital of financial coporations (average, individuals, all ages) [acfcfc999i]",,0,12,0
acfcgo992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital of the general goverment (average, individuals, adults) [acfcgo992i]",,0,13,0
acfcgo999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital of the general goverment (average, individuals, all ages) [acfcgo999i]",,0,14,0
acfchn992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital of households and NPISH (average, individuals, adults) [acfchn992i]",,0,15,0
acfchn999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital of households and NPISH (average, individuals, all ages) [acfchn999i]",,0,16,0
acfcho992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital of households (average, individuals, adults) [acfcho992i]",,0,17,0
acfcho999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital of households (average, individuals, all ages) [acfcho999i]",,0,18,0
acfcnf992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital of non-financial coporations (average, individuals, adults) [acfcnf992i]",,0,19,0
acfcnf999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital of non-financial coporations (average, individuals, all ages) [acfcnf999i]",,0,20,0
acfcnp992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Consumption of fixed capital of NPISH (average, individuals, adults) [acfcnp992i]",,0,21,0
acfcnp999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Consumption of fixed capital of NPISH (average, individuals, all ages) [acfcnp999i]",,0,22,0
acolgo992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Collective consumption expenditure (average, individuals, adults) [acolgo992i]",,0,23,0
acolgo999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Collective consumption expenditure (average, individuals, all ages) [acolgo999i]",,0,24,0
acomhn992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Compensation of employees  (average, individuals, adults) [acomhn992i]",,0,25,0
acomhn999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Compensation of employees  (average, individuals, all ages) [acomhn999i]",,0,26,0
acomho992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Compensation of employees of households (average, individuals, adults) [acomho992i]",,0,27,0
acomho999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Compensation of employees of households (average, individuals, all ages) [acomho999i]",,0,28,0
acomnp992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Compensation of employees of NPISH (average, individuals, adults) [acomnp992i]",,0,29,0
acomnp999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Compensation of employees of NPISH (average, individuals, all ages) [acomnp999i]",,0,30,0
acomnx992i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals over age 20.",,"Net foreign labor income (average, individuals, adults) [acomnx992i]",,0,31,0
acomnx999i,"The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
The population is comprised of individuals of all ages.",,"Net foreign labor income (average, individuals, all ages) [acomnx999i]",,0,32,0
