goal,target_code,indicator,target,desired_direction,notes,target_value
1,1.1,1.1.1,Extreme poverty,decrease,,0
1,1.2,1.2.1,"National
poverty lines",decrease,,half
1,1.2,1.2.2,National poverty,decrease,,half
1,1.3,1.3.1,"Social
protection",increase,,
1,1.4,1.4.1,Basic services,increase,,
1,1.4,1.4.2,Secure land rights,increase,,
1,1.5,1.5.1,Disaster deaths,decrease,,
1,1.5,1.5.2,Disaster costs($),decrease,,
1,1.5,1.5.3,"Disaster risk
reduction",increase,,
1,1.5,1.5.4,"Local disaster
risk",increase,,
1,1.a,1.a.1,"Poverty
reduction prog",increase,check,
1,1.a,1.a.2,Gov't spending,increase,,
1,1.b,1.b.1,"Inflows to
poverty reduction",increase,,
2,2.1,2.1.1,Undernourishment,decrease,,
2,2.1,2.1.2,Food insecurity,decrease,,
2,2.2,2.2.1,Child stunting,decrease,,
2,2.2,2.2.2,"Child
wasting/obesity",decrease,,
2,2.2,2.2.3,"Anemia
prevalence",decrease,,
2,2.3,2.3.1,"Prod per
labour unit",increase,,
2,2.3,2.3.2,"Small-scale
farmer ($$)",increase,,
2,2.4,2.4.1,"Sustainable
production",increase,,
2,2.5,2.5.1,"Genetic
resources",increase,,
2,2.5,2.5.2,"Local breed
extinction",decrease,,
2,2.a,2.a.1,"Agri-orientation
index",increase,,
2,2.a,2.a.2,ODA ($$) to agri,increase,check,
2,2.b,2.b.1,"Agri export
subsidies",decrease,,
2,2.c,2.c.1,"Food
prices anomaly",increase,check,
3,3.1,3.1.1,Maternal mortality,decrease,,
3,3.1,3.1.2,"Health
staff at births",increase,,
3,3.2,3.2.1,Child mortality,decrease,,
3,3.2,3.2.2,Neonatal mortality,decrease,,
3,3.3,3.3.1,"New HIV
Infections",decrease,,
3,3.3,3.3.2,"Tubercolosis
incidence",decrease,,
3,3.3,3.3.3,"Malaria
incidence",decrease,,
3,3.3,3.3.4,"Hepatitis B
 incidence",decrease,,
3,3.3,3.3.5,"Neglected
tropical disease",decrease,,
3,3.4,3.4.1,NCDs,decrease,,
3,3.4,3.4.2,"Suicide
mortality",decrease,,
3,3.5,3.5.1,"Substance use
treatment",increase,,
3,3.5,3.5.2,Alcohol intake,decrease,,
3,3.6,3.6.1,"Road
traffic injury",decrease,,
3,3.7,3.7.1,Family planning,increase,,
3,3.7,3.7.2,"Adolescent
births",decrease,,
3,3.8,3.8.1,"Healthcare
coverage",increase,,
