Footnote,Year,"Country of origin (ISO)","Country of asylum (ISO)","Population type"
"Refugees includes people in refugee-like situations","2020 - 2021",ESH,,REF
"The 303,100 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.","2020 - 2021",VNM,CHN,REF
"In 2020, the refugee estimates were updated using the data provided by ISTAT for 2019, augmented with the decisions on asylum applications provided by the Ministry of Interior in 2020. The ISTAT statistics provide the total number of people with valid refugee residence permits, disaggregated for the 50 most common countries of origins. This resulted in a reduction in the start-year refugee population of 91,200 refugees.",2020,,ITA,REF
"The reduction of about 109,400 is due to improved estimates of Somali refugees in Yemen. Starting in September 2020, UNHCR has been working with the authorities and other actors to improve estimates of refugee and asylum-seeker statistics in Yemen.",2020,,YEM,REF
"The methodology for estimating the number of refugees in Australia is under review and subject to adjustment in future reports. The asylum-seeker figure is based on the number of applications lodged for protection visas.","2020 - 2021",,AUS,REF
"In October 2020, UNHCR Iran received the data on total number of refugees from the Government of the Islamic Republic of Iran, on which consultations are ongoing. According to it, 800,000 refugee card holders reside in the Islamic Republic of Iran, 780,000 of whom are Afghans and 20,000 Iraqis. The last time the Iranian Government had shared information on Afghan refugee population was in May 2015, when according to it 951,410 Afghan refugees resided in Iran; the Iraqi refugee population data was shared in 2013, and according to it 28,268 Iraqi refugees resided in Iran. UNHCR is in consultations with the authorities to understand the reasons behind the decrease reported in 2020 data (170,081 for Afghan refugees and 8,268 for Iraqi refugees).",2020,,IRN,REF
"No official data on the actual number of refugees residing in Bulgaria is available. According to estimates, between 1,000 and 2,000 refugees and humanitarian status holders remain in the country. It is expected that the 2021 National Census, which will include the first-time refugee and stateless populations, will provide more accurate data.","2020 - 2021",KGZ,BGR,REF
"A limited number of countries record refugee and asylum statistics by country of birth rather than country of origin. This affects the number of refugees reported as originating from the United States of America.","2020 - 2021",USA,KGZ,REF
"According to the Government of Algeria, there are an estimated 165,000 Sahrawi refugees in the Tindouf camps. Statistical data relating to refugees are entirely for humanitarian purposes. The total number of persons in need of humanitarian assistance services is estimated to be far higher than this figure.","2020 - 2021",KGZ,DZA,REF
"The refugee population in Jordan includes 34,300 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2020,IRQ,,REF
"In Poland, the refugee population was rebased using the estimate of those likely to still be present on the territory of the State using the number of valid identity cards at year-end. This resulted in a reduction of some 10,200 refugees.",2020,,POL,REF
"The refugee population in Jordan includes 34,350 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2021,IRQ,KGZ,REF
"Refers to Palestinian refugees under the UNHCR mandate only.",2020,PSE,,REF
"Refugee figure is a Government estimate.",2021,KGZ,TUR,REF
