name,unit,dataset_id,id
Barro-Lee: Percentage of female population age 15-19 with no education,,0,0
Barro-Lee: Percentage of population age 15-19 with no education,,0,1
Barro-Lee: Percentage of female population age 15+ with no education,,0,2
Barro-Lee: Percentage of population age 15+ with no education,,0,3
Barro-Lee: Percentage of female population age 20-24 with no education,,0,4
Barro-Lee: Percentage of population age 20-24 with no education,,0,5
Barro-Lee: Percentage of female population age 25-29 with no education,,0,6
Barro-Lee: Percentage of population age 25-29 with no education,,0,7
Barro-Lee: Percentage of female population age 25+ with no education,,0,8
Barro-Lee: Percentage of population age 25+ with no education,,0,9
Barro-Lee: Percentage of female population age 30-34 with no education,,0,10
Barro-Lee: Percentage of population age 30-34 with no education,,0,11
Barro-Lee: Percentage of female population age 35-39 with no education,,0,12
Barro-Lee: Percentage of population age 35-39 with no education,,0,13
Barro-Lee: Percentage of female population age 40-44 with no education,,0,14
Barro-Lee: Percentage of population age 40-44 with no education,,0,15
Barro-Lee: Percentage of female population age 45-49 with no education,,0,16
Barro-Lee: Percentage of population age 45-49 with no education,,0,17
Barro-Lee: Percentage of female population age 50-54 with no education,,0,18
Barro-Lee: Percentage of population age 50-54 with no education,,0,19
Barro-Lee: Percentage of female population age 55-59 with no education,,0,20
Barro-Lee: Percentage of population age 55-59 with no education,,0,21
Barro-Lee: Percentage of female population age 60-64 with no education,,0,22
Barro-Lee: Percentage of population age 60-64 with no education,,0,23
Barro-Lee: Percentage of female population age 65-69 with no education,,0,24
Barro-Lee: Percentage of population age 65-69 with no education,,0,25
Barro-Lee: Percentage of female population age 70-74 with no education,,0,26
Barro-Lee: Percentage of population age 70-74 with no education,,0,27
Barro-Lee: Percentage of female population age 75+ with no education,,0,28
Barro-Lee: Percentage of population age 75+ with no education,,0,29
"Barro-Lee: Population in thousands, age 15-19, total",,0,30
"Barro-Lee: Population in thousands, age 15-19, female",,0,31
"Barro-Lee: Population in thousands, age 15+, total",,0,32
"Barro-Lee: Population in thousands, age 15+, female",,0,33
"Barro-Lee: Population in thousands, age 20-24, total",,0,34
"Barro-Lee: Population in thousands, age 20-24, female",,0,35
"Barro-Lee: Population in thousands, age 25-29, total",,0,36
"Barro-Lee: Population in thousands, age 25-29, female",,0,37
"Barro-Lee: Population in thousands, age 25+, total",,0,38
"Barro-Lee: Population in thousands, age 25+, female",,0,39
"Barro-Lee: Population in thousands, age 30-34, total",,0,40
"Barro-Lee: Population in thousands, age 30-34, female",,0,41
"Barro-Lee: Population in thousands, age 35-39, total",,0,42
"Barro-Lee: Population in thousands, age 35-39, female",,0,43
"Barro-Lee: Population in thousands, age 40-44, total",,0,44
"Barro-Lee: Population in thousands, age 40-44, female",,0,45
"Barro-Lee: Population in thousands, age 45-49, total",,0,46
"Barro-Lee: Population in thousands, age 45-49, female",,0,47
"Barro-Lee: Population in thousands, age 50-54, total",,0,48
"Barro-Lee: Population in thousands, age 50-54, female",,0,49
"Barro-Lee: Population in thousands, age 55-59, total",,0,50
"Barro-Lee: Population in thousands, age 55-59, female",,0,51
"Barro-Lee: Population in thousands, age 60-64, total",,0,52
"Barro-Lee: Population in thousands, age 60-64, female",,0,53
