id,name
0,World Bank EdStats - Attainment
1,World Bank EdStats - Education Equality
2,World Bank EdStats - Infrastructure: Communications
3,World Bank EdStats - Learning Outcomes
4,World Bank EdStats - Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators
5,World Bank EdStats - Economic Policy & Debt: National accounts: US$ at constant 2010 prices: Aggregate indicators
6,World Bank EdStats - Economic Policy & Debt: Purchasing power parity
7,World Bank EdStats - Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita
8,World Bank EdStats - Teachers
9,World Bank EdStats - Education Management Information Systems (SABER)
10,World Bank EdStats - Early Child Development (SABER)
11,World Bank EdStats - Engaging the Private Sector (SABER)
12,World Bank EdStats - School Health and School Feeding (SABER)
13,World Bank EdStats - School Autonomy and Accountability (SABER)
14,World Bank EdStats - School Finance (SABER)
15,World Bank EdStats - Student Assessment (SABER)
16,World Bank EdStats - Teachers (SABER)
17,World Bank EdStats - Tertiary Education (SABER)
18,World Bank EdStats - Workforce Development (SABER)
19,World Bank EdStats - Literacy
20,World Bank EdStats - Background
21,World Bank EdStats - Primary
22,World Bank EdStats - Secondary
23,World Bank EdStats - Tertiary
24,World Bank EdStats - Early Childhood Education
25,World Bank EdStats - Pre-Primary
26,World Bank EdStats - Expenditures
27,World Bank EdStats - Health: Risk factors
28,World Bank EdStats - Health: Mortality
29,World Bank EdStats - Social Protection & Labor: Labor force structure
30,World Bank EdStats - Laber
31,World Bank EdStats - Social Protection & Labor: Unemployment
32,World Bank EdStats - Health: Population: Structure
33,World Bank EdStats - Population
34,World Bank EdStats - Health: Population: Dynamics
35,World Bank EdStats - EMIS
36,World Bank EdStats - Post-Secondary/Non-Tertiary
