year,country,value
2018,China,25.3
2019,China,26.5
2020,China,27.8
2021,China,29.0
2022,China,30.2
2023,China,31.3
2024,China,32.5
2025,China,33.6
2026,China,34.7
2027,China,35.8
2028,China,36.9
2029,China,38.0
2030,China,39.1
2018,North Korea,20.0
2019,North Korea,20.7
2020,North Korea,21.4
2021,North Korea,22.1
2022,North Korea,22.8
2023,North Korea,23.5
2024,North Korea,24.1
2025,North Korea,24.8
2026,North Korea,25.4
2027,North Korea,26.1
2028,North Korea,26.7
2029,North Korea,27.3
2030,North Korea,28.0
2018,Taiwan,75.6
2019,Taiwan,76.9
2020,Taiwan,78.1
2021,Taiwan,79.4
2022,Taiwan,80.7
2023,Taiwan,81.9
2024,Taiwan,83.0
2025,Taiwan,84.2
2026,Taiwan,85.3
2027,Taiwan,86.4
2028,Taiwan,87.4
2029,Taiwan,88.4
2030,Taiwan,89.3
2018,Cambodia,52.6
2019,Cambodia,53.6
2020,Cambodia,54.6
2021,Cambodia,55.7
2022,Cambodia,56.7
2023,Cambodia,57.7
2024,Cambodia,58.7
2025,Cambodia,59.7
2026,Cambodia,60.8
2027,Cambodia,61.8
2028,Cambodia,62.9
2029,Cambodia,63.9
2030,Cambodia,65.0
2018,Indonesia,64.8
2019,Indonesia,65.9
2020,Indonesia,66.9
2021,Indonesia,67.9
2022,Indonesia,68.9
2023,Indonesia,70.0
2024,Indonesia,71.0
2025,Indonesia,72.0
2026,Indonesia,73.0
2027,Indonesia,73.9
2028,Indonesia,74.9
2029,Indonesia,75.9
2030,Indonesia,76.9
2018,Laos,51.5
2019,Laos,52.7
2020,Laos,53.9
2021,Laos,55.0
2022,Laos,56.2
2023,Laos,57.3
2024,Laos,58.4
2025,Laos,59.5
2026,Laos,60.7
2027,Laos,61.8
2028,Laos,62.9
2029,Laos,64.0
2030,Laos,65.1
2018,Malaysia,46.2
2019,Malaysia,46.9
2020,Malaysia,47.6
2021,Malaysia,48.4
2022,Malaysia,49.1
2023,Malaysia,50.0
2024,Malaysia,51.1
2025,Malaysia,52.4
2026,Malaysia,53.8
2027,Malaysia,55.2
2028,Malaysia,56.7
2029,Malaysia,58.2
2030,Malaysia,59.7
2018,Maldives,100.0
2019,Maldives,100.0
