id,name,unit,short_unit,description,display,dataset_id,source_id
0,Annual CO2 emissions,tonnes,t,"Annual production-based emissions of carbon dioxide (CO2), measured in tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""Annual CO\u2082 emissions""}",0,0
12,Annual CO2 emissions (per capita),tonnes per capita,t,"Annual production-based emissions of carbon dioxide (CO2), measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""Annual CO\u2082 emissions (per capita)""}",0,2
52,Annual CO2 emissions (per capita) (zero filled),tonnes per capita,t,"Annual production-based emissions of carbon dioxide (CO2), measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""Annual CO\u2082 emissions (per capita)""}",0,2
45,Annual CO2 emissions (zero filled),tonnes,t,"Annual production-based emissions of carbon dioxide (CO2), measured in tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""Annual CO\u2082 emissions""}",0,0
10,Annual CO2 emissions embedded in trade,tonnes,t,"Annual net carbon dioxide (CO2) emissions embedded in trade, measured in tonnes. Net CO2 emissions embedded in trade is the net of CO2 which is imported or exported via traded goods with an economy. A positive value denotes a country or region is a net importer of CO2 emissions; a negative value indicates a country is a net exporter.","{""name"": ""Annual imported or exported CO\u2082 Emissions""}",0,1
20,Annual CO2 emissions embedded in trade (per capita),tonnes per capita,t,"Annual net carbon dioxide (CO2) emissions embedded in trade, measured in tonnes per person. Net CO2 emissions embedded in trade is the net of CO2 which is imported or exported via traded goods with an economy. A positive value denotes a country or region is a net importer of CO2 emissions; a negative value indicates a country is a net exporter.","{""name"": ""Annual imported or exported CO\u2082 Emissions (per capita)""}",0,2
4,Annual CO2 emissions from cement,tonnes,t,"Annual production-based emissions of carbon dioxide (CO2) from cement, measured in tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""Annual CO\u2082 emissions from cement""}",0,0
17,Annual CO2 emissions from cement (per capita),tonnes per capita,t,"Annual production-based emissions of carbon dioxide (CO2) from cement, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""CO\u2082 emissions from cement (per capita)""}",0,2
57,Annual CO2 emissions from cement (per capita) (zero filled),tonnes per capita,t,"Annual production-based emissions of carbon dioxide (CO2) from cement, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""CO\u2082 emissions from cement (per capita)""}",0,2
49,Annual CO2 emissions from cement (zero filled),tonnes,t,"Annual production-based emissions of carbon dioxide (CO2) from cement, measured in tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""Annual CO\u2082 emissions from cement""}",0,0
1,Annual CO2 emissions from coal,tonnes,t,"Annual production-based emissions of carbon dioxide (CO2) from coal, measured in tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""Annual CO\u2082 emissions from coal""}",0,0
13,Annual CO2 emissions from coal (per capita),tonnes per capita,t,"Annual production-based emissions of carbon dioxide (CO2) from coal, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.","{""name"": ""CO\u2082 emissions from coal (per capita)""}",0,2
