country,year,variable,value
Afghanistan,1970,Share of global annual CO2 emissions from flaring,0.11
Afghanistan,1971,Share of global annual CO2 emissions from flaring,0.09
Afghanistan,1972,Share of global annual CO2 emissions from flaring,0.11
Afghanistan,1973,Share of global annual CO2 emissions from flaring,0.06
Afghanistan,1974,Share of global annual CO2 emissions from flaring,0.09
Afghanistan,1975,Share of global annual CO2 emissions from flaring,0.09
Afghanistan,1976,Share of global annual CO2 emissions from flaring,0.07
Afghanistan,1977,Share of global annual CO2 emissions from flaring,0.1
Afghanistan,1978,Share of global annual CO2 emissions from flaring,0.07
Afghanistan,1979,Share of global annual CO2 emissions from flaring,0.07
Afghanistan,1980,Share of global annual CO2 emissions from flaring,0.1
Afghanistan,1981,Share of global annual CO2 emissions from flaring,0.12
Afghanistan,1982,Share of global annual CO2 emissions from flaring,0.12
Afghanistan,1983,Share of global annual CO2 emissions from flaring,0.14
Afghanistan,1984,Share of global annual CO2 emissions from flaring,0.17
Afghanistan,1985,Share of global annual CO2 emissions from flaring,0.18
Afghanistan,1986,Share of global annual CO2 emissions from flaring,0.19
Afghanistan,1987,Share of global annual CO2 emissions from flaring,0.14
Afghanistan,1988,Share of global annual CO2 emissions from flaring,0.1
Afghanistan,1989,Share of global annual CO2 emissions from flaring,0.03
Afghanistan,1990,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,1991,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,1992,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,1993,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,1994,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,1995,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,1996,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,1997,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,1998,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,1999,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,2000,Share of global annual CO2 emissions from flaring,0.01
Afghanistan,2001,Share of global annual CO2 emissions from flaring,0.01
Africa,1963,Share of global annual CO2 emissions from flaring,1.27
Africa,1964,Share of global annual CO2 emissions from flaring,1.66
Africa,1965,Share of global annual CO2 emissions from flaring,3.79
Africa,1966,Share of global annual CO2 emissions from flaring,3.59
Africa,1967,Share of global annual CO2 emissions from flaring,10.88
Africa,1968,Share of global annual CO2 emissions from flaring,14.56
Africa,1969,Share of global annual CO2 emissions from flaring,15.71
Africa,1970,Share of global annual CO2 emissions from flaring,19.78
Africa,1971,Share of global annual CO2 emissions from flaring,17.42
Africa,1972,Share of global annual CO2 emissions from flaring,18.64
Africa,1973,Share of global annual CO2 emissions from flaring,19.9
Africa,1974,Share of global annual CO2 emissions from flaring,20.79
Africa,1975,Share of global annual CO2 emissions from flaring,19.1
Africa,1976,Share of global annual CO2 emissions from flaring,19.68
Africa,1977,Share of global annual CO2 emissions from flaring,18.76
Africa,1978,Share of global annual CO2 emissions from flaring,18.38
Africa,1979,Share of global annual CO2 emissions from flaring,24.36
Africa,1980,Share of global annual CO2 emissions from flaring,24.1
Africa,1981,Share of global annual CO2 emissions from flaring,22.15
Africa,1982,Share of global annual CO2 emissions from flaring,19.07
Africa,1983,Share of global annual CO2 emissions from flaring,19.37
Africa,1984,Share of global annual CO2 emissions from flaring,24.36
Africa,1985,Share of global annual CO2 emissions from flaring,28.27
Africa,1986,Share of global annual CO2 emissions from flaring,31.17
Africa,1987,Share of global annual CO2 emissions from flaring,27.44
Africa,1988,Share of global annual CO2 emissions from flaring,26.45
Africa,1989,Share of global annual CO2 emissions from flaring,14.56
Africa,1990,Share of global annual CO2 emissions from flaring,8.22
Africa,1991,Share of global annual CO2 emissions from flaring,7.77
Africa,1992,Share of global annual CO2 emissions from flaring,9.84
Africa,1993,Share of global annual CO2 emissions from flaring,9.33
Africa,1994,Share of global annual CO2 emissions from flaring,9.2
Africa,1995,Share of global annual CO2 emissions from flaring,10.25
Africa,1996,Share of global annual CO2 emissions from flaring,10.03
Africa,1997,Share of global annual CO2 emissions from flaring,9.63
Africa,1998,Share of global annual CO2 emissions from flaring,9.92
Africa,1999,Share of global annual CO2 emissions from flaring,10.53
Africa,2000,Share of global annual CO2 emissions from flaring,20.5
Africa,2001,Share of global annual CO2 emissions from flaring,21.36
Africa,2002,Share of global annual CO2 emissions from flaring,24.92
Africa,2003,Share of global annual CO2 emissions from flaring,23.07
Africa,2004,Share of global annual CO2 emissions from flaring,24.67
Africa,2005,Share of global annual CO2 emissions from flaring,22.78
Africa,2006,Share of global annual CO2 emissions from flaring,22.06
Africa,2007,Share of global annual CO2 emissions from flaring,21.91
Africa,2008,Share of global annual CO2 emissions from flaring,19.87
Africa,2009,Share of global annual CO2 emissions from flaring,16.53
Africa,2010,Share of global annual CO2 emissions from flaring,17.52
Africa,2011,Share of global annual CO2 emissions from flaring,16.39
Africa,2012,Share of global annual CO2 emissions from flaring,16.3
Africa,2013,Share of global annual CO2 emissions from flaring,15.41
Africa,2014,Share of global annual CO2 emissions from flaring,14.97
Africa,2015,Share of global annual CO2 emissions from flaring,14.59
Africa,2016,Share of global annual CO2 emissions from flaring,12.28
Africa,2017,Share of global annual CO2 emissions from flaring,11.7
Africa,2018,Share of global annual CO2 emissions from flaring,10.79
Africa,2019,Share of global annual CO2 emissions from flaring,10.23
Africa,2020,Share of global annual CO2 emissions from flaring,10.22
Algeria,1970,Share of global annual CO2 emissions from flaring,2.4
Algeria,1971,Share of global annual CO2 emissions from flaring,2.79
Algeria,1972,Share of global annual CO2 emissions from flaring,4.85
Algeria,1973,Share of global annual CO2 emissions from flaring,6.08
Algeria,1974,Share of global annual CO2 emissions from flaring,4.77
Algeria,1975,Share of global annual CO2 emissions from flaring,4.45
Algeria,1976,Share of global annual CO2 emissions from flaring,5.25
Algeria,1977,Share of global annual CO2 emissions from flaring,6.0
Algeria,1978,Share of global annual CO2 emissions from flaring,6.03
Algeria,1979,Share of global annual CO2 emissions from flaring,5.35
Algeria,1980,Share of global annual CO2 emissions from flaring,5.91
Algeria,1981,Share of global annual CO2 emissions from flaring,5.46
Algeria,1982,Share of global annual CO2 emissions from flaring,3.93
Algeria,1983,Share of global annual CO2 emissions from flaring,3.95
Algeria,1984,Share of global annual CO2 emissions from flaring,5.87
Algeria,1985,Share of global annual CO2 emissions from flaring,9.02
Algeria,1986,Share of global annual CO2 emissions from flaring,8.48
Algeria,1987,Share of global annual CO2 emissions from flaring,7.41
Algeria,1988,Share of global annual CO2 emissions from flaring,5.94
Algeria,1989,Share of global annual CO2 emissions from flaring,7.77
Algeria,1990,Share of global annual CO2 emissions from flaring,3.44
Algeria,1991,Share of global annual CO2 emissions from flaring,3.23
Algeria,1992,Share of global annual CO2 emissions from flaring,5.86
Algeria,1993,Share of global annual CO2 emissions from flaring,5.54
Algeria,1994,Share of global annual CO2 emissions from flaring,5.57
Algeria,1995,Share of global annual CO2 emissions from flaring,6.63
Algeria,1996,Share of global annual CO2 emissions from flaring,6.07
Algeria,1997,Share of global annual CO2 emissions from flaring,5.49
Algeria,1998,Share of global annual CO2 emissions from flaring,5.76
Algeria,1999,Share of global annual CO2 emissions from flaring,5.78
Algeria,2000,Share of global annual CO2 emissions from flaring,4.12
Algeria,2001,Share of global annual CO2 emissions from flaring,3.1
Algeria,2002,Share of global annual CO2 emissions from flaring,2.99
Algeria,2003,Share of global annual CO2 emissions from flaring,2.86
Algeria,2004,Share of global annual CO2 emissions from flaring,2.25
Algeria,2005,Share of global annual CO2 emissions from flaring,1.86
Algeria,2006,Share of global annual CO2 emissions from flaring,1.93
Algeria,2007,Share of global annual CO2 emissions from flaring,2.58
Algeria,2008,Share of global annual CO2 emissions from flaring,2.63
Algeria,2009,Share of global annual CO2 emissions from flaring,2.88
Algeria,2010,Share of global annual CO2 emissions from flaring,2.62
Algeria,2011,Share of global annual CO2 emissions from flaring,1.96
Algeria,2012,Share of global annual CO2 emissions from flaring,1.84
Algeria,2013,Share of global annual CO2 emissions from flaring,1.9
Algeria,2014,Share of global annual CO2 emissions from flaring,1.99
Algeria,2015,Share of global annual CO2 emissions from flaring,1.82
Algeria,2016,Share of global annual CO2 emissions from flaring,1.62
Algeria,2017,Share of global annual CO2 emissions from flaring,1.36
Algeria,2018,Share of global annual CO2 emissions from flaring,1.36
Algeria,2019,Share of global annual CO2 emissions from flaring,1.29
Algeria,2020,Share of global annual CO2 emissions from flaring,1.29
Angola,1970,Share of global annual CO2 emissions from flaring,0.53
Angola,1971,Share of global annual CO2 emissions from flaring,0.43
Angola,1972,Share of global annual CO2 emissions from flaring,0.46
Angola,1973,Share of global annual CO2 emissions from flaring,0.46
Angola,1974,Share of global annual CO2 emissions from flaring,0.49
Angola,1975,Share of global annual CO2 emissions from flaring,0.53
Angola,1976,Share of global annual CO2 emissions from flaring,0.28
Angola,1977,Share of global annual CO2 emissions from flaring,0.57
Angola,1978,Share of global annual CO2 emissions from flaring,0.61
Angola,1979,Share of global annual CO2 emissions from flaring,0.67
Angola,1980,Share of global annual CO2 emissions from flaring,0.76
Angola,1981,Share of global annual CO2 emissions from flaring,0.93
Angola,1982,Share of global annual CO2 emissions from flaring,0.93
Angola,1983,Share of global annual CO2 emissions from flaring,1.06
Angola,1984,Share of global annual CO2 emissions from flaring,1.24
Angola,1985,Share of global annual CO2 emissions from flaring,1.29
Angola,1986,Share of global annual CO2 emissions from flaring,1.39
Angola,1987,Share of global annual CO2 emissions from flaring,1.48
Angola,1988,Share of global annual CO2 emissions from flaring,1.3
Angola,1989,Share of global annual CO2 emissions from flaring,1.61
Angola,1990,Share of global annual CO2 emissions from flaring,0.59
Angola,1991,Share of global annual CO2 emissions from flaring,0.59
Angola,1992,Share of global annual CO2 emissions from flaring,0.71
Angola,1993,Share of global annual CO2 emissions from flaring,0.7
Angola,1994,Share of global annual CO2 emissions from flaring,0.63
Angola,1995,Share of global annual CO2 emissions from flaring,0.6
Angola,1996,Share of global annual CO2 emissions from flaring,0.94
Angola,1997,Share of global annual CO2 emissions from flaring,1.16
Angola,1998,Share of global annual CO2 emissions from flaring,1.42
Angola,1999,Share of global annual CO2 emissions from flaring,1.92
Angola,2000,Share of global annual CO2 emissions from flaring,1.74
Angola,2001,Share of global annual CO2 emissions from flaring,1.53
Angola,2002,Share of global annual CO2 emissions from flaring,2.15
Angola,2003,Share of global annual CO2 emissions from flaring,0.23
Angola,2004,Share of global annual CO2 emissions from flaring,3.83
Angola,2005,Share of global annual CO2 emissions from flaring,3.76
Angola,2006,Share of global annual CO2 emissions from flaring,3.75
Angola,2007,Share of global annual CO2 emissions from flaring,4.03
Angola,2008,Share of global annual CO2 emissions from flaring,3.67
Angola,2009,Share of global annual CO2 emissions from flaring,3.61
Angola,2010,Share of global annual CO2 emissions from flaring,3.69
Angola,2011,Share of global annual CO2 emissions from flaring,3.9
Angola,2012,Share of global annual CO2 emissions from flaring,3.83
Angola,2013,Share of global annual CO2 emissions from flaring,3.64
Angola,2014,Share of global annual CO2 emissions from flaring,3.53
Angola,2015,Share of global annual CO2 emissions from flaring,3.61
Angola,2016,Share of global annual CO2 emissions from flaring,3.29
Angola,2017,Share of global annual CO2 emissions from flaring,3.27
Angola,2018,Share of global annual CO2 emissions from flaring,1.91
Angola,2019,Share of global annual CO2 emissions from flaring,1.81
Angola,2020,Share of global annual CO2 emissions from flaring,1.81
Argentina,1966,Share of global annual CO2 emissions from flaring,1.62
Argentina,1967,Share of global annual CO2 emissions from flaring,1.47
Argentina,1968,Share of global annual CO2 emissions from flaring,1.41
Argentina,1969,Share of global annual CO2 emissions from flaring,1.16
Argentina,1970,Share of global annual CO2 emissions from flaring,1.01
