country,year,variable,value
Asia,1960,Share of global cumulative CO2 emissions from other industry,8.78
Asia,1961,Share of global cumulative CO2 emissions from other industry,16.07
Asia,1962,Share of global cumulative CO2 emissions from other industry,21.98
Asia,1963,Share of global cumulative CO2 emissions from other industry,26.89
Asia,1964,Share of global cumulative CO2 emissions from other industry,31.24
Asia,1965,Share of global cumulative CO2 emissions from other industry,34.59
Asia,1966,Share of global cumulative CO2 emissions from other industry,37.42
Asia,1967,Share of global cumulative CO2 emissions from other industry,39.93
Asia,1968,Share of global cumulative CO2 emissions from other industry,42.14
Asia,1969,Share of global cumulative CO2 emissions from other industry,44.16
Asia,1970,Share of global cumulative CO2 emissions from other industry,46.19
Asia,1971,Share of global cumulative CO2 emissions from other industry,47.96
Asia,1972,Share of global cumulative CO2 emissions from other industry,49.69
Asia,1973,Share of global cumulative CO2 emissions from other industry,51.34
Asia,1974,Share of global cumulative CO2 emissions from other industry,52.78
Asia,1975,Share of global cumulative CO2 emissions from other industry,53.95
Asia,1976,Share of global cumulative CO2 emissions from other industry,55.04
Asia,1977,Share of global cumulative CO2 emissions from other industry,56.03
Asia,1978,Share of global cumulative CO2 emissions from other industry,56.95
Asia,1979,Share of global cumulative CO2 emissions from other industry,57.8
Asia,1980,Share of global cumulative CO2 emissions from other industry,58.52
Asia,1981,Share of global cumulative CO2 emissions from other industry,59.13
Asia,1982,Share of global cumulative CO2 emissions from other industry,59.9
Asia,1983,Share of global cumulative CO2 emissions from other industry,60.69
Asia,1984,Share of global cumulative CO2 emissions from other industry,61.48
Asia,1985,Share of global cumulative CO2 emissions from other industry,62.3
Asia,1986,Share of global cumulative CO2 emissions from other industry,63.24
Asia,1987,Share of global cumulative CO2 emissions from other industry,64.4
Asia,1988,Share of global cumulative CO2 emissions from other industry,65.72
Asia,1989,Share of global cumulative CO2 emissions from other industry,66.84
Asia,1990,Share of global cumulative CO2 emissions from other industry,63.45
Asia,1991,Share of global cumulative CO2 emissions from other industry,61.18
Asia,1992,Share of global cumulative CO2 emissions from other industry,59.69
Asia,1993,Share of global cumulative CO2 emissions from other industry,58.83
Asia,1994,Share of global cumulative CO2 emissions from other industry,58.23
Asia,1995,Share of global cumulative CO2 emissions from other industry,57.68
Asia,1996,Share of global cumulative CO2 emissions from other industry,57.3
Asia,1997,Share of global cumulative CO2 emissions from other industry,57.0
Asia,1998,Share of global cumulative CO2 emissions from other industry,56.72
Asia,1999,Share of global cumulative CO2 emissions from other industry,56.44
Asia,2000,Share of global cumulative CO2 emissions from other industry,56.17
Asia,2001,Share of global cumulative CO2 emissions from other industry,55.94
Asia,2002,Share of global cumulative CO2 emissions from other industry,55.73
Asia,2003,Share of global cumulative CO2 emissions from other industry,55.55
Asia,2004,Share of global cumulative CO2 emissions from other industry,55.4
Asia,2005,Share of global cumulative CO2 emissions from other industry,55.32
Asia,2006,Share of global cumulative CO2 emissions from other industry,55.28
Asia,2007,Share of global cumulative CO2 emissions from other industry,55.28
Asia,2008,Share of global cumulative CO2 emissions from other industry,55.34
Asia,2009,Share of global cumulative CO2 emissions from other industry,55.58
Asia,2010,Share of global cumulative CO2 emissions from other industry,55.64
Asia,2011,Share of global cumulative CO2 emissions from other industry,55.85
Asia,2012,Share of global cumulative CO2 emissions from other industry,56.07
Asia,2013,Share of global cumulative CO2 emissions from other industry,56.37
Asia,2014,Share of global cumulative CO2 emissions from other industry,56.69
Asia,2015,Share of global cumulative CO2 emissions from other industry,57.01
Asia,2016,Share of global cumulative CO2 emissions from other industry,57.34
Asia,2017,Share of global cumulative CO2 emissions from other industry,57.66
Asia,2018,Share of global cumulative CO2 emissions from other industry,57.97
Asia,2019,Share of global cumulative CO2 emissions from other industry,58.31
Asia,2020,Share of global cumulative CO2 emissions from other industry,58.6
Asia (excl. China & India),1990,Share of global cumulative CO2 emissions from other industry,1.19
Asia (excl. China & India),1991,Share of global cumulative CO2 emissions from other industry,2.12
Asia (excl. China & India),1992,Share of global cumulative CO2 emissions from other industry,2.81
Asia (excl. China & India),1993,Share of global cumulative CO2 emissions from other industry,3.42
Asia (excl. China & India),1994,Share of global cumulative CO2 emissions from other industry,3.9
Asia (excl. China & India),1995,Share of global cumulative CO2 emissions from other industry,4.31
Asia (excl. China & India),1996,Share of global cumulative CO2 emissions from other industry,4.65
Asia (excl. China & India),1997,Share of global cumulative CO2 emissions from other industry,4.98
Asia (excl. China & India),1998,Share of global cumulative CO2 emissions from other industry,5.24
Asia (excl. China & India),1999,Share of global cumulative CO2 emissions from other industry,5.48
Asia (excl. China & India),2000,Share of global cumulative CO2 emissions from other industry,5.71
