year,country,value
2006,Kiribati,14.6
2007,Cabo Verde,5.6
2008,Angola,24.9
2008,Central African Republic,65.0
2009,Eswatini,44.0
2009,Maldives,8.0
2009,Mali,52.6
2009,Nigeria,36.8
2009,Papua New Guinea,43.4
2009,South Sudan,44.9
2009,Sudan,12.2
2010,Guinea-Bissau,66.2
2010,Lesotho,62.3
2010,Nepal,11.3
2010,Sao Tome and Principe,25.6
2010,Vanuatu,10.1
2011,Chad,42.5
2011,"Congo, Rep",38.2
2011,India,17.9
2011,Senegal,35.6
2011,Sierra Leone,54.2
2011,Tanzania,46.9
2012,"Congo, Dem. Rep",64.7
2012,"Egypt, Arab Rep",1.2
2012,Guinea,34.4
2012,Haiti,23.3
2012,Iraq,1.7
2012,Lao PDR,20.8
2012,Madagascar,72.6
2013,Burundi,57.3
2013,Comoros,13.8
2013,"Micronesia, Fed. Sts",17.2
2013,Morocco,0.6
2013,Solomon Islands,24.6
2014,Burkina Faso,46.1
2014,Cameroon,24.4
2014,Guatemala,6.9
2014,Mauritania,5.8
2014,Mozambique,55.1
2014,Nicaragua,2.1
2014,Niger,30.9
2014,South Africa,13.2
2014,Timor-Leste,19.6
2014,"Yemen, Rep",17.6
2015,Benin,42.6
2015,Botswana,15.4
2015,Cote d'Ivoire,24.9
2015,Ethiopia,23.5
2015,"Gambia, The",10.2
2015,Kenya,34.0
2015,Myanmar,3.3
2015,Namibia,13.9
2015,Pakistan,2.8
2015,Philippines,3.4
2015,Tajikistan,4.4
2015,Togo,49.6
2015,Zambia,64.6
2016,Bangladesh,14.4
2016,Ghana,14.4
2016,Indonesia,10.0
2016,"Iran, Islamic Rep",0.4
2016,Liberia,48.6
2016,Malawi,70.1
2016,Mexico,1.7
2016,North Macedonia,2.0
2016,Rwanda,43.8
2016,Sri Lanka,0.6
2016,Uganda,37.1
2016,Vietnam,1.0
2017,Armenia,0.9
2017,Bhutan,1.8
2017,Bolivia,1.8
2017,Brazil,0.5
2017,Chile,0.2
2017,Colombia,3.0
2017,Djibouti,15.0
2017,Ecuador,0.9
2017,El Salvador,1.1
2017,Gabon,5.0
2017,Georgia,2.8
2017,Honduras,13.4
2017,Kyrgyz Republic,0.8
2017,Peru,1.5
