year,country,value
2008,Angola,2.0
2008,Azerbaijan,0.5
2008,Central African Republic,27.4
2009,Maldives,3.3
2009,Mali,3.1
2009,Nigeria,30.6
2010,Guinea-Bissau,22.9
2010,Lesotho,35.3
2011,"Congo, Rep",7.4
2011,India,3.4
2011,Senegal,4.0
2011,Sierra Leone,12.3
2011,Tanzania,5.2
2012,"Congo, Dem. Rep",24.9
2012,Guinea,5.9
2012,Iraq,0.2
2012,Lao PDR,4.9
2012,Madagascar,9.5
2013,Comoros,7.6
2014,Mozambique,9.1
2014,South Africa,1.8
2014,Timor-Leste,9.8
2014,"Yemen, Rep",4.1
2015,Benin,12.2
2015,Botswana,2.9
2015,Ethiopia,4.3
2015,"Gambia, The",1.1
2015,Kenya,4.8
2015,Philippines,0.2
2015,Tajikistan,2.6
2015,Tonga,0.9
2015,Zambia,4.9
2016,Bangladesh,3.1
2016,Ghana,1.1
2016,Indonesia,1.0
2016,Liberia,4.2
2016,Malawi,5.0
2016,Mexico,0.2
2016,Rwanda,2.3
2016,Uganda,3.5
2017,Argentina,0.2
2017,Armenia,0.5
2017,Bolivia,0.6
2017,Brazil,0.6
2017,Chile,0.5
2017,Colombia,1.0
2017,Ecuador,0.7
2017,Georgia,1.6
2017,Kyrgyz Republic,1.0
2017,Panama,1.0
2017,Peru,0.4
