year,location,cumulative_mass_balance
1958,South Cascade Glacier,0.76
1959,South Cascade Glacier,1.49
1960,South Cascade Glacier,1.02
1961,South Cascade Glacier,-0.05
1962,South Cascade Glacier,0.18
1963,South Cascade Glacier,-1.09
1964,South Cascade Glacier,0.14
1965,South Cascade Glacier,0.0
1966,South Cascade Glacier,-1.0
1967,South Cascade Glacier,-1.6
1968,South Cascade Glacier,-1.56
1969,South Cascade Glacier,-2.26
1970,South Cascade Glacier,-3.43
1971,South Cascade Glacier,-2.8
1972,South Cascade Glacier,-1.34
1973,South Cascade Glacier,-2.35
1974,South Cascade Glacier,-1.3
1975,South Cascade Glacier,-1.32
1976,South Cascade Glacier,-0.34
1977,South Cascade Glacier,-1.61
1978,South Cascade Glacier,-1.96
1979,South Cascade Glacier,-3.49
1980,South Cascade Glacier,-4.48
1981,South Cascade Glacier,-5.29
1982,South Cascade Glacier,-5.18
1983,South Cascade Glacier,-5.92
1984,South Cascade Glacier,-5.77
1985,South Cascade Glacier,-6.94
1986,South Cascade Glacier,-7.81
1987,South Cascade Glacier,-9.92
1988,South Cascade Glacier,-11.11
1989,South Cascade Glacier,-12.31
1990,South Cascade Glacier,-12.67
1991,South Cascade Glacier,-13.04
1992,South Cascade Glacier,-15.24
1993,South Cascade Glacier,-16.28
1994,South Cascade Glacier,-18.05
1995,South Cascade Glacier,-19.07
1996,South Cascade Glacier,-19.18
1997,South Cascade Glacier,-18.86
1998,South Cascade Glacier,-20.75
1999,South Cascade Glacier,-19.2
2000,South Cascade Glacier,-18.67
2001,South Cascade Glacier,-19.43
2002,South Cascade Glacier,-18.84
2003,South Cascade Glacier,-21.08
2004,South Cascade Glacier,-22.67
2005,South Cascade Glacier,-25.06
2006,South Cascade Glacier,-26.3
2007,South Cascade Glacier,-26.31
2008,South Cascade Glacier,-26.15
2009,South Cascade Glacier,-27.79
2010,South Cascade Glacier,-28.02
2011,South Cascade Glacier,-26.62
2012,South Cascade Glacier,-26.52
2013,South Cascade Glacier,-27.18
2014,South Cascade Glacier,-27.3
2015,South Cascade Glacier,-30.5
2016,South Cascade Glacier,-31.26
2017,South Cascade Glacier,-31.87
2018,South Cascade Glacier,-32.61
1965,Gulkana Glacier,0.0
1966,Gulkana Glacier,-0.74
1967,Gulkana Glacier,-0.56
1968,Gulkana Glacier,-1.05
1969,Gulkana Glacier,-2.26
1970,Gulkana Glacier,-2.31
1971,Gulkana Glacier,-2.79
1972,Gulkana Glacier,-3.6
1973,Gulkana Glacier,-3.6
1974,Gulkana Glacier,-5.51
1975,Gulkana Glacier,-6.32
1976,Gulkana Glacier,-6.38
1977,Gulkana Glacier,-6.05
1978,Gulkana Glacier,-6.13
1979,Gulkana Glacier,-6.41
1980,Gulkana Glacier,-5.79
1981,Gulkana Glacier,-5.9
1982,Gulkana Glacier,-6.41
1983,Gulkana Glacier,-6.03
1984,Gulkana Glacier,-6.53
1985,Gulkana Glacier,-6.79
1986,Gulkana Glacier,-6.76
1987,Gulkana Glacier,-7.39
1988,Gulkana Glacier,-7.33
1989,Gulkana Glacier,-7.75
1990,Gulkana Glacier,-8.42
1991,Gulkana Glacier,-8.84
1992,Gulkana Glacier,-9.55
1993,Gulkana Glacier,-11.06
1994,Gulkana Glacier,-11.45
1995,Gulkana Glacier,-12.47
1996,Gulkana Glacier,-12.93
1997,Gulkana Glacier,-14.85
1998,Gulkana Glacier,-15.3
1999,Gulkana Glacier,-16.71
2000,Gulkana Glacier,-16.66
2001,Gulkana Glacier,-17.61
2002,Gulkana Glacier,-18.14
2003,Gulkana Glacier,-17.56
2004,Gulkana Glacier,-19.97
2005,Gulkana Glacier,-20.46
2006,Gulkana Glacier,-19.99
2007,Gulkana Glacier,-20.16
2008,Gulkana Glacier,-18.8
2009,Gulkana Glacier,-19.37
2010,Gulkana Glacier,-20.99
2011,Gulkana Glacier,-22.62
2012,Gulkana Glacier,-23.0
2013,Gulkana Glacier,-24.2
2014,Gulkana Glacier,-24.26
2015,Gulkana Glacier,-25.59
2016,Gulkana Glacier,-26.88
2017,Gulkana Glacier,-28.68
2018,Gulkana Glacier,-29.06
2019,Gulkana Glacier,-31.01
1965,Wolverine Glacier,0.0
1966,Wolverine Glacier,-0.64
1967,Wolverine Glacier,-1.53
1968,Wolverine Glacier,-2.43
1969,Wolverine Glacier,-2.24
1970,Wolverine Glacier,-0.51
1971,Wolverine Glacier,-0.2
1972,Wolverine Glacier,-1.27
1973,Wolverine Glacier,-0.82
1974,Wolverine Glacier,-2.07
1975,Wolverine Glacier,-2.19
1976,Wolverine Glacier,-2.98
1977,Wolverine Glacier,-1.01
1978,Wolverine Glacier,-0.19
1979,Wolverine Glacier,-1.56
1980,Wolverine Glacier,0.52
1981,Wolverine Glacier,4.08
1982,Wolverine Glacier,3.66
1983,Wolverine Glacier,3.1
1984,Wolverine Glacier,2.64
1985,Wolverine Glacier,2.81
1986,Wolverine Glacier,2.3
1987,Wolverine Glacier,3.61
1988,Wolverine Glacier,4.54
1989,Wolverine Glacier,2.82
1990,Wolverine Glacier,0.33
1991,Wolverine Glacier,-0.22
1992,Wolverine Glacier,-0.55
1993,Wolverine Glacier,-1.39
1994,Wolverine Glacier,-1.92
1995,Wolverine Glacier,-2.57
1996,Wolverine Glacier,-4.32
1997,Wolverine Glacier,-6.37
1998,Wolverine Glacier,-5.65
1999,Wolverine Glacier,-6.61
2000,Wolverine Glacier,-6.09
2001,Wolverine Glacier,-5.74
2002,Wolverine Glacier,-6.27
2003,Wolverine Glacier,-6.45
2004,Wolverine Glacier,-8.88
2005,Wolverine Glacier,-10.62
2006,Wolverine Glacier,-11.48
2007,Wolverine Glacier,-12.1
2008,Wolverine Glacier,-10.87
2009,Wolverine Glacier,-12.51
2010,Wolverine Glacier,-12.19
2011,Wolverine Glacier,-13.34
2012,Wolverine Glacier,-12.02
2013,Wolverine Glacier,-13.8
2014,Wolverine Glacier,-15.57
2015,Wolverine Glacier,-16.42
2016,Wolverine Glacier,-16.56
2017,Wolverine Glacier,-17.64
2018,Wolverine Glacier,-19.5
2019,Wolverine Glacier,-21.0
1952,Lemon Creek Glacier,1.15
1953,Lemon Creek Glacier,0.67
1954,Lemon Creek Glacier,0.57
1955,Lemon Creek Glacier,1.77
1956,Lemon Creek Glacier,1.21
1957,Lemon Creek Glacier,1.3
1958,Lemon Creek Glacier,0.8
1959,Lemon Creek Glacier,-0.02
1960,Lemon Creek Glacier,-0.76
1961,Lemon Creek Glacier,-0.92
1962,Lemon Creek Glacier,-1.53
1963,Lemon Creek Glacier,-1.28
1964,Lemon Creek Glacier,-0.16
1965,Lemon Creek Glacier,0.0
1966,Lemon Creek Glacier,-0.41
