year,location,annual_sea_surface_temperature_anomaly,annual_sea_surface_temperature_anomaly_lower_bound_95pct,annual_sea_surface_temperature_anomaly_upper_bound_95pct
1850,World,-0.3095,-0.40579,-0.23192
1851,World,-0.19337,-0.28779,-0.1175
1852,World,-0.18339,-0.27454,-0.10496
1853,World,-0.21098,-0.29375,-0.14112
1854,World,-0.26843,-0.34812,-0.20058
1855,World,-0.24173,-0.31821,-0.17362
1856,World,-0.30534,-0.38033,-0.23833
1857,World,-0.42742,-0.49758,-0.36567
1858,World,-0.40247,-0.46987,-0.33946
1859,World,-0.27896,-0.34387,-0.21717
1860,World,-0.23687,-0.2975,-0.17646
1861,World,-0.36428,-0.42387,-0.30183
1862,World,-0.3972,-0.45283,-0.33867
1863,World,-0.32899,-0.38537,-0.26604
1864,World,-0.36861,-0.42054,-0.30746
1865,World,-0.21322,-0.26292,-0.15283
1866,World,-0.20775,-0.25667,-0.14592
1867,World,-0.20575,-0.25158,-0.14521
1868,World,-0.2161,-0.25933,-0.15858
1869,World,-0.2839,-0.32662,-0.22646
1870,World,-0.22569,-0.26742,-0.1695
1871,World,-0.23173,-0.271,-0.17908
1872,World,-0.24454,-0.28362,-0.19062
1873,World,-0.29478,-0.33429,-0.24508
1874,World,-0.39171,-0.43258,-0.34175
1875,World,-0.24149,-0.28192,-0.19083
1876,World,-0.34601,-0.38946,-0.29529
1877,World,-0.02539,-0.06983,0.023
1878,World,-0.00461,-0.04771,0.04513
1879,World,-0.19775,-0.24008,-0.1485
1880,World,-0.2034,-0.24996,-0.15454
1881,World,-0.15268,-0.20054,-0.10175
1882,World,-0.21559,-0.26292,-0.16433
1883,World,-0.24938,-0.30121,-0.19808
1884,World,-0.35493,-0.40617,-0.30567
1885,World,-0.34008,-0.39271,-0.28875
1886,World,-0.35377,-0.41025,-0.30187
1887,World,-0.42533,-0.48237,-0.37421
1888,World,-0.25392,-0.31179,-0.2035
1889,World,-0.16842,-0.22542,-0.116
1890,World,-0.439,-0.49408,-0.38408
1891,World,-0.28028,-0.3405,-0.2265
1892,World,-0.42191,-0.48396,-0.36567
1893,World,-0.41688,-0.48071,-0.36012
1894,World,-0.44214,-0.50908,-0.38504
1895,World,-0.35342,-0.41825,-0.29479
1896,World,-0.15929,-0.22625,-0.09854
1897,World,-0.20407,-0.27133,-0.13992
1898,World,-0.43947,-0.5095,-0.37658
1899,World,-0.31662,-0.38912,-0.24908
1900,World,-0.23602,-0.31012,-0.16808
1901,World,-0.36399,-0.44175,-0.29487
1902,World,-0.4537,-0.53263,-0.38737
1903,World,-0.57443,-0.65433,-0.50063
1904,World,-0.60236,-0.6845,-0.52862
1905,World,-0.43521,-0.51979,-0.35754
1906,World,-0.38451,-0.47021,-0.30233
1907,World,-0.46854,-0.54237,-0.39463
1908,World,-0.5687,-0.62879,-0.50254
1909,World,-0.58671,-0.6435,-0.52133
1910,World,-0.58422,-0.64017,-0.52529
1911,World,-0.58624,-0.64667,-0.53637
1912,World,-0.45112,-0.51242,-0.395
1913,World,-0.48329,-0.54642,-0.426
1914,World,-0.33749,-0.40154,-0.27679
1915,World,-0.22696,-0.29179,-0.16488
1916,World,-0.41508,-0.48333,-0.34712
1917,World,-0.45933,-0.52821,-0.38646
1918,World,-0.41373,-0.48604,-0.33758
1919,World,-0.36713,-0.4355,-0.28979
1920,World,-0.28462,-0.35558,-0.19775
1921,World,-0.25981,-0.33396,-0.17671
1922,World,-0.34122,-0.41475,-0.25508
1923,World,-0.31834,-0.39408,-0.22833
1924,World,-0.31222,-0.38896,-0.22708
1925,World,-0.26628,-0.34346,-0.17983
1926,World,-0.14287,-0.21925,-0.04975
1927,World,-0.2165,-0.29721,-0.13367
1928,World,-0.24909,-0.32487,-0.16079
1929,World,-0.32,-0.39737,-0.23492
1930,World,-0.16838,-0.24646,-0.07679
1931,World,-0.1115,-0.19542,-0.01337
1932,World,-0.19265,-0.27579,-0.10167
1933,World,-0.26562,-0.34342,-0.17221
1934,World,-0.20761,-0.28867,-0.11508
