,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2,Afghanistan,221.0,"Almonds, with shell",152.0,Gross Production Value (constant 2004-2006 1000 I$),1976.0,1976.0,1000 Int. $,Fc
1,3,Albania,711.0,"Anise, badian, fennel, coriander",154.0,Net Production Value (constant 2004-2006 1000 I$),1977.0,1977.0,SLC,A
2,4,Algeria,515.0,Apples,56.0,Gross Production Value (current million SLC),1978.0,1978.0,USD,
3,5,American Samoa,526.0,Apricots,55.0,Gross Production Value (constant 2004-2006 million SLC),1979.0,1979.0,,
4,7,Angola,44.0,Barley,57.0,Gross Production Value (current million US$),1980.0,1980.0,,
5,8,Antigua and Barbuda,558.0,Berries nes,58.0,Gross Production Value (constant 2004-2006 million US$),1981.0,1981.0,,
6,9,Argentina,767.0,Cotton lint,,,1982.0,1982.0,,
7,1,Armenia,329.0,Cottonseed,,,1983.0,1983.0,,
8,10,Australia,1062.0,"Eggs, hen, in shell",,,1984.0,1984.0,,
9,11,Austria,569.0,Figs,,,1985.0,1985.0,,
10,52,Azerbaijan,512.0,"Fruit, citrus nes",,,1986.0,1986.0,,
11,12,Bahamas,619.0,"Fruit, fresh nes",,,1987.0,1987.0,,
12,13,Bahrain,541.0,"Fruit, stone nes",,,1988.0,1988.0,,
13,16,Bangladesh,560.0,Grapes,,,1989.0,1989.0,,
14,14,Barbados,1182.0,"Honey, natural",,,1990.0,1990.0,,
15,57,Belarus,333.0,Linseed,,,1991.0,1991.0,,
16,255,Belgium,56.0,Maize,,,1992.0,1992.0,,
17,15,Belgium-Luxembourg,1137.0,"Meat indigenous, camel",,,1993.0,1993.0,,
18,23,Belize,944.0,"Meat indigenous, cattle",,,1994.0,1994.0,,
19,53,Benin,1094.0,"Meat indigenous, chicken",,,1995.0,1995.0,,
20,17,Bermuda,1032.0,"Meat indigenous, goat",,,1996.0,1996.0,,
21,18,Bhutan,1012.0,"Meat indigenous, sheep",,,1997.0,1997.0,,
22,19,Bolivia (Plurinational State of),1770.0,"Meat indigenous, total",,,1998.0,1998.0,,
23,80,Bosnia and Herzegovina,1127.0,"Meat, camel",,,1999.0,1999.0,,
24,20,Botswana,867.0,"Meat, cattle",,,2000.0,2000.0,,
25,21,Brazil,1058.0,"Meat, chicken",,,2001.0,2001.0,,
26,239,British Virgin Islands,1163.0,"Meat, game",,,2002.0,2002.0,,
27,26,Brunei Darussalam,1017.0,"Meat, goat",,,2003.0,2003.0,,
28,27,Bulgaria,977.0,"Meat, sheep",,,2004.0,2004.0,,
29,233,Burkina Faso,568.0,"Melons, other (inc.cantaloupes)",,,2005.0,2005.0,,
30,29,Burundi,1130.0,"Milk, whole fresh camel",,,2006.0,2006.0,,
31,35,Cabo Verde,882.0,"Milk, whole fresh cow",,,2007.0,2007.0,,
32,115,Cambodia,1020.0,"Milk, whole fresh goat",,,2008.0,2008.0,,
33,32,Cameroon,982.0,"Milk, whole fresh sheep",,,2009.0,2009.0,,
34,33,Canada,1780.0,"Milk,Total",,,2010.0,2010.0,,
35,36,Cayman Islands,79.0,Millet,,,2011.0,2011.0,,
36,37,Central African Republic,234.0,"Nuts, nes",,,2012.0,2012.0,,
37,39,Chad,1732.0,"Oilcrops, Oil Equivalent",,,2013.0,2013.0,,
38,40,Chile,260.0,Olives,,,2014.0,2014.0,,
39,351,China,403.0,"Onions, dry",,,2015.0,2015.0,,
40,96,"China, Hong Kong SAR",490.0,Oranges,,,2016.0,2016.0,,
41,128,"China, Macao SAR",534.0,Peaches and nectarines,,,1961.0,1961.0,,
42,41,"China, mainland",521.0,Pears,,,1962.0,1962.0,,
43,214,"China, Taiwan Province of",223.0,Pistachios,,,1963.0,1963.0,,
44,44,Colombia,536.0,Plums and sloes,,,1964.0,1964.0,,
45,45,Comoros,116.0,Potatoes,,,1965.0,1965.0,,
46,46,Congo,211.0,"Pulses, nes",,,1966.0,1966.0,,
47,47,Cook Islands,27.0,"Rice, paddy",,,1967.0,1967.0,,
48,48,Costa Rica,1720.0,"Roots and Tubers,Total",,,1968.0,1968.0,,
49,107,Côte d'Ivoire,328.0,Seed cotton,,,1969.0,1969.0,,
50,98,Croatia,289.0,Sesame seed,,,1970.0,1970.0,,
51,49,Cuba,1185.0,"Silk-worm cocoons, reelable",,,1971.0,1971.0,,
52,50,Cyprus,723.0,"Spices, nes",,,1972.0,1972.0,,
53,167,Czechia,157.0,Sugar beet,,,1973.0,1973.0,,
54,51,Czechoslovakia,156.0,Sugar cane,,,1974.0,1974.0,,
55,116,Democratic People's Republic of Korea,1724.0,"Sugar, raw",,,1975.0,1975.0,,
56,250,Democratic Republic of the Congo,267.0,Sunflower seed,,,,,,
57,54,Denmark,1739.0,Vegetables and Fruit Primary,,,,,,
58,72,Djibouti,463.0,"Vegetables, fresh nes",,,,,,
59,55,Dominica,222.0,"Walnuts, with shell",,,,,,
60,56,Dominican Republic,567.0,Watermelons,,,,,,
61,58,Ecuador,15.0,Wheat,,,,,,
62,59,Egypt,987.0,"Wool, greasy",,,,,,
63,60,El Salvador,2051.0,Agriculture (PIN),,,,,,
64,61,Equatorial Guinea,1717.0,"Cereals,Total",,,,,,
65,178,Eritrea,2041.0,Crops (PIN),,,,,,
66,63,Estonia,2054.0,Food (PIN),,,,,,
67,209,Eswatini,2044.0,Livestock (PIN),,,,,,
68,238,Ethiopia,2057.0,Non Food (PIN),,,,,,
69,62,Ethiopia PDR,176.0,"Beans, dry",,,,,,
70,65,Falkland Islands (Malvinas),414.0,"Beans, green",,,,,,
71,64,Faroe Islands,181.0,"Broad beans, horse beans, dry",,,,,,
72,66,Fiji,358.0,Cabbages and other brassicas,,,,,,
73,67,Finland,426.0,Carrots and turnips,,,,,,
74,68,France,393.0,Cauliflowers and broccoli,,,,,,
75,69,French Guiana,531.0,Cherries,,,,,,
76,70,French Polynesia,530.0,"Cherries, sour",,,,,,
77,74,Gabon,220.0,Chestnut,,,,,,
78,75,Gambia,401.0,"Chillies and peppers, green",,,,,,
79,73,Georgia,397.0,Cucumbers and gherkins,,,,,,
80,79,Germany,577.0,Dates,,,,,,
81,81,Ghana,399.0,Eggplants (aubergines),,,,,,
82,84,Greece,1091.0,"Eggs, other bird, in shell",,,,,,
83,85,Greenland,406.0,Garlic,,,,,,
84,86,Grenada,677.0,Hops,,,,,,
85,87,Guadeloupe,407.0,"Leeks, other alliaceous vegetables",,,,,,
86,88,Guam,497.0,Lemons and limes,,,,,,
87,89,Guatemala,372.0,Lettuce and chicory,,,,,,
88,90,Guinea,1055.0,"Meat indigenous, pig",,,,,,
89,175,Guinea-Bissau,1166.0,"Meat, nes",,,,,,
90,91,Guyana,1035.0,"Meat, pig",,,,,,
91,93,Haiti,951.0,"Milk, whole fresh buffalo",,,,,,
92,95,Honduras,449.0,Mushrooms and truffles,,,,,,
93,97,Hungary,75.0,Oats,,,,,,
94,99,Iceland,430.0,Okra,,,,,,
95,100,India,402.0,"Onions, shallots, green",,,,,,
96,101,Indonesia,417.0,"Peas, green",,,,,,
97,102,Iran (Islamic Republic of),394.0,"Pumpkins, squash and gourds",,,,,,
98,103,Iraq,523.0,Quinces,,,,,,
99,104,Ireland,71.0,Rye,,,,,,
100,105,Israel,83.0,Sorghum,,,,,,
101,106,Italy,236.0,Soybeans,,,,,,
102,109,Jamaica,373.0,Spinach,,,,,,
