Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
4,Algeria,23046.0,Agricultural researchers,6082.0,"Researchers, total",2009.0,2009.0,FTE,X
8,Antigua and Barbuda,,,6086.0,"Per 100,000 farmers",2010.0,2010.0,,
9,Argentina,,,,,2011.0,2011.0,,
16,Bangladesh,,,,,2012.0,2012.0,,
14,Barbados,,,,,2007.0,2007.0,,
23,Belize,,,,,2008.0,2008.0,,
53,Benin,,,,,1981.0,1981.0,,
20,Botswana,,,,,1982.0,1982.0,,
21,Brazil,,,,,1983.0,1983.0,,
233,Burkina Faso,,,,,1984.0,1984.0,,
29,Burundi,,,,,1985.0,1985.0,,
35,Cabo Verde,,,,,1986.0,1986.0,,
115,Cambodia,,,,,1987.0,1987.0,,
37,Central African Republic,,,,,1988.0,1988.0,,
39,Chad,,,,,1989.0,1989.0,,
40,Chile,,,,,1990.0,1990.0,,
44,Colombia,,,,,1991.0,1991.0,,
46,Congo,,,,,1992.0,1992.0,,
48,Costa Rica,,,,,1993.0,1993.0,,
107,Côte d'Ivoire,,,,,1994.0,1994.0,,
250,Democratic Republic of the Congo,,,,,1995.0,1995.0,,
55,Dominica,,,,,1996.0,1996.0,,
56,Dominican Republic,,,,,1997.0,1997.0,,
59,Egypt,,,,,1998.0,1998.0,,
60,El Salvador,,,,,1999.0,1999.0,,
178,Eritrea,,,,,2000.0,2000.0,,
209,Eswatini,,,,,2001.0,2001.0,,
238,Ethiopia,,,,,2002.0,2002.0,,
74,Gabon,,,,,2003.0,2003.0,,
75,Gambia,,,,,2004.0,2004.0,,
81,Ghana,,,,,2005.0,2005.0,,
86,Grenada,,,,,2006.0,2006.0,,
89,Guatemala,,,,,2013.0,2013.0,,
90,Guinea,,,,,2014.0,2014.0,,
175,Guinea-Bissau,,,,,2015.0,2015.0,,
95,Honduras,,,,,2016.0,2016.0,,
100,India,,,,,,,,
109,Jamaica,,,,,,,,
112,Jordan,,,,,,,,
114,Kenya,,,,,,,,
120,Lao People's Democratic Republic,,,,,,,,
121,Lebanon,,,,,,,,
122,Lesotho,,,,,,,,
123,Liberia,,,,,,,,
129,Madagascar,,,,,,,,
130,Malawi,,,,,,,,
131,Malaysia,,,,,,,,
133,Mali,,,,,,,,
136,Mauritania,,,,,,,,
137,Mauritius,,,,,,,,
138,Mexico,,,,,,,,
143,Morocco,,,,,,,,
144,Mozambique,,,,,,,,
147,Namibia,,,,,,,,
149,Nepal,,,,,,,,
157,Nicaragua,,,,,,,,
159,Nigeria,,,,,,,,
221,Oman,,,,,,,,
165,Pakistan,,,,,,,,
166,Panama,,,,,,,,
169,Paraguay,,,,,,,,
184,Rwanda,,,,,,,,
188,Saint Kitts and Nevis,,,,,,,,
189,Saint Lucia,,,,,,,,
191,Saint Vincent and the Grenadines,,,,,,,,
195,Senegal,,,,,,,,
197,Sierra Leone,,,,,,,,
202,South Africa,,,,,,,,
38,Sri Lanka,,,,,,,,
276,Sudan,,,,,,,,
217,Togo,,,,,,,,
220,Trinidad and Tobago,,,,,,,,
222,Tunisia,,,,,,,,
223,Turkey,,,,,,,,
226,Uganda,,,,,,,,
215,United Republic of Tanzania,,,,,,,,
234,Uruguay,,,,,,,,
237,Viet Nam,,,,,,,,
249,Yemen,,,,,,,,
251,Zambia,,,,,,,,
181,Zimbabwe,,,,,,,,
