,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
63,68.0,France,121.0,Lebanon,521,Pears,,,,,,
64,69.0,French Guiana,126.0,Lithuania,754,"Pyrethrum, dried",,,,,,
65,70.0,French Polynesia,256.0,Luxembourg,168,Sugar confectionery,,,,,,
66,74.0,Gabon,129.0,Madagascar,447,Sweet corn frozen,,,,,,
67,75.0,Gambia,131.0,Malaysia,460,"Vegetables, fresh or dried products nes",,,,,,
68,73.0,Georgia,134.0,Malta,567,Watermelons,,,,,,
69,79.0,Germany,137.0,Mauritius,622,"Juice, fruit nes",,,,,,
70,81.0,Ghana,138.0,Mexico,780,Jute,,,,,,
71,84.0,Greece,141.0,Mongolia,51,Beer of barley,,,,,,
72,85.0,Greenland,273.0,Montenegro,634,"Beverages, distilled alcoholic",,,,,,
73,86.0,Grenada,143.0,Morocco,564,Wine,,,,,,
74,87.0,Guadeloupe,144.0,Mozambique,515,Apples,,,,,,
75,89.0,Guatemala,149.0,Nepal,572,Avocados,,,,,,
76,90.0,Guinea,150.0,Netherlands,358,Cabbages and other brassicas,,,,,,
77,91.0,Guyana,156.0,New Zealand,393,Cauliflowers and broccoli,,,,,,
78,95.0,Honduras,157.0,Nicaragua,531,Cherries,,,,,,
79,97.0,Hungary,158.0,Niger,530,"Cherries, sour",,,,,,
80,99.0,Iceland,154.0,North Macedonia,401,"Chillies and peppers, green",,,,,,
81,100.0,India,162.0,Norway,399,Eggplants (aubergines),,,,,,
82,101.0,Indonesia,221.0,Oman,619,"Fruit, fresh nes",,,,,,
83,102.0,Iran (Islamic Republic of),165.0,Pakistan,592,Kiwi fruit,,,,,,
84,104.0,Ireland,169.0,Paraguay,372,Lettuce and chicory,,,,,,
85,105.0,Israel,171.0,Philippines,449,Mushrooms and truffles,,,,,,
86,106.0,Italy,173.0,Poland,1274,"Oil, boiled etc",,,,,,
87,109.0,Jamaica,174.0,Portugal,490,Oranges,,,,,,
88,110.0,Japan,179.0,Qatar,587,Persimmons,,,,,,
89,112.0,Jordan,117.0,Republic of Korea,373,Spinach,,,,,,
90,108.0,Kazakhstan,146.0,Republic of Moldova,544,Strawberries,,,,,,
91,114.0,Kenya,183.0,Romania,388,Tomatoes,,,,,,
92,83.0,Kiribati,185.0,Russian Federation,463,"Vegetables, fresh nes",,,,,,
93,118.0,Kuwait,194.0,Saudi Arabia,1039,Bacon and ham,,,,,,
94,113.0,Kyrgyzstan,195.0,Senegal,20,Bread,,,,,,
95,119.0,Latvia,272.0,Serbia,335,"Cake, linseed",,,,,,
96,121.0,Lebanon,196.0,Seychelles,41,"Cereals, breakfast",,,,,,
97,124.0,Libya,200.0,Singapore,517,Cider etc,,,,,,
98,126.0,Lithuania,199.0,Slovakia,829,"Cigars, cheroots",,,,,,
99,256.0,Luxembourg,202.0,South Africa,657,"Coffee, roasted",,,,,,
100,129.0,Madagascar,203.0,Spain,767,Cotton lint,,,,,,
101,130.0,Malawi,38.0,Sri Lanka,769,Cotton waste,,,,,,
102,131.0,Malaysia,210.0,Sweden,1062,"Eggs, hen, in shell",,,,,,
103,132.0,Maldives,211.0,Switzerland,1091,"Eggs, other bird, in shell",,,,,,
104,133.0,Mali,212.0,Syrian Arab Republic,1243,"Fat nes, prepared",,,,,,
105,134.0,Malta,208.0,Tajikistan,652,"Feed, vegetable products nes",,,,,,
106,135.0,Martinique,216.0,Thailand,295,"Flour, mustard",,,,,,
107,136.0,Mauritania,220.0,Trinidad and Tobago,117,"Flour, potatoes",,,,,,
108,137.0,Mauritius,222.0,Tunisia,115,"Food preparations, flour, malt extract",,,,,,
109,138.0,Mexico,223.0,Turkey,653,Food wastes,,,,,,
110,141.0,Mongolia,213.0,Turkmenistan,626,"Fruit, cooked, homogenized preparations",,,,,,
111,273.0,Montenegro,230.0,Ukraine,246,"Groundnuts, prepared",,,,,,
112,142.0,Montserrat,225.0,United Arab Emirates,1218,"Hair, fine",,,,,,
113,143.0,Morocco,229.0,United Kingdom,109,Infant food,,,,,,
114,147.0,Namibia,215.0,United Republic of Tanzania,18,Macaroni,,,,,,
115,149.0,Nepal,231.0,United States of America,49,Malt,,,,,,
116,150.0,Netherlands,234.0,Uruguay,1242,"Margarine, short",,,,,,
117,151.0,Netherlands Antilles (former),235.0,Uzbekistan,875,"Meat, beef, preparations",,,,,,
118,153.0,New Caledonia,237.0,Viet Nam,867,"Meat, cattle",,,,,,
119,156.0,New Zealand,251.0,Zambia,1061,"Meat, chicken, canned",,,,,,
120,157.0,Nicaragua,181.0,Zimbabwe,1163,"Meat, game",,,,,,
121,158.0,Niger,3.0,Albania,1035,"Meat, pig",,,,,,
122,159.0,Nigeria,5.0,American Samoa,1041,"Meat, pig sausages",,,,,,
123,154.0,North Macedonia,8.0,Antigua and Barbuda,1042,"Meat, pig, preparations",,,,,,
124,162.0,Norway,12.0,Bahamas,1038,"Meat, pork",,,,,,
125,221.0,Oman,15.0,Belgium-Luxembourg,1080,"Meat, turkey",,,,,,
126,165.0,Pakistan,23.0,Belize,114,Mixes and doughs,,,,,,
127,166.0,Panama,37.0,Central African Republic,868,"Offals, edible, cattle",,,,,,
128,168.0,Papua New Guinea,128.0,"China, Macao SAR",274,"Oil, olive residues",,,,,,
129,169.0,Paraguay,45.0,Comoros,261,"Oil, olive, virgin",,,,,,
130,170.0,Peru,46.0,Congo,843,Pet food,,,,,,
131,171.0,Philippines,47.0,Cook Islands,118,"Potatoes, frozen",,,,,,
132,173.0,Poland,107.0,Côte d'Ivoire,831,Tobacco products nes,,,,,,
133,174.0,Portugal,72.0,Djibouti,471,Vegetables in vinegar,,,,,,
134,179.0,Qatar,55.0,Dominica,469,"Vegetables, dehydrated",,,,,,
135,117.0,Republic of Korea,56.0,Dominican Republic,475,"Vegetables, preserved, frozen",,,,,,
136,146.0,Republic of Moldova,58.0,Ecuador,110,Wafers,,,,,,
137,182.0,Réunion,60.0,El Salvador,631,"Waters,ice etc",,,,,,
138,183.0,Romania,61.0,Equatorial Guinea,1009,"Wool, hair waste",,,,,,
139,185.0,Russian Federation,238.0,Ethiopia,238,"Cake, soybeans",,,,,,
140,184.0,Rwanda,69.0,French Guiana,417,"Peas, green",,,,,,
141,188.0,Saint Kitts and Nevis,74.0,Gabon,474,"Vegetables, temporarily preserved",,,,,,
142,189.0,Saint Lucia,85.0,Greenland,267,Sunflower seed,,,,,,
143,191.0,Saint Vincent and the Grenadines,86.0,Grenada,486,Bananas,,,,,,
144,193.0,Sao Tome and Principe,90.0,Guinea,689,"Chillies and peppers, dry",,,,,,
145,194.0,Saudi Arabia,93.0,Haiti,1276,Fatty acids,,,,,,
146,195.0,Senegal,99.0,Iceland,651,Forage products,,,,,,
147,272.0,Serbia,109.0,Jamaica,920,"Hides, cattle, wet salted",,,,,,
148,186.0,Serbia and Montenegro,83.0,Kiribati,498,"Juice, lemon, single strength",,,,,,
149,196.0,Seychelles,123.0,Liberia,1043,Lard,,,,,,
150,197.0,Sierra Leone,124.0,Libya,201,Lentils,,,,,,
151,200.0,Singapore,130.0,Malawi,568,"Melons, other (inc.cantaloupes)",,,,,,
152,199.0,Slovakia,132.0,Maldives,165,Molasses,,,,,,
153,198.0,Slovenia,133.0,Mali,1036,"Offals, pigs, edible",,,,,,
154,25.0,Solomon Islands,136.0,Mauritania,753,"Oil, essential nes",,,,,,
155,202.0,South Africa,28.0,Myanmar,340,"Oil, vegetable origin nes",,,,,,
156,203.0,Spain,147.0,Namibia,536,Plums and sloes,,,,,,
157,38.0,Sri Lanka,148.0,Nauru,289,Sesame seed,,,,,,
158,206.0,Sudan (former),151.0,Netherlands Antilles (former),997,"Skins, sheep, dry salted",,,,,,
159,207.0,Suriname,159.0,Nigeria,236,Soybeans,,,,,,
160,210.0,Sweden,166.0,Panama,122,Sweet potatoes,,,,,,
161,211.0,Switzerland,168.0,Papua New Guinea,222,"Walnuts, with shell",,,,,,
162,212.0,Syrian Arab Republic,170.0,Peru,247,Peanut butter,,,,,,
163,216.0,Thailand,182.0,Réunion,1183,Beeswax,,,,,,
164,217.0,Togo,188.0,Saint Kitts and Nevis,406,Garlic,,,,,,
165,219.0,Tonga,192.0,San Marino,172,Glucose and dextrose,,,,,,
166,220.0,Trinidad and Tobago,193.0,Sao Tome and Principe,1069,"Meat, duck",,,,,,
167,222.0,Tunisia,186.0,Serbia and Montenegro,451,"Mushrooms, canned",,,,,,
168,223.0,Turkey,197.0,Sierra Leone,237,"Oil, soybean",,,,,,
169,227.0,Tuvalu,198.0,Slovenia,149,Roots and tubers nes,,,,,,
170,226.0,Uganda,25.0,Solomon Islands,167,Sugar nes,,,,,,
171,230.0,Ukraine,276.0,Sudan,448,Sweet corn prep or preserved,,,,,,
172,225.0,United Arab Emirates,206.0,Sudan (former),988,"Wool, degreased",,,,,,
173,229.0,United Kingdom,207.0,Suriname,656,"Coffee, green",,,,,,
174,215.0,United Republic of Tanzania,217.0,Togo,1182,"Honey, natural",,,,,,
175,231.0,United States of America,224.0,Turks and Caicos Islands,262,Olives preserved,,,,,,
176,234.0,Uruguay,226.0,Uganda,296,Poppy seed,,,,,,
177,228.0,USSR,252.0,Unspecified Area,886,"Butter, cow milk",,,,,,
178,155.0,Vanuatu,236.0,Venezuela (Bolivarian Republic of),687,Pepper (piper spp.),,,,,,
179,236.0,Venezuela (Bolivarian Republic of),248.0,Yugoslav SFR,113,Cereal preparations nes,,,,,,
180,249.0,Yemen,2.0,Afghanistan,773,Flax fibre and tow,,,,,,
181,248.0,Yugoslav SFR,6.0,Andorra,75,Oats,,,,,,
182,251.0,Zambia,18.0,Bhutan,116,Potatoes,,,,,,
183,181.0,Zimbabwe,29.0,Burundi,1060,"Fat, liver prepared (foie gras)",,,,,,
184,,,115.0,Cambodia,519,"Juice, apple, concentrated",,,,,,
185,,,39.0,Chad,414,"Beans, green",,,,,,
186,,,51.0,Czechoslovakia,698,Cloves,,,,,,
187,,,116.0,Democratic People's Republic of Korea,250,"Coconuts, desiccated",,,,,,
188,,,250.0,Democratic Republic of the Congo,659,"Coffee, extracts",,,,,,
189,,,178.0,Eritrea,658,"Coffee, substitutes containing coffee",,,,,,
190,,,62.0,Ethiopia PDR,1063,"Eggs, liquid",,,,,,
191,,,70.0,French Polynesia,58,"Flour, maize",,,,,,
192,,,75.0,Gambia,720,Ginger,,,,,,
193,,,87.0,Guadeloupe,233,"Hazelnuts, shelled",,,,,,
194,,,175.0,Guinea-Bissau,1096,Horses,,,,,,
195,,,120.0,Lao People's Democratic Republic,910,Ice cream and edible ice,,,,,,
196,,,153.0,New Caledonia,518,"Juice, apple, single strength",,,,,,
197,,,299.0,Palestine,562,"Juice, grape",,,,,,
198,,,184.0,Rwanda,492,"Juice, orange, concentrated",,,,,,
199,,,191.0,Saint Vincent and the Grenadines,491,"Juice, orange, single strength",,,,,,
200,,,201.0,Somalia,390,"Juice, tomato",,,,,,
201,,,277.0,South Sudan,1164,"Meat, dried nes",,,,,,
202,,,228.0,USSR,1073,"Meat, goose and guinea fowl",,,,,,
203,,,249.0,Yemen,1141,"Meat, rabbit",,,,,,
204,,,258.0,Anguilla,888,"Milk, skimmed cow",,,,,,
205,,,22.0,Aruba,76,Oats rolled,,,,,,
206,,,239.0,British Virgin Islands,1059,"Offals, liver chicken",,,,,,
207,,,36.0,Cayman Islands,60,"Oil, maize",,,,,,
208,,,88.0,Guam,271,"Oil, rapeseed",,,,,,
209,,,122.0,Lesotho,187,"Peas, dry",,,,,,
210,,,142.0,Montserrat,239,Soya sauce,,,,,,
211,,,180.0,Palau,162,Sugar Raw Centrifugal,,,,,,
212,,,172.0,Pitcairn Islands,672,"Tea, mate extracts",,,,,,
213,,,189.0,Saint Lucia,391,"Tomatoes, paste",,,,,,
214,,,218.0,Tokelau,392,"Tomatoes, peeled",,,,,,
215,,,219.0,Tonga,476,"Vegetables, homogenized preparations",,,,,,
216,,,82.0,Gibraltar,565,Vermouths & similar,,,,,,
217,,,94.0,Holy See,702,"Nutmeg, mace and cardamoms",,,,,,
218,,,127.0,Marshall Islands,17,"Bran, wheat",,,,,,
219,,,135.0,Martinique,946,Buffaloes,,,,,,
220,,,140.0,Monaco,813,Coir,,,,,,
221,,,152.0,Neutral Zone,869,"Fat, cattle",,,,,,
222,,,177.0,Puerto Rico,1277,Fatty substance residues,,,,,,
223,,,187.0,"Saint Helena, Ascension and Tristan da Cunha",845,"Feed, compound nes",,,,,,
224,,,240.0,United States Virgin Islands,571,"Mangoes, mangosteens, guavas",,,,,,
225,,,155.0,Vanuatu,266,"Oil, castor beans",,,,,,
226,,,125.0,Liechtenstein,252,"Oil, coconut (copra)",,,,,,
227,,,145.0,Micronesia (Federated States of),258,"Oil, palm kernel",,,,,,
228,,,30.0,Antarctica,290,"Oil, sesame",,,,,,
229,,,24.0,British Indian Ocean Territory,403,"Onions, dry",,,,,,
230,,,42.0,Christmas Island,600,Papayas,,,,,,
231,,,43.0,Cocos (Keeling) Islands,574,Pineapples,,,,,,
232,,,65.0,Falkland Islands (Malvinas),837,Rubber natural dry,,,,,,
233,,,71.0,French Southern and Antarctic Territories,928,"Skins, calve, wet salted",,,,,,
234,,,111.0,Johnston Island,999,"Skins, sheep, with wool",,,,,,
235,,,139.0,Midway Island,826,"Tobacco, unmanufactured",,,,,,
236,,,160.0,Niue,1079,Turkeys,,,,,,
237,,,161.0,Norfolk Island,987,"Wool, greasy",,,,,,
238,,,163.0,Northern Mariana Islands,39,"Beverages, fermented rice",,,,,,
239,,,164.0,Pacific Islands Trust Territory,257,"Oil, palm",,,,,,
240,,,190.0,Saint Pierre and Miquelon,1171,Animals live nes,,,,,,
241,,,244.0,Samoa,44,Barley,,,,,,
242,,,176.0,Timor-Leste,181,"Broad beans, horse beans, dry",,,,,,
243,,,227.0,Tuvalu,253,"Cake, copra",,,,,,
244,,,232.0,US Minor Is.,1126,Camels,,,,,,
245,,,242.0,Wake Island,426,Carrots and turnips,,,,,,
246,,,243.0,Wallis and Futuna Islands,866,Cattle,,,,,,
247,,,205.0,Western Sahara,1057,Chickens,,,,,,
248,,,64.0,Faroe Islands,661,"Cocoa, beans",,,,,,
249,,,270.0,Mayotte,665,"Cocoa, powder & cake",,,,,,
250,,,31.0,Bouvet Island,1187,"Cocoons, unreelable & waste",,,,,,
251,,,34.0,Canton and Enderbury Islands,251,Copra,,,,,,
252,,,271.0,South Georgia and the South Sandwich Islands,768,"Cotton, carded, combed",,,,,,
253,,,260.0,Svalbard and Jan Mayen Islands,329,Cottonseed,,,,,,
254,,,92.0,Heard and McDonald Islands,397,Cucumbers and gherkins,,,,,,
255,,,,,1064,"Eggs, dried",,,,,,
256,,,,,111,"Flour, cereals",,,,,,
257,,,,,104,"Flour, mixed grain",,,,,,
258,,,,,212,"Flour, pulses",,,,,,
259,,,,,166,"Fructose and syrup, other",,,,,,
260,,,,,1016,Goats,,,,,,
261,,,,,507,Grapefruit (inc. pomelos),,,,,,
262,,,,,225,"Hazelnuts, with shell",,,,,,
263,,,,,514,"Juice, citrus, concentrated",,,,,,
264,,,,,513,"Juice, citrus, single strength",,,,,,
265,,,,,510,"Juice, grapefruit, concentrated",,,,,,
266,,,,,576,"Juice, pineapple",,,,,,
267,,,,,580,"Juice, pineapple, concentrated",,,,,,
268,,,,,407,"Leeks, other alliaceous vegetables",,,,,,
269,,,,,874,"Meat, beef and veal sausages",,,,,,
270,,,,,909,"Milk, products of natural constituents nes",,,,,,
271,,,,,331,"Oil, cottonseed",,,,,,
272,,,,,244,"Oil, groundnut",,,,,,
273,,,,,1168,"Oils, fats of animal nes",,,,,,
274,,,,,270,Rapeseed,,,,,,
275,,,,,28,"Rice, husked",,,,,,
276,,,,,976,Sheep,,,,,,
277,,,,,1185,"Silk-worm cocoons, reelable",,,,,,
278,,,,,495,"Tangerines, mandarins, clementines, satsumas",,,,,,
279,,,,,692,Vanilla,,,,,,
280,,,,,660,"Coffee, husks and skins",,,,,,
281,,,,,332,"Cake, cottonseed",,,,,,
282,,,,,269,"Cake, sunflower",,,,,,
283,,,,,333,Linseed,,,,,,
284,,,,,79,Millet,,,,,,
285,,,,,334,"Oil, linseed",,,,,,
286,,,,,32,"Rice, broken",,,,,,
287,,,,,446,"Maize, green",,,,,,
288,,,,,220,Chestnut,,,,,,
289,,,,,1241,"Margarine, liquid",,,,,,
290,,,,,575,Pineapples canned,,,,,,
291,,,,,59,"Bran, maize",,,,,,
292,,,,,226,Areca nuts,,,,,,
293,,,,,38,"Flour, rice",,,,,,
294,,,,,1017,"Meat, goat",,,,,,
295,,,,,292,Mustard seed,,,,,,
296,,,,,1083,"Pigeons, other birds",,,,,,
297,,,,,92,Quinoa,,,,,,
298,,,,,1186,"Silk, raw",,,,,,
299,,,,,169,Beet pulp,,,,,,
300,,,,,85,"Bran, sorghum",,,,,,
301,,,,,89,Buckwheat,,,,,,
302,,,,,245,"Cake, groundnuts",,,,,,
303,,,,,272,"Cake, rapeseed",,,,,,
304,,,,,994,Grease incl. lanolin wool,,,,,,
305,,,,,1173,"Meal, meat",,,,,,
306,,,,,978,"Offals, sheep,edible",,,,,,
307,,,,,489,Plantains and others,,,,,,
308,,,,,71,Rye,,,,,,
309,,,,,83,Sorghum,,,,,,
310,,,,,635,Straw husks,,,,,,
311,,,,,157,Sugar beet,,,,,,
312,,,,,150,"Flour, roots and tubers nes",,,,,,
313,,,,,367,Asparagus,,,,,,
314,,,,,509,"Juice, grapefruit",,,,,,
315,,,,,737,"Oil, citronella",,,,,,
316,,,,,1216,Hides nes,,,,,,
317,,,,,260,Olives,,,,,,
318,,,,,523,Quinces,,,,,,
319,,,,,366,Artichokes,,,,,,
320,,,,,128,Cassava dried,,,,,,
321,,,,,664,"Cocoa, butter",,,,,,
322,,,,,160,Maple sugar and syrups,,,,,,
323,,,,,671,Maté,,,,,,
324,,,,,1166,Meat nes,,,,,,
325,,,,,1034,Pigs,,,,,,
326,,,,,394,"Pumpkins, squash and gourds",,,,,,
327,,,,,836,"Rubber, natural",,,,,,
328,,,,,1068,Ducks,,,,,,
329,,,,,677,Hops,,,,,,
330,,,,,552,Blueberries,,,,,,
331,,,,,1037,"Fat, pigs",,,,,,
332,,,,,846,"Feed and meal, gluten",,,,,,
333,,,,,103,"Grain, mixed",,,,,,
334,,,,,499,"Juice, lemon, concentrated",,,,,,
335,,,,,755,"Pyrethrum, extraction",,,,,,
336,,,,,57,"Germ, maize",,,,,,
337,,,,,1181,Beehives,,,,,,
338,,,,,662,"Cocoa, paste",,,,,,
339,,,,,821,Fibre crops nes,,,,,,
340,,,,,603,"Fruit, tropical fresh nes",,,,,,
341,,,,,1026,"Skins, goat, wet salted",,,,,,
342,,,,,1296,Waxes vegetable,,,,,,
343,,,,,61,"Cake, maize",,,,,,
344,,,,,101,Canary seed,,,,,,
345,,,,,549,Gooseberries,,,,,,
346,,,,,224,Kola nuts,,,,,,
347,,,,,281,"Oil, safflower",,,,,,
348,,,,,402,"Onions, shallots, green",,,,,,
349,,,,,996,"Skins, sheep, wet salted",,,,,,
350,,,,,97,Triticale,,,,,,
351,,,,,1107,Asses,,,,,,
352,,,,,46,"Barley, pearled",,,,,,
353,,,,,770,Cotton linter,,,,,,
354,,,,,628,"Feed, pulp of fruit",,,,,,
355,,,,,126,"Flour, cassava",,,,,,
356,,,,,1110,Mules,,,,,,
357,,,,,862,Alfalfa meal and pellets,,,,,,
358,,,,,554,Cranberries,,,,,,
359,,,,,550,Currants,,,,,,
360,,,,,654,"Dregs from brewing, distillation",,,,,,
361,,,,,771,Flax fibre raw,,,,,,
362,,,,,774,Flax tow waste,,,,,,
363,,,,,1140,Rabbits and hares,,,,,,
364,,,,,129,"Starch, cassava",,,,,,
365,,,,,890,"Whey, condensed",,,,,,
366,,,,,259,"Cake, palm kernel",,,,,,
367,,,,,1097,"Meat, horse",,,,,,
368,,,,,1075,"Offals, liver duck",,,,,,
369,,,,,1074,"Offals, liver geese",,,,,,
370,,,,,263,Karite nuts (sheanuts),,,,,,
371,,,,,855,Feed minerals,,,,,,
372,,,,,850,Feed supplements,,,,,,
373,,,,,161,Sugar crops nes,,,,,,
374,,,,,1157,"Camelids, other",,,,,,
375,,,,,1018,"Offals, edible, goats",,,,,,
376,,,,,1150,"Rodents, other",,,,,,
377,,,,,748,Peppermint,,,,,,
378,,,,,1104,"Hides, horse, dry salted",,,,,,
379,,,,,809,Manila fibre (abaca),,,,,,
380,,,,,859,Hay (unspecified),,,,,,
381,,,,,984,"Cheese, sheep milk",,,,,,
382,,,,,982,"Milk, whole fresh sheep",,,,,,
383,,,,,1129,"Fat, camels",,,,,,
384,,,,,94,Fonio,,,,,,
385,,,,,858,"Hay (clover, lucerne,etc)",,,,,,
386,,,,,21,Bulgur,,,,,,
387,,,,,465,"Vegetables, canned nes",,,,,,
388,,,,,203,Bambara beans,,,,,,
389,,,,,81,"Bran, millet",,,,,,
390,,,,,291,"Cake, sesame seed",,,,,,
391,,,,,205,Vetches,,,,,,
392,,,,,1213,"Hides and skins nes, fresh",,,,,,
393,,,,,294,"Cake, mustard",,,,,,
394,,,,,338,"Cake, hempseed",,,,,,
395,,,,,36,"Oil, rice bran",,,,,,
396,,,,,264,Butter of karite nuts,,,,,,
397,,,,,464,"Vegetables, dried nes",,,,,,
398,,,,,37,"Cake, rice bran",,,,,,
399,,,,,1108,"Meat, ass",,,,,,
400,,,,,778,Kapok fibre,,,,,,
401,,,,,282,"Cake, safflower",,,,,,
402,,,,,1159,"Offals, other camelids",,,,,,
403,,,,,240,Soya paste,,,,,,
404,,,,,1031,"Hair, goat, coarse",,,,,,
405,,,,,958,"Hides, buffalo, wet salted",,,,,,
406,,,,,959,"Hides, buffalo, dry salted",,,,,,
407,,,,,163,Sugar non-centrifugal,,,,,,
408,,,,,125,Cassava,,,,,,
409,,,,,853,Vitamins,,,,,,
410,,,,,120,Potato offals,,,,,,
411,,,,,591,Cashewapple,,,,,,
