,Country Code,Country,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
69,85,Greenland,,,,,,,,
70,86,Grenada,,,,,,,,
71,87,Guadeloupe,,,,,,,,
72,89,Guatemala,,,,,,,,
73,90,Guinea,,,,,,,,
74,91,Guyana,,,,,,,,
75,93,Haiti,,,,,,,,
76,95,Honduras,,,,,,,,
77,97,Hungary,,,,,,,,
78,99,Iceland,,,,,,,,
79,100,India,,,,,,,,
80,101,Indonesia,,,,,,,,
81,102,Iran (Islamic Republic of),,,,,,,,
82,103,Iraq,,,,,,,,
83,104,Ireland,,,,,,,,
84,105,Israel,,,,,,,,
85,106,Italy,,,,,,,,
86,109,Jamaica,,,,,,,,
87,110,Japan,,,,,,,,
88,112,Jordan,,,,,,,,
89,108,Kazakhstan,,,,,,,,
90,114,Kenya,,,,,,,,
91,118,Kuwait,,,,,,,,
92,113,Kyrgyzstan,,,,,,,,
93,120,Lao People's Democratic Republic,,,,,,,,
94,119,Latvia,,,,,,,,
95,121,Lebanon,,,,,,,,
96,124,Libya,,,,,,,,
97,126,Lithuania,,,,,,,,
98,256,Luxembourg,,,,,,,,
99,129,Madagascar,,,,,,,,
100,130,Malawi,,,,,,,,
101,131,Malaysia,,,,,,,,
102,133,Mali,,,,,,,,
103,134,Malta,,,,,,,,
104,136,Mauritania,,,,,,,,
105,137,Mauritius,,,,,,,,
106,138,Mexico,,,,,,,,
107,141,Mongolia,,,,,,,,
108,273,Montenegro,,,,,,,,
109,143,Morocco,,,,,,,,
110,144,Mozambique,,,,,,,,
111,28,Myanmar,,,,,,,,
112,147,Namibia,,,,,,,,
113,149,Nepal,,,,,,,,
114,150,Netherlands,,,,,,,,
115,151,Netherlands Antilles (former),,,,,,,,
116,153,New Caledonia,,,,,,,,
117,156,New Zealand,,,,,,,,
118,157,Nicaragua,,,,,,,,
119,158,Niger,,,,,,,,
120,159,Nigeria,,,,,,,,
121,162,Norway,,,,,,,,
122,299,Occupied Palestinian Territory,,,,,,,,
123,221,Oman,,,,,,,,
124,165,Pakistan,,,,,,,,
125,166,Panama,,,,,,,,
126,168,Papua New Guinea,,,,,,,,
127,169,Paraguay,,,,,,,,
128,170,Peru,,,,,,,,
129,171,Philippines,,,,,,,,
130,173,Poland,,,,,,,,
131,174,Portugal,,,,,,,,
132,177,Puerto Rico,,,,,,,,
133,179,Qatar,,,,,,,,
134,117,Republic of Korea,,,,,,,,
135,146,Republic of Moldova,,,,,,,,
136,182,Réunion,,,,,,,,
137,183,Romania,,,,,,,,
138,185,Russian Federation,,,,,,,,
139,188,Saint Kitts and Nevis,,,,,,,,
140,244,Samoa,,,,,,,,
141,194,Saudi Arabia,,,,,,,,
142,195,Senegal,,,,,,,,
143,272,Serbia,,,,,,,,
144,186,Serbia and Montenegro,,,,,,,,
145,196,Seychelles,,,,,,,,
146,197,Sierra Leone,,,,,,,,
147,200,Singapore,,,,,,,,
148,199,Slovakia,,,,,,,,
149,198,Slovenia,,,,,,,,
150,25,Solomon Islands,,,,,,,,
151,202,South Africa,,,,,,,,
152,203,Spain,,,,,,,,
153,38,Sri Lanka,,,,,,,,
154,206,Sudan (former),,,,,,,,
155,207,Suriname,,,,,,,,
156,209,Swaziland,,,,,,,,
157,210,Sweden,,,,,,,,
158,211,Switzerland,,,,,,,,
159,212,Syrian Arab Republic,,,,,,,,
160,208,Tajikistan,,,,,,,,
161,216,Thailand,,,,,,,,
162,154,The former Yugoslav Republic of Macedonia,,,,,,,,
163,217,Togo,,,,,,,,
164,220,Trinidad and Tobago,,,,,,,,
165,222,Tunisia,,,,,,,,
166,223,Turkey,,,,,,,,
167,213,Turkmenistan,,,,,,,,
168,226,Uganda,,,,,,,,
169,230,Ukraine,,,,,,,,
170,225,United Arab Emirates,,,,,,,,
171,229,United Kingdom,,,,,,,,
172,215,United Republic of Tanzania,,,,,,,,
173,231,United States of America,,,,,,,,
174,234,Uruguay,,,,,,,,
175,228,USSR,,,,,,,,
176,235,Uzbekistan,,,,,,,,
177,236,Venezuela (Bolivarian Republic of),,,,,,,,
178,237,Viet Nam,,,,,,,,
179,249,Yemen,,,,,,,,
180,248,Yugoslav SFR,,,,,,,,
181,251,Zambia,,,,,,,,
182,181,Zimbabwe,,,,,,,,
183,5000,World,,,,,,,,
184,5100,Africa,,,,,,,,
185,5101,Eastern Africa,,,,,,,,
186,5102,Middle Africa,,,,,,,,
187,5103,Northern Africa,,,,,,,,
188,5104,Southern Africa,,,,,,,,
189,5105,Western Africa,,,,,,,,
190,5200,Americas,,,,,,,,
191,5203,Northern America,,,,,,,,
192,5204,Central America,,,,,,,,
193,5206,Caribbean,,,,,,,,
194,5207,South America,,,,,,,,
195,5300,Asia,,,,,,,,
196,5301,Central Asia,,,,,,,,
197,5302,Eastern Asia,,,,,,,,
198,5303,Southern Asia,,,,,,,,
199,5304,South-Eastern Asia,,,,,,,,
200,5305,Western Asia,,,,,,,,
201,5400,Europe,,,,,,,,
202,5401,Eastern Europe,,,,,,,,
203,5402,Northern Europe,,,,,,,,
204,5403,Southern Europe,,,,,,,,
205,5404,Western Europe,,,,,,,,
206,5500,Oceania,,,,,,,,
207,5501,Australia & New Zealand,,,,,,,,
208,5502,Melanesia,,,,,,,,
209,5504,Polynesia,,,,,,,,
210,5706,European Union,,,,,,,,
211,5801,Least Developed Countries,,,,,,,,
212,5802,Land Locked Developing Countries,,,,,,,,
213,5803,Small Island Developing States,,,,,,,,
214,5815,Low Income Food Deficit Countries,,,,,,,,
215,5817,Net Food Importing Developing Countries,,,,,,,,
216,5848,Annex I countries,,,,,,,,
217,5849,Non-Annex I countries,,,,,,,,
218,5873,OECD,,,,,,,,
