Country Code,Country,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
351,China,6801.0,Gas-Diesel oil,72184.0,Consumption in Agriculture,1986.0,1986.0,Terajoule,Fc
2,Afghanistan,6800.0,Motor Gasoline,719610.0,Implied emission factor for CH4,1987.0,1987.0,Kg/TJ,X
3,Albania,6802.0,Natural gas (including LNG),722510.0,Emissions (CH4) (Energy),1988.0,1988.0,Gigagrams,A
4,Algeria,6805.0,Liquefied petroleum gas (LPG),724410.0,Emissions (CO2eq) from CH4 (Energy),1989.0,1989.0,million kWh,
7,Angola,6804.0,Fuel oil,719710.0,Implied emission factor for N2O,1990.0,1990.0,g/kWh,
8,Antigua and Barbuda,6809.0,Coal,723010.0,Emissions (N2O) (Energy),1991.0,1991.0,,
9,Argentina,6807.0,Electricity,724310.0,Emissions (CO2eq) from N2O (Energy),1992.0,1992.0,,
1,Armenia,6803.0,Gas-diesel oils used in fisheries,719510.0,Implied emission factor for CO2,1993.0,1993.0,,
10,Australia,6806.0,Fuel oil used in fisheries,719410.0,Emissions (CO2) (Energy),1994.0,1994.0,,
11,Austria,6808.0,Energy for power irrigation,723110.0,Emissions (CO2eq) (Energy),1995.0,1995.0,,
52,Azerbaijan,6810.0,Transport fuel used in agriculture (excl. fishery),72182.0,,1996.0,1996.0,,
13,Bahrain,6813.0,Total Energy,719509.0,,1997.0,1997.0,,
16,Bangladesh,6811.0,Energy used in fishery,,,1998.0,1998.0,,
14,Barbados,,,,,1999.0,1999.0,,
57,Belarus,,,,,2000.0,2000.0,,
255,Belgium,,,,,2001.0,2001.0,,
23,Belize,,,,,2002.0,2002.0,,
53,Benin,,,,,2003.0,2003.0,,
18,Bhutan,,,,,2004.0,2004.0,,
19,Bolivia (Plurinational State of),,,,,2005.0,2005.0,,
80,Bosnia and Herzegovina,,,,,2006.0,2006.0,,
20,Botswana,,,,,2007.0,2007.0,,
21,Brazil,,,,,2008.0,2008.0,,
26,Brunei Darussalam,,,,,2009.0,2009.0,,
27,Bulgaria,,,,,2010.0,2010.0,,
233,Burkina Faso,,,,,2011.0,2011.0,,
35,Cabo Verde,,,,,2012.0,2012.0,,
115,Cambodia,,,,,1970.0,1970.0,,
32,Cameroon,,,,,1971.0,1971.0,,
33,Canada,,,,,1972.0,1972.0,,
39,Chad,,,,,1973.0,1973.0,,
40,Chile,,,,,1974.0,1974.0,,
96,"China, Hong Kong SAR",,,,,1975.0,1975.0,,
128,"China, Macao SAR",,,,,1976.0,1976.0,,
41,"China, mainland",,,,,1977.0,1977.0,,
214,"China, Taiwan Province of",,,,,1978.0,1978.0,,
44,Colombia,,,,,1979.0,1979.0,,
46,Congo,,,,,1980.0,1980.0,,
48,Costa Rica,,,,,1981.0,1981.0,,
107,Côte d'Ivoire,,,,,1982.0,1982.0,,
98,Croatia,,,,,1983.0,1983.0,,
49,Cuba,,,,,1984.0,1984.0,,
50,Cyprus,,,,,1985.0,1985.0,,
167,Czech Republic,,,,,,,,
51,Czechoslovakia,,,,,,,,
116,Democratic People's Republic of Korea,,,,,,,,
250,Democratic Republic of the Congo,,,,,,,,
54,Denmark,,,,,,,,
56,Dominican Republic,,,,,,,,
58,Ecuador,,,,,,,,
59,Egypt,,,,,,,,
60,El Salvador,,,,,,,,
178,Eritrea,,,,,,,,
63,Estonia,,,,,,,,
238,Ethiopia,,,,,,,,
62,Ethiopia PDR,,,,,,,,
65,Falkland Islands (Malvinas),,,,,,,,
64,Faroe Islands,,,,,,,,
66,Fiji,,,,,,,,
67,Finland,,,,,,,,
68,France,,,,,,,,
69,French Guiana,,,,,,,,
74,Gabon,,,,,,,,
75,Gambia,,,,,,,,
73,Georgia,,,,,,,,
79,Germany,,,,,,,,
81,Ghana,,,,,,,,
82,Gibraltar,,,,,,,,
84,Greece,,,,,,,,
85,Greenland,,,,,,,,
86,Grenada,,,,,,,,
87,Guadeloupe,,,,,,,,
89,Guatemala,,,,,,,,
90,Guinea,,,,,,,,
91,Guyana,,,,,,,,
93,Haiti,,,,,,,,
95,Honduras,,,,,,,,
97,Hungary,,,,,,,,
99,Iceland,,,,,,,,
100,India,,,,,,,,
101,Indonesia,,,,,,,,
102,Iran (Islamic Republic of),,,,,,,,
103,Iraq,,,,,,,,
104,Ireland,,,,,,,,
105,Israel,,,,,,,,
106,Italy,,,,,,,,
109,Jamaica,,,,,,,,
110,Japan,,,,,,,,
112,Jordan,,,,,,,,
108,Kazakhstan,,,,,,,,
114,Kenya,,,,,,,,
118,Kuwait,,,,,,,,
113,Kyrgyzstan,,,,,,,,
120,Lao People's Democratic Republic,,,,,,,,
119,Latvia,,,,,,,,
