Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
2,Afghanistan,2731.0,Bovine Meat,641.0,Food supply quantity (tonnes),1961.0,1961.0,tonnes,S
3,Albania,2740.0,"Butter, Ghee",646.0,Food supply quantity (g/capita/day),1962.0,1962.0,g/capita/day,Fc
4,Algeria,2741.0,Cheese,645.0,Food supply quantity (kg/capita/yr),1963.0,1963.0,kg,A
7,Angola,2743.0,Cream,664.0,Food supply (kcal/capita/day),1964.0,1964.0,kcal/capita/day,
8,Antigua and Barbuda,2744.0,Eggs,674.0,Protein supply quantity (g/capita/day),1965.0,1965.0,,
9,Argentina,2737.0,"Fats, Animals, Raw",684.0,Fat supply quantity (g/capita/day),1966.0,1966.0,,
1,Armenia,2761.0,Freshwater Fish,,,1967.0,1967.0,,
10,Australia,2745.0,Honey,,,1968.0,1968.0,,
11,Austria,2735.0,"Meat, Other",,,1969.0,1969.0,,
52,Azerbaijan,2848.0,Milk - Excluding Butter,,,1970.0,1970.0,,
12,Bahamas,2738.0,"Milk, Whole",,,1971.0,1971.0,,
16,Bangladesh,2732.0,Mutton & Goat Meat,,,1972.0,1972.0,,
14,Barbados,2736.0,"Offals, Edible",,,1973.0,1973.0,,
57,Belarus,2734.0,Poultry Meat,,,1974.0,1974.0,,
255,Belgium,2946.0,Animal fats,,,1975.0,1975.0,,
15,Belgium-Luxembourg,2941.0,Animal Products,,,1976.0,1976.0,,
23,Belize,2949.0,"Fish, Seafood",,,1977.0,1977.0,,
53,Benin,2960.0,Meat,,,1978.0,1978.0,,
17,Bermuda,2943.0,Offals,,,1979.0,1979.0,,
19,Bolivia (Plurinational State of),2948.0,Grand Total,,,1980.0,1980.0,,
80,Bosnia and Herzegovina,2945.0,"Aquatic Animals, Others",,,1981.0,1981.0,,
20,Botswana,2901.0,Aquatic Plants,,,1982.0,1982.0,,
21,Brazil,2769.0,Cephalopods,,,1983.0,1983.0,,
26,Brunei Darussalam,2775.0,Crustaceans,,,1984.0,1984.0,,
27,Bulgaria,2766.0,Demersal Fish,,,1985.0,1985.0,,
233,Burkina Faso,2765.0,"Fish, Body Oil",,,1986.0,1986.0,,
35,Cabo Verde,2762.0,"Fish, Liver Oil",,,1987.0,1987.0,,
115,Cambodia,2781.0,"Marine Fish, Other",,,1988.0,1988.0,,
32,Cameroon,2782.0,"Molluscs, Other",,,1989.0,1989.0,,
33,Canada,2764.0,Pelagic Fish,,,1990.0,1990.0,,
37,Central African Republic,2767.0,Pigmeat,,,1991.0,1991.0,,
39,Chad,2763.0,"Aquatic Products, Other",,,1992.0,1992.0,,
40,Chile,2733.0,Whey,,,1993.0,1993.0,,
351,China,2961.0,"Meat, Aquatic Mammals",,,1994.0,1994.0,,
96,"China, Hong Kong SAR",2742.0,Meat Meal,,,1995.0,1995.0,,
128,"China, Macao SAR",2768.0,Hides and skins,,,1996.0,1996.0,,
41,"China, mainland",2749.0,,,,1997.0,1997.0,,
214,"China, Taiwan Province of",2748.0,,,,1998.0,1998.0,,
44,Colombia,,,,,1999.0,1999.0,,
46,Congo,,,,,2000.0,2000.0,,
48,Costa Rica,,,,,2001.0,2001.0,,
107,Côte d'Ivoire,,,,,2002.0,2002.0,,
98,Croatia,,,,,2003.0,2003.0,,
49,Cuba,,,,,2004.0,2004.0,,
50,Cyprus,,,,,2005.0,2005.0,,
167,Czechia,,,,,2006.0,2006.0,,
51,Czechoslovakia,,,,,2007.0,2007.0,,
116,Democratic People's Republic of Korea,,,,,2008.0,2008.0,,
54,Denmark,,,,,2009.0,2009.0,,
72,Djibouti,,,,,2010.0,2010.0,,
55,Dominica,,,,,2011.0,2011.0,,
56,Dominican Republic,,,,,2012.0,2012.0,,
58,Ecuador,,,,,2013.0,2013.0,,
59,Egypt,,,,,,,,
60,El Salvador,,,,,,,,
63,Estonia,,,,,,,,
238,Ethiopia,,,,,,,,
62,Ethiopia PDR,,,,,,,,
66,Fiji,,,,,,,,
67,Finland,,,,,,,,
68,France,,,,,,,,
70,French Polynesia,,,,,,,,
74,Gabon,,,,,,,,
75,Gambia,,,,,,,,
73,Georgia,,,,,,,,
79,Germany,,,,,,,,
81,Ghana,,,,,,,,
84,Greece,,,,,,,,
86,Grenada,,,,,,,,
89,Guatemala,,,,,,,,
90,Guinea,,,,,,,,
175,Guinea-Bissau,,,,,,,,
91,Guyana,,,,,,,,
93,Haiti,,,,,,,,
95,Honduras,,,,,,,,
97,Hungary,,,,,,,,
99,Iceland,,,,,,,,
100,India,,,,,,,,
101,Indonesia,,,,,,,,
102,Iran (Islamic Republic of),,,,,,,,
103,Iraq,,,,,,,,
104,Ireland,,,,,,,,
105,Israel,,,,,,,,
106,Italy,,,,,,,,
109,Jamaica,,,,,,,,
110,Japan,,,,,,,,
112,Jordan,,,,,,,,
108,Kazakhstan,,,,,,,,
114,Kenya,,,,,,,,
83,Kiribati,,,,,,,,
118,Kuwait,,,,,,,,
113,Kyrgyzstan,,,,,,,,
120,Lao People's Democratic Republic,,,,,,,,
119,Latvia,,,,,,,,
121,Lebanon,,,,,,,,
122,Lesotho,,,,,,,,
123,Liberia,,,,,,,,
126,Lithuania,,,,,,,,
256,Luxembourg,,,,,,,,
129,Madagascar,,,,,,,,
130,Malawi,,,,,,,,
131,Malaysia,,,,,,,,
132,Maldives,,,,,,,,
133,Mali,,,,,,,,
134,Malta,,,,,,,,
136,Mauritania,,,,,,,,
137,Mauritius,,,,,,,,
138,Mexico,,,,,,,,
141,Mongolia,,,,,,,,
273,Montenegro,,,,,,,,
143,Morocco,,,,,,,,
144,Mozambique,,,,,,,,
28,Myanmar,,,,,,,,
147,Namibia,,,,,,,,
149,Nepal,,,,,,,,
150,Netherlands,,,,,,,,
151,Netherlands Antilles (former),,,,,,,,
153,New Caledonia,,,,,,,,
156,New Zealand,,,,,,,,
157,Nicaragua,,,,,,,,
158,Niger,,,,,,,,
159,Nigeria,,,,,,,,
162,Norway,,,,,,,,
221,Oman,,,,,,,,
165,Pakistan,,,,,,,,
166,Panama,,,,,,,,
169,Paraguay,,,,,,,,
170,Peru,,,,,,,,
171,Philippines,,,,,,,,
173,Poland,,,,,,,,
174,Portugal,,,,,,,,
117,Republic of Korea,,,,,,,,
146,Republic of Moldova,,,,,,,,
183,Romania,,,,,,,,
185,Russian Federation,,,,,,,,
184,Rwanda,,,,,,,,
188,Saint Kitts and Nevis,,,,,,,,
189,Saint Lucia,,,,,,,,
191,Saint Vincent and the Grenadines,,,,,,,,
244,Samoa,,,,,,,,
193,Sao Tome and Principe,,,,,,,,
194,Saudi Arabia,,,,,,,,
195,Senegal,,,,,,,,
272,Serbia,,,,,,,,
186,Serbia and Montenegro,,,,,,,,
197,Sierra Leone,,,,,,,,
199,Slovakia,,,,,,,,
198,Slovenia,,,,,,,,
25,Solomon Islands,,,,,,,,
202,South Africa,,,,,,,,
203,Spain,,,,,,,,
38,Sri Lanka,,,,,,,,
276,Sudan,,,,,,,,
206,Sudan (former),,,,,,,,
207,Suriname,,,,,,,,
209,Swaziland,,,,,,,,
210,Sweden,,,,,,,,
211,Switzerland,,,,,,,,
208,Tajikistan,,,,,,,,
216,Thailand,,,,,,,,
154,The former Yugoslav Republic of Macedonia,,,,,,,,
176,Timor-Leste,,,,,,,,
217,Togo,,,,,,,,
220,Trinidad and Tobago,,,,,,,,
222,Tunisia,,,,,,,,
223,Turkey,,,,,,,,
213,Turkmenistan,,,,,,,,
226,Uganda,,,,,,,,
230,Ukraine,,,,,,,,
225,United Arab Emirates,,,,,,,,
229,United Kingdom,,,,,,,,
215,United Republic of Tanzania,,,,,,,,
231,United States of America,,,,,,,,
234,Uruguay,,,,,,,,
228,USSR,,,,,,,,
235,Uzbekistan,,,,,,,,
155,Vanuatu,,,,,,,,
236,Venezuela (Bolivarian Republic of),,,,,,,,
237,Viet Nam,,,,,,,,
249,Yemen,,,,,,,,
248,Yugoslav SFR,,,,,,,,
251,Zambia,,,,,,,,
181,Zimbabwe,,,,,,,,
5000,World,,,,,,,,
5100,Africa,,,,,,,,
5101,Eastern Africa,,,,,,,,
5102,Middle Africa,,,,,,,,
5103,Northern Africa,,,,,,,,
5104,Southern Africa,,,,,,,,
5105,Western Africa,,,,,,,,
5200,Americas,,,,,,,,
5203,Northern America,,,,,,,,
5204,Central America,,,,,,,,
5206,Caribbean,,,,,,,,
5207,South America,,,,,,,,
5300,Asia,,,,,,,,
5301,Central Asia,,,,,,,,
5302,Eastern Asia,,,,,,,,
5303,Southern Asia,,,,,,,,
5304,South-Eastern Asia,,,,,,,,
5305,Western Asia,,,,,,,,
5400,Europe,,,,,,,,
5401,Eastern Europe,,,,,,,,
5402,Northern Europe,,,,,,,,
5403,Southern Europe,,,,,,,,
5404,Western Europe,,,,,,,,
5500,Oceania,,,,,,,,
5501,Australia & New Zealand,,,,,,,,
5502,Melanesia,,,,,,,,
5503,Micronesia,,,,,,,,
5504,Polynesia,,,,,,,,
5706,European Union,,,,,,,,
5801,Least Developed Countries,,,,,,,,
5802,Land Locked Developing Countries,,,,,,,,
5803,Small Island Developing States,,,,,,,,
5815,Low Income Food Deficit Countries,,,,,,,,
5817,Net Food Importing Developing Countries,,,,,,,,
