Recipient Country Code,Recipient Country,Item Code,Item,Donor Country Code,Donor Country,Year Code,Year,Unit,Flag
2,Afghanistan,10109.0,Blended And Mix,500.0,Total Donors,1990.0,1990.0,tonnes,XF
3,Albania,10021.0,Bulgur Wheat Total,,,1999.0,1999.0,,XFP
4,Algeria,12061.0,Cereals,,,2000.0,2000.0,,A
5,American Samoa,11988.0,Coarse Grains,,,2001.0,2001.0,,
7,Angola,11733.0,Dried Fruits Total,,,2002.0,2002.0,,
8,Antigua and Barbuda,11853.0,Edible Fat Total,,,2003.0,2003.0,,
9,Argentina,11934.0,"Milk,Total",,,2005.0,2005.0,,
1,Armenia,12062.0,Non-Cereals,,,2008.0,2008.0,,
52,Azerbaijan,11704.0,Other Non-Cereals,,,1988.0,1988.0,,
16,Bangladesh,11726.0,"Pulses,Total",,,1989.0,1989.0,,
14,Barbados,10031.0,Rice Total,,,1991.0,1991.0,,
57,Belarus,11890.0,Sugar Total,,,1992.0,1992.0,,
23,Belize,11788.0,Vegetable Oils,,,1993.0,1993.0,,
53,Benin,11945.0,Wheat & Wheat Flour,,,1994.0,1994.0,,
18,Bhutan,11839.0,Fish & Products,,,1995.0,1995.0,,
19,Bolivia (Plurinational State of),11765.0,Meat & Products,,,1996.0,1996.0,,
80,Bosnia and Herzegovina,11815.0,Other Dairy Products,,,1997.0,1997.0,,
20,Botswana,11938.0,Butter Oil Total,,,1998.0,1998.0,,
21,Brazil,,,,,2004.0,2004.0,,
27,Bulgaria,,,,,2006.0,2006.0,,
233,Burkina Faso,,,,,2007.0,2007.0,,
29,Burundi,,,,,2009.0,2009.0,,
35,Cabo Verde,,,,,2010.0,2010.0,,
115,Cambodia,,,,,2011.0,2011.0,,
32,Cameroon,,,,,2012.0,2012.0,,
37,Central African Republic,,,,,2013.0,2013.0,,
39,Chad,,,,,2014.0,2014.0,,
40,Chile,,,,,2015.0,2015.0,,
357,China (exc. Hong Kong & Macao),,,,,2016.0,2016.0,,
44,Colombia,,,,,,,,
45,Comoros,,,,,,,,
46,Congo,,,,,,,,
48,Costa Rica,,,,,,,,
107,Côte d'Ivoire,,,,,,,,
98,Croatia,,,,,,,,
49,Cuba,,,,,,,,
50,Cyprus,,,,,,,,
116,Democratic People's Republic of Korea,,,,,,,,
250,Democratic Republic of the Congo,,,,,,,,
72,Djibouti,,,,,,,,
55,Dominica,,,,,,,,
56,Dominican Republic,,,,,,,,
58,Ecuador,,,,,,,,
59,Egypt,,,,,,,,
60,El Salvador,,,,,,,,
61,Equatorial Guinea,,,,,,,,
178,Eritrea,,,,,,,,
63,Estonia,,,,,,,,
238,Ethiopia,,,,,,,,
62,Ethiopia PDR,,,,,,,,
66,Fiji,,,,,,,,
69,French Guiana,,,,,,,,
74,Gabon,,,,,,,,
75,Gambia,,,,,,,,
76,Gaza Strip (Palestine),,,,,,,,
73,Georgia,,,,,,,,
81,Ghana,,,,,,,,
86,Grenada,,,,,,,,
89,Guatemala,,,,,,,,
90,Guinea,,,,,,,,
175,Guinea-Bissau,,,,,,,,
91,Guyana,,,,,,,,
93,Haiti,,,,,,,,
95,Honduras,,,,,,,,
100,India,,,,,,,,
101,Indonesia,,,,,,,,
102,Iran (Islamic Republic of),,,,,,,,
103,Iraq,,,,,,,,
105,Israel,,,,,,,,
