Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
2,Afghanistan,22030.0,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109.0,Value Local Currency,1995.0,1995.0,millions,IM
3,Albania,22031.0,"Consumption of Fixed Capital (Agriculture, Forestry and Fishing)",6110.0,Value US$,1996.0,1996.0,,Fc
4,Algeria,22034.0,"Net Capital Stocks (Agriculture, Forestry and Fishing)",6166.0,"Value Local Currency, 2010 prices",1997.0,1997.0,index,F
6,Andorra,22033.0,"Gross Capital Stocks (Agriculture, Forestry and Fishing)",6135.0,Share of Value Added,1998.0,1998.0,,XAM
7,Angola,,,6136.0,"Share of Value Added, 2010 prices",1999.0,1999.0,,Cv
258,Anguilla,,,6161.0,Share of Value Added US$,2000.0,2000.0,,XO
8,Antigua and Barbuda,,,6162.0,"Share of Value Added US$, 2010 prices",2001.0,2001.0,,W
9,Argentina,,,6112.0,Agriculture orientation index,2002.0,2002.0,,X
1,Armenia,,,6140.0,"Agriculture orientation index, 2010 prices",2003.0,2003.0,,
22,Aruba,,,6159.0,Agriculture orientation index US$,2004.0,2004.0,,
10,Australia,,,6160.0,"Agriculture orientation index US$, 2010 prices",2005.0,2005.0,,
11,Austria,,,6167.0,"Value US$, 2010 prices",2006.0,2006.0,,
52,Azerbaijan,,,,,2007.0,2007.0,,
12,Bahamas,,,,,2008.0,2008.0,,
13,Bahrain,,,,,2009.0,2009.0,,
16,Bangladesh,,,,,2010.0,2010.0,,
14,Barbados,,,,,2011.0,2011.0,,
57,Belarus,,,,,2012.0,2012.0,,
255,Belgium,,,,,2013.0,2013.0,,
23,Belize,,,,,2014.0,2014.0,,
53,Benin,,,,,2015.0,2015.0,,
17,Bermuda,,,,,2016.0,2016.0,,
18,Bhutan,,,,,,,,
19,Bolivia (Plurinational State of),,,,,,,,
80,Bosnia and Herzegovina,,,,,,,,
20,Botswana,,,,,,,,
21,Brazil,,,,,,,,
26,Brunei Darussalam,,,,,,,,
27,Bulgaria,,,,,,,,
233,Burkina Faso,,,,,,,,
29,Burundi,,,,,,,,
35,Cabo Verde,,,,,,,,
115,Cambodia,,,,,,,,
32,Cameroon,,,,,,,,
33,Canada,,,,,,,,
36,Cayman Islands,,,,,,,,
37,Central African Republic,,,,,,,,
39,Chad,,,,,,,,
40,Chile,,,,,,,,
96,"China, Hong Kong SAR",,,,,,,,
41,"China, mainland",,,,,,,,
44,Colombia,,,,,,,,
45,Comoros,,,,,,,,
46,Congo,,,,,,,,
47,Cook Islands,,,,,,,,
48,Costa Rica,,,,,,,,
107,Côte d'Ivoire,,,,,,,,
49,Cuba,,,,,,,,
50,Cyprus,,,,,,,,
167,Czechia,,,,,,,,
250,Democratic Republic of the Congo,,,,,,,,
54,Denmark,,,,,,,,
72,Djibouti,,,,,,,,
55,Dominica,,,,,,,,
56,Dominican Republic,,,,,,,,
58,Ecuador,,,,,,,,
59,Egypt,,,,,,,,
60,El Salvador,,,,,,,,
61,Equatorial Guinea,,,,,,,,
178,Eritrea,,,,,,,,
63,Estonia,,,,,,,,
209,Eswatini,,,,,,,,
238,Ethiopia,,,,,,,,
66,Fiji,,,,,,,,
67,Finland,,,,,,,,
68,France,,,,,,,,
70,French Polynesia,,,,,,,,
74,Gabon,,,,,,,,
73,Georgia,,,,,,,,
79,Germany,,,,,,,,
81,Ghana,,,,,,,,
84,Greece,,,,,,,,
85,Greenland,,,,,,,,
86,Grenada,,,,,,,,
89,Guatemala,,,,,,,,
90,Guinea,,,,,,,,
91,Guyana,,,,,,,,
93,Haiti,,,,,,,,
95,Honduras,,,,,,,,
97,Hungary,,,,,,,,
99,Iceland,,,,,,,,
100,India,,,,,,,,
101,Indonesia,,,,,,,,
102,Iran (Islamic Republic of),,,,,,,,
103,Iraq,,,,,,,,
104,Ireland,,,,,,,,
105,Israel,,,,,,,,
106,Italy,,,,,,,,
109,Jamaica,,,,,,,,
110,Japan,,,,,,,,
112,Jordan,,,,,,,,
108,Kazakhstan,,,,,,,,
114,Kenya,,,,,,,,
83,Kiribati,,,,,,,,
118,Kuwait,,,,,,,,
113,Kyrgyzstan,,,,,,,,
120,Lao People's Democratic Republic,,,,,,,,
119,Latvia,,,,,,,,
121,Lebanon,,,,,,,,
122,Lesotho,,,,,,,,
123,Liberia,,,,,,,,
124,Libya,,,,,,,,
126,Lithuania,,,,,,,,
256,Luxembourg,,,,,,,,
129,Madagascar,,,,,,,,
130,Malawi,,,,,,,,
131,Malaysia,,,,,,,,
132,Maldives,,,,,,,,
133,Mali,,,,,,,,
134,Malta,,,,,,,,
127,Marshall Islands,,,,,,,,
136,Mauritania,,,,,,,,
137,Mauritius,,,,,,,,
138,Mexico,,,,,,,,
145,Micronesia (Federated States of),,,,,,,,
141,Mongolia,,,,,,,,
273,Montenegro,,,,,,,,
142,Montserrat,,,,,,,,
143,Morocco,,,,,,,,
144,Mozambique,,,,,,,,
28,Myanmar,,,,,,,,
147,Namibia,,,,,,,,
148,Nauru,,,,,,,,
149,Nepal,,,,,,,,
150,Netherlands,,,,,,,,
153,New Caledonia,,,,,,,,
156,New Zealand,,,,,,,,
157,Nicaragua,,,,,,,,
158,Niger,,,,,,,,
159,Nigeria,,,,,,,,
162,Norway,,,,,,,,
299,Occupied Palestinian Territory,,,,,,,,
221,Oman,,,,,,,,
165,Pakistan,,,,,,,,
180,Palau,,,,,,,,
166,Panama,,,,,,,,
168,Papua New Guinea,,,,,,,,
169,Paraguay,,,,,,,,
170,Peru,,,,,,,,
171,Philippines,,,,,,,,
173,Poland,,,,,,,,
174,Portugal,,,,,,,,
177,Puerto Rico,,,,,,,,
179,Qatar,,,,,,,,
117,Republic of Korea,,,,,,,,
146,Republic of Moldova,,,,,,,,
183,Romania,,,,,,,,
185,Russian Federation,,,,,,,,
184,Rwanda,,,,,,,,
188,Saint Kitts and Nevis,,,,,,,,
189,Saint Lucia,,,,,,,,
191,Saint Vincent and the Grenadines,,,,,,,,
244,Samoa,,,,,,,,
193,Sao Tome and Principe,,,,,,,,
194,Saudi Arabia,,,,,,,,
272,Serbia,,,,,,,,
196,Seychelles,,,,,,,,
197,Sierra Leone,,,,,,,,
200,Singapore,,,,,,,,
199,Slovakia,,,,,,,,
198,Slovenia,,,,,,,,
25,Solomon Islands,,,,,,,,
201,Somalia,,,,,,,,
202,South Africa,,,,,,,,
277,South Sudan,,,,,,,,
203,Spain,,,,,,,,
38,Sri Lanka,,,,,,,,
276,Sudan,,,,,,,,
207,Suriname,,,,,,,,
210,Sweden,,,,,,,,
211,Switzerland,,,,,,,,
212,Syrian Arab Republic,,,,,,,,
216,Thailand,,,,,,,,
154,The former Yugoslav Republic of Macedonia,,,,,,,,
176,Timor-Leste,,,,,,,,
217,Togo,,,,,,,,
219,Tonga,,,,,,,,
222,Tunisia,,,,,,,,
223,Turkey,,,,,,,,
213,Turkmenistan,,,,,,,,
224,Turks and Caicos Islands,,,,,,,,
227,Tuvalu,,,,,,,,
226,Uganda,,,,,,,,
230,Ukraine,,,,,,,,
225,United Arab Emirates,,,,,,,,
229,United Kingdom,,,,,,,,
215,United Republic of Tanzania,,,,,,,,
231,United States of America,,,,,,,,
234,Uruguay,,,,,,,,
235,Uzbekistan,,,,,,,,
155,Vanuatu,,,,,,,,
236,Venezuela (Bolivarian Republic of),,,,,,,,
237,Viet Nam,,,,,,,,
249,Yemen,,,,,,,,
251,Zambia,,,,,,,,
181,Zimbabwe,,,,,,,,
