Donor Code,Donor,Recipient Country Code,Recipient Country,Item Code,Item,Element Code,Element,Purpose Code,Purpose,Year Code,Year,Unit,Flag
702.0,All Donors,2,Afghanistan,22040.0,Commitment,6110.0,Value US$,310.0,"Agriculture, forestry, fishing",1973.0,1973.0,millions,Fc
690.0,Bilateral Donors,3,Albania,22050.0,Disbursement,6137.0,"Value US$, 2016 prices",311.0,Agriculture,1974.0,1974.0,index,X
10.0,Australia,4,Algeria,22041.0,Commitment ODA,6112.0,Agriculture orientation index,312.0,Forestry,1975.0,1975.0,%,A
11.0,Austria,7,Angola,22042.0,Commitment OOF,6139.0,Share of Total,313.0,Fishing,1976.0,1976.0,,
52.0,Azerbaijan,258,Anguilla,22051.0,Disbursement ODA,,,308.0,"Other Agriculture, Forestry and Fishing",1977.0,1977.0,,
255.0,Belgium,8,Antigua and Barbuda,22052.0,Disbursement OOF,,,410.0,General Environment Protection,1978.0,1978.0,,
27.0,Bulgaria,9,Argentina,22043.0,Commitment Private Grant,,,306.0,Food and Nutrition Assistance,1979.0,1979.0,,
33.0,Canada,1,Armenia,22053.0,Disbursement Private Grant,,,307.0,Rural Development,1981.0,1981.0,,
214.0,"China, Taiwan Province of",22,Aruba,,,,,31100.0,"Agriculture, unspecified",1987.0,1987.0,,
98.0,Croatia,52,Azerbaijan,,,,,31110.0,Agricultural policy and administrative management,1988.0,1988.0,,
167.0,Czechia,12,Bahamas,,,,,31120.0,Agricultural development,1989.0,1989.0,,
54.0,Denmark,13,Bahrain,,,,,31130.0,Agricultural land resources,1990.0,1990.0,,
63.0,Estonia,16,Bangladesh,,,,,31140.0,Agricultural water resources,1991.0,1991.0,,
67.0,Finland,14,Barbados,,,,,31150.0,Agricultural inputs,1992.0,1992.0,,
68.0,France,57,Belarus,,,,,31161.0,Food crop production,1993.0,1993.0,,
79.0,Germany,23,Belize,,,,,31162.0,Industrial crops/export crops,1994.0,1994.0,,
84.0,Greece,53,Benin,,,,,31163.0,Livestock,1995.0,1995.0,,
97.0,Hungary,17,Bermuda,,,,,31165.0,Agricultural alternative development,1996.0,1996.0,,
