id,name,unit,dataset_id,source_id,description,code,short_unit,timespan,coverage,display,original_metadata
0,13.1.1 - Number of missing persons due to disaster (number) - VC_DSR_MISS,Number,0,0,,,,2005 - 2020,,,
1,13.1.1 - Number of people affected by disaster (number) - VC_DSR_AFFCT,Number,0,1,,,,2005 - 2020,,,
2,13.1.1 - Number of deaths due to disaster (number) - VC_DSR_MORT,Number,0,2,,,,2005 - 2020,,,
3,"13.1.1 - Number of deaths and missing persons attributed to disasters per 100,000 population (number) - VC_DSR_MTMP","Per 100,000 population",0,3,,,,2005 - 2020,,,
4,13.1.1 - Number of deaths and missing persons attributed to disasters (number) - VC_DSR_MMHN,Number,0,4,,,,2005 - 2020,,,
5,"13.1.1 - Number of directly affected persons attributed to disasters per 100,000 population (number) - VC_DSR_DAFF","Per 100,000 population",0,5,,,,2005 - 2020,,,
6,13.1.1 - Number of injured or ill people attributed to disasters (number) - VC_DSR_IJILN,Number,0,6,,,,2005 - 2020,,,
7,13.1.1 - Number of people whose damaged dwellings were attributed to disasters (number) - VC_DSR_PDAN,Number,0,7,,,,2005 - 2020,,,
8,13.1.1 - Number of people whose destroyed dwellings were attributed to disasters (number) - VC_DSR_PDYN,Number,0,8,,,,2005 - 2020,,,
9,"13.1.1 - Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number) - VC_DSR_PDLN",Number,0,9,,,,2005 - 2020,,,
10,13.1.2 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR,Index,0,10,,,,2005 - 2021,,,
11,13.1.3 - Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%) - SG_DSR_SILS,Percentage,0,11,,,%,2005 - 2021,,,
12,13.1.3 - Number of local governments that adopt and implement local DRR strategies in line with national strategies (number) - SG_DSR_SILN,Number,0,12,,,,2005 - 2021,,,
13,13.1.3 - Number of local governments (number) - SG_GOV_LOGV,Number,0,13,,,,2005 - 2021,,,
14,13.1.2 - Number of countries that reported having a National DRR Strategy which is aligned to the Sendai Framework - SG_DSR_SFDRR,Number,0,14,,,,2021 - 2021,,,
15,13.2.2 - Total greenhouse gas emissions without LULUCF for Annex I Parties (Mt CO₂ equivalent) - EN_ATM_GHGT_AIP,Million tons of CO2 equivalent,0,15,,,,1990 - 2019,,,
16,13.2.2 - Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent) - EN_ATM_GHGT_NAIP,Million tons of CO2 equivalent,0,16,,,,2000 - 2018,,,
17,"13.2.1 - Number of countries with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP - Third",Number,0,17,,,,2021 - 2021,,,
18,"13.2.1 - Number of countries with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP - Fourth",Number,0,17,,,,2021 - 2021,,,
19,"13.2.1 - Number of countries with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP - Fifth",Number,0,17,,,,2021 - 2021,,,
20,"13.2.1 - Number of countries with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP - Sixth",Number,0,17,,,,2021 - 2021,,,
21,"13.2.1 - Number of countries with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP - First",Number,0,17,,,,2021 - 2021,,,
22,"13.2.1 - Number of countries with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP - Second",Number,0,17,,,,2021 - 2021,,,
23,"13.2.1 - Number of countries with biennial update reports, non-Annex I Parties (Number) - EN_BIUREP_NAIP - First",Number,0,18,,,,2021 - 2021,,,
24,"13.2.1 - Number of countries with biennial update reports, non-Annex I Parties (Number) - EN_BIUREP_NAIP - Second",Number,0,18,,,,2021 - 2021,,,
25,"13.2.1 - Number of countries with biennial update reports, non-Annex I Parties (Number) - EN_BIUREP_NAIP - Third",Number,0,18,,,,2021 - 2021,,,
26,"13.2.1 - Number of countries with biennial update reports, non-Annex I Parties (Number) - EN_BIUREP_NAIP - Fourth",Number,0,18,,,,2021 - 2021,,,
