name,unit,dataset_id,id
Income share held by second 20%,%,0,0
Income share held by third 20%,%,0,1
Income share held by fourth 20%,%,0,2
Income share held by highest 20%,%,0,3
Income share held by highest 10%,%,0,4
Income share held by lowest 10%,%,0,5
Income share held by lowest 20%,%,0,6
"Multidimensional poverty, Educational attainment (% of population deprived)",%,1,7
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),%,1,8
"Poverty headcount ratio at $1.90 a day, age 0-14  (2011 PPP) (% of population age 0-14)",%,1,9
"Poverty headcount ratio at $1.90 a day, age 15-64 (2011 PPP) (% of population age 15-64)",%,1,10
"Poverty headcount ratio at $1.90 a day, without education (2011 PPP) (% of population age 16+ without education)",%,1,11
"Poverty headcount ratio at $1.90 a day, with primary education (2011 PPP) (% of population age 16+ with primary education)",%,1,12
"Poverty headcount ratio at $1.90 a day, with secondary education (2011 PPP) (% of population age 16+ with secondary education)",%,1,13
"Poverty headcount ratio at $1.90 a day,  with Tertiary/post-secondary education (2011 PPP) (% of population age 16+ with Tertiary/post-secondary education)",%,1,14
"Poverty headcount ratio at $1.90 a day, age 65+ (2011 PPP) (% of population age 65+)",%,1,15
"Poverty headcount ratio at $1.90 a day, Female (2011 PPP) (% of female population)",%,1,16
Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change),%,1,17
"Poverty headcount ratio at $1.90 a day, Male  (2011 PPP) (% of male population)",%,1,18
"Multidimensional poverty, Monetary poverty (% of population deprived)",%,1,19
Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change),%,1,20
"Poverty headcount ratio at $1.90 a day, rural (2011 PPP) (% of rural population)",%,1,21
"Poverty headcount ratio at $1.90 a day, urban (2011 PPP) (% of urban population)",%,1,22
"Multidimensional poverty, Electricity (% of population deprived)",%,1,23
"Multidimensional poverty, Educational enrollment (% of population deprived)",%,1,24
Poverty gap at $1.90 a day (2011 PPP) (%),%,1,25
GINI index (World Bank estimate),%,0,26
"Multidimensional poverty, Headcount ratio (% of population)",%,1,27
Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),%,1,28
Poverty gap at $3.20 a day (2011 PPP) (%),%,1,29
Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change),%,1,30
Number of poor at $3.20 a day (2011 PPP) (millions),,1,31
Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change),,1,32
Poverty gap at national poverty lines (%),,1,33
"Poverty gap at national poverty lines (%), including noncomparable values",,1,34
Poverty headcount ratio at national poverty lines (% of population),,1,35
"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values",,1,36
Number of poor at $1.90 a day (2011 PPP) (millions),,1,37
Rural poverty gap at national poverty lines (%),,1,38
"Rural poverty gap at national poverty lines (%), including noncomparable values",,1,39
Rural poverty headcount ratio at national poverty lines (% of rural population),,1,40
"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values",,1,41
"Multidimensional poverty, Sanitation (% of population deprived)",%,1,42
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),%,1,43
Poverty gap at $5.50 a day (2011 PPP) (%),%,1,44
Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change),%,1,45
Number of poor at $5.50 a day (2011 PPP) (millions),,1,46
Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change),,1,47
Urban poverty gap at national poverty lines (%),,1,48
"Urban poverty gap at national poverty lines (%), including noncomparable values",,1,49
Urban poverty headcount ratio at national poverty lines (% of urban population),,1,50
"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values",,1,51
"Multidimensional poverty, Drinking water (% of population deprived)",%,1,52
Median daily per capita income or consumption expenditure (2011 PPP),2011 PPP $,2,53
Annualized growth in per capita real survey median income or consumption expenditure (%),%,2,54
"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",2011 PPP $,2,55
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",%,2,56
"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",2011 PPP $,2,57
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",%,2,58
"Survey mean consumption or income per capita, top 10% (2011 PPP $ per day)",,2,59
"Annualized growth in per capita real survey mean consumption or income, top 10% (%)",,2,60
"Survey mean consumption or income per capita, top 60% (2011 PPP $ per day)",,2,61
"Annualized growth in per capita real survey mean consumption or income, top 60% (%)",,2,62
"Population, total",,3,63
