id,name,unit,dataset_id
0,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual total dep. ratio [(0-14 & 65+) / 15-64] (%)",Male dependency ratios for different age groups,0
1,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual total dep. ratio [(0-19 & 65+) / 20-64] (%)",Male dependency ratios for different age groups,0
2,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual total dep. ratio [(0-19 & 70+) / 20-69] (%)",Male dependency ratios for different age groups,0
3,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual total dep. ratio [(0-24 & 70+) / 25-69] (%)",Male dependency ratios for different age groups,0
4,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual total dep. ratio [(0-24 & 65+) / 25-64] (%)",Male dependency ratios for different age groups,0
5,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual child dep. ratio [0-14 / 15-64] (%)",Male dependency ratios for different age groups,0
6,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual child dep. ratio [0-19 / 20-64] (%)",Male dependency ratios for different age groups,0
7,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual child dep. ratio [0-19 / 20-69] (%)",Male dependency ratios for different age groups,0
8,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual child dep. ratio [0-24 / 25-69] (%)",Male dependency ratios for different age groups,0
9,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual child dep. ratio [0-24 / 25-64] (%)",Male dependency ratios for different age groups,0
10,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual old-age dep. ratio [65+ / 15-64] (%)",Male dependency ratios for different age groups,0
11,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual old-age dep. ratio [65+ / 20-64] (%)",Male dependency ratios for different age groups,0
12,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual old-age dep. ratio [70+ / 20-69] (%)",Male dependency ratios for different age groups,0
13,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual old-age dep. ratio [70+ / 25-69] (%)",Male dependency ratios for different age groups,0
14,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual old-age dep. ratio [65+ / 25-64] (%)",Male dependency ratios for different age groups,0
15,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual potential support ratio [15-64/65+]",Male dependency ratios for different age groups,0
16,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual potential support ratio [20-64/65+]",Male dependency ratios for different age groups,0
17,"Estimates, 1950 - 2020: Male dependency ratios for different age groups - Annual potential support ratio [20-69/70+]",Male dependency ratios for different age groups,0
