id,code,name,description,unit,short_unit,dataset_id,source_id
0,BAR.NOED.1519.FE.ZS,Barro-Lee: Percentage of female population age 15-19 with no education,"Percentage of female population age 15-19 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
1,BAR.NOED.1519.ZS,Barro-Lee: Percentage of population age 15-19 with no education,"Percentage of population age 15-19 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
2,BAR.NOED.15UP.FE.ZS,Barro-Lee: Percentage of female population age 15+ with no education,"Percentage of female population age 15+ with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
3,BAR.NOED.15UP.ZS,Barro-Lee: Percentage of population age 15+ with no education,"Percentage of population age 15+ with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
4,BAR.NOED.2024.FE.ZS,Barro-Lee: Percentage of female population age 20-24 with no education,"Percentage of female population age 20-24 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
5,BAR.NOED.2024.ZS,Barro-Lee: Percentage of population age 20-24 with no education,"Percentage of population age 20-24 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
6,BAR.NOED.2529.FE.ZS,Barro-Lee: Percentage of female population age 25-29 with no education,"Percentage of female population age 25-29 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
7,BAR.NOED.2529.ZS,Barro-Lee: Percentage of population age 25-29 with no education,"Percentage of population age 25-29 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
8,BAR.NOED.25UP.FE.ZS,Barro-Lee: Percentage of female population age 25+ with no education,"Percentage of female population age 25+ with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
9,BAR.NOED.25UP.ZS,Barro-Lee: Percentage of population age 25+ with no education,"Percentage of population age 25+ with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
10,BAR.NOED.3034.FE.ZS,Barro-Lee: Percentage of female population age 30-34 with no education,"Percentage of female population age 30-34 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
11,BAR.NOED.3034.ZS,Barro-Lee: Percentage of population age 30-34 with no education,"Percentage of population age 30-34 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
12,BAR.NOED.3539.FE.ZS,Barro-Lee: Percentage of female population age 35-39 with no education,"Percentage of female population age 35-39 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
13,BAR.NOED.3539.ZS,Barro-Lee: Percentage of population age 35-39 with no education,"Percentage of population age 35-39 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
14,BAR.NOED.4044.FE.ZS,Barro-Lee: Percentage of female population age 40-44 with no education,"Percentage of female population age 40-44 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
15,BAR.NOED.4044.ZS,Barro-Lee: Percentage of population age 40-44 with no education,"Percentage of population age 40-44 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
16,BAR.NOED.4549.FE.ZS,Barro-Lee: Percentage of female population age 45-49 with no education,"Percentage of female population age 45-49 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
17,BAR.NOED.4549.ZS,Barro-Lee: Percentage of population age 45-49 with no education,"Percentage of population age 45-49 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
18,BAR.NOED.5054.FE.ZS,Barro-Lee: Percentage of female population age 50-54 with no education,"Percentage of female population age 50-54 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
19,BAR.NOED.5054.ZS,Barro-Lee: Percentage of population age 50-54 with no education,"Percentage of population age 50-54 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
20,BAR.NOED.5559.FE.ZS,Barro-Lee: Percentage of female population age 55-59 with no education,"Percentage of female population age 55-59 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
21,BAR.NOED.5559.ZS,Barro-Lee: Percentage of population age 55-59 with no education,"Percentage of population age 55-59 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
22,BAR.NOED.6064.FE.ZS,Barro-Lee: Percentage of female population age 60-64 with no education,"Percentage of female population age 60-64 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
23,BAR.NOED.6064.ZS,Barro-Lee: Percentage of population age 60-64 with no education,"Percentage of population age 60-64 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
24,BAR.NOED.6569.FE.ZS,Barro-Lee: Percentage of female population age 65-69 with no education,"Percentage of female population age 65-69 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
25,BAR.NOED.6569.ZS,Barro-Lee: Percentage of population age 65-69 with no education,"Percentage of population age 65-69 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
26,BAR.NOED.7074.FE.ZS,Barro-Lee: Percentage of female population age 70-74 with no education,"Percentage of female population age 70-74 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
27,BAR.NOED.7074.ZS,Barro-Lee: Percentage of population age 70-74 with no education,"Percentage of population age 70-74 with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
28,BAR.NOED.75UP.FE.ZS,Barro-Lee: Percentage of female population age 75+ with no education,"Percentage of female population age 75+ with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
29,BAR.NOED.75UP.ZS,Barro-Lee: Percentage of population age 75+ with no education,"Percentage of population age 75+ with no education
Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",%,%,0,0
