id,dataset_id,name,description
0,0,Brauer et al. (2017) via World Bank,"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""Brauer et al. (2017)""}"
1,0,Carbon Dioxide Information Analysis Center (via World Bank),"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""Carbon Dioxide Information Analysis Center""}"
2,0,Carbon Dioxide Information Analysis Center and World Resources Institute (via World Bank),"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""Carbon Dioxide Information Analysis Center, Climate Watch - World Resources Institute""}"
3,0,Center for International Earth Science Information Network (via World Bank),"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""Urban-Rural Population and Land Area Estimates Version 2 - Center for International Earth Science Information Network (2013)""}"
4,0,Centre for Research on the Epidemiology of Disasters (via World Bank),"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""Emergency Events Database (EM-DAT) - Centre for Research on the Epidemiology of Disasters""}"
5,0,Data compiled from multiple sources by UN Statistics Division,"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""Global SDG Indicators Database - UN Statistics Division""}"
6,0,Data compiled from multiple sources by UN Statistics Division,"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""UN Statistics Division""}"
7,0,Data compiled from multiple sources by World Bank,"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""AQUASTAT Database - Food and Agriculture Organization of the United Nations, GDP estimates - World Bank / OECD""}"
8,0,Data compiled from multiple sources by World Bank,"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""Balance of Payments Statistics - International Monetary Fund, GDP estimates - World Bank / OECD""}"
9,0,Data compiled from multiple sources by World Bank,"{""link"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""retrievedDate"": ""08-August-2021"", ""additionalInfo"": null, ""dataPublishedBy"": ""World Development Indicators - World Bank (2021.07.30)"", ""dataPublisherSource"": ""Balance of Payments Statistics - International Monetary Fund, UN Conference on Trade and Development, official national sources""}"
