country,value,year
Canada,60.13193548387096,2017
Mexico,30.861009999999997,2017
US,1310.0045612903211,2017
Total North America,1400.997506774192,2017
Argentina,2.0320819672131147,2017
Brazil,25.766994981776012,2017
Other S. & Cent. America,49.68496313900654,2017
Total S. & Cent. America,77.48404008799567,2017
Germany,241.9308,2017
Italy,35.1287,2017
Netherlands,31.27554,2017
Poland,133.813,2017
Spain,46.349,2017
Turkey,97.47630000000001,2017
Ukraine,46.72771724225855,2017
United Kingdom,22.529168818102583,2017
Other Europe,233.27412457092743,2017
Total Europe,888.5043506312885,2017
Kazakhstan,69.85740254006613,2017
Russian Federation,168.90267785589995,2017
Other CIS,12.672056952732241,2017
Total CIS,251.43213734869835,2017
Iran,0.4866666666666667,2017
Saudi Arabia,0.0,2017
United Arab Emirates,0.0,2017
Other Middle East,22.264238617838803,2017
Total Middle East,22.75090528450547,2017
Egypt,0.0,2017
South Africa,221.36357991078376,2017
Other Africa,27.418535280347736,2017
Total Africa,248.78211519113148,2017
Australia,159.13383500000003,2017
China,4445.497262597887,2017
India,1117.6127193299922,2017
Indonesia,147.964,2017
Japan,361.8065471611933,2017
Malaysia,67.7423339107199,2017
South Korea,261.699628,2017
Taiwan,125.9251,2017
Thailand,35.732450111,2017
Vietnam,76.14309501560109,2017
Other Asia Pacific,116.94405561255891,2017
Total Asia Pacific,6916.201026738954,2017
Total World,9806.152082056766,2017
Canada,59.260807365210155,2018
Mexico,29.207574239609126,2018
US,1245.789137634409,2018
Total North America,1334.2575192392283,2018
Argentina,2.0435827962902726,2018
Brazil,21.901939064214346,2018
Other S. & Cent. America,52.59010263447361,2018
Total S. & Cent. America,76.53562449497824,2018
Germany,229.0,2018
Italy,36.57256160833972,2018
Netherlands,30.03169711563808,2018
Poland,134.693,2018
Spain,38.39524910767874,2018
Turkey,111.72244377209839,2018
Ukraine,47.658118663986684,2018
United Kingdom,16.83510687379909,2018
Other Europe,217.82701641374894,2018
Total Europe,862.7351935552897,2018
Kazakhstan,70.17628012575663,2018
Russian Federation,177.47658422179967,2018
Other CIS,11.326053692066619,2018
Total CIS,258.9789180396229,2018
Iran,0.4866666666666667,2018
Saudi Arabia,0.0,2018
United Arab Emirates,0.0,2018
Other Middle East,20.7972397338319,2018
Total Middle East,21.28390640049857,2018
Egypt,0.0,2018
South Africa,224.9648759171115,2018
Other Africa,30.957214234912655,2018
Total Africa,255.92209015202417,2018
Australia,156.562805,2018
China,4732.447892613783,2018
India,1176.2627056202382,2018
Indonesia,156.35531145516427,2018
Japan,347.1923601957632,2018
Malaysia,74.09061679335872,2018
South Korea,261.30045001181696,2018
Taiwan,126.61280000000001,2018
Thailand,35.79642368,2018
Vietnam,86.65771954082904,2018
Other Asia Pacific,137.5356685594185,2018
Total Asia Pacific,7290.814753470371,2018
Total World,10100.528005352016,2018
