education_programs_bachelor,education_programs_master,education_programs_short,Year,Entity,education_programs_bachelor_per_million,education_programs_master_per_million,education_programs_short_per_million
6.0,34.0,3.0,2020,Belgium,0.52,2.93,0.26
0.0,1.0,0.0,2020,Bulgaria,0.0,0.14,0.0
2.0,10.0,0.0,2020,Czechia,0.19,0.93,0.0
9.0,51.0,8.0,2020,Denmark,1.55,8.8,1.38
19.0,106.0,21.0,2020,Germany,0.23,1.27,0.25
2.0,8.0,2.0,2020,Estonia,1.51,6.03,1.51
40.0,56.0,0.0,2020,Ireland,8.1,11.34,0.0
2.0,6.0,1.0,2020,Greece,0.19,0.58,0.1
4.0,43.0,2.0,2020,Spain,0.09,0.92,0.04
6.0,67.0,5.0,2020,France,0.09,1.03,0.08
0.0,1.0,2.0,2020,Croatia,0.0,0.24,0.49
4.0,61.0,1.0,2020,Italy,0.07,1.01,0.02
4.0,9.0,0.0,2020,Cyprus,3.31,7.45,0.0
4.0,8.0,0.0,2020,Latvia,2.12,4.24,0.0
10.0,15.0,1.0,2020,Lithuania,3.67,5.51,0.37
0.0,2.0,0.0,2020,Luxembourg,0.0,3.2,0.0
7.0,14.0,0.0,2020,Hungary,0.72,1.45,0.0
1.0,3.0,0.0,2020,Malta,2.26,6.79,0.0
18.0,89.0,14.0,2020,Netherlands,1.05,5.19,0.82
3.0,21.0,0.0,2020,Austria,0.33,2.33,0.0
12.0,21.0,1.0,2020,Poland,0.32,0.55,0.03
3.0,20.0,0.0,2020,Portugal,0.29,1.96,0.0
4.0,13.0,0.0,2020,Romania,0.21,0.68,0.0
0.0,5.0,0.0,2020,Slovenia,0.0,2.41,0.0
2.0,3.0,0.0,2020,Slovakia,0.37,0.55,0.0
9.0,43.0,1.0,2020,Finland,1.62,7.76,0.18
3.0,84.0,2.0,2020,Sweden,0.3,8.32,0.2
587.0,657.0,31.0,2020,United Kingdom,8.65,9.68,0.46
2.0,33.0,0.0,2020,Norway,0.37,6.09,0.0
1.0,27.0,0.0,2020,Switzerland,0.12,3.12,0.0
139.0,116.0,4.0,2020,Canada,3.68,3.07,0.11
1183.0,978.0,184.0,2020,United States,3.57,2.95,0.56
183.0,120.0,20.0,2020,Australia,7.18,4.71,0.78
174.0,794.0,64.0,2020,European Union,0.39,1.78,0.14
