Entity,Year,national_strategies
Argentina,2020,2
Australia,2020,2
Austria,2020,2
Brazil,2020,2
Bulgaria,2020,2
Canada,2017,1
Canada,2018,1
Canada,2019,1
Canada,2020,1
Chile,2020,2
China,2017,1
China,2018,1
China,2019,1
China,2020,1
Colombia,2019,1
Colombia,2020,1
Cyprus,2020,2
Czechia,2019,1
Czechia,2020,1
Estonia,2019,1
Estonia,2020,1
European Union,2018,1
European Union,2019,1
European Union,2020,1
Finland,2017,1
Finland,2018,1
Finland,2019,1
Finland,2020,1
France,2018,1
France,2019,1
France,2020,1
Germany,2018,1
Germany,2019,1
Germany,2020,1
Hungary,2020,1
India,2018,1
India,2019,1
India,2020,1
Indonesia,2020,1
Ireland,2020,2
Israel,2020,2
Italy,2020,2
Japan,2017,1
Japan,2018,1
Japan,2019,1
Japan,2020,1
Kenya,2020,2
Latvia,2020,2
Lithuania,2019,1
Lithuania,2020,1
Luxembourg,2019,1
Luxembourg,2020,1
Malaysia,2020,2
Malta,2019,1
Malta,2020,1
Mexico,2018,1
Mexico,2019,1
Mexico,2020,1
Netherlands,2019,1
Netherlands,2020,1
New Zealand,2020,2
Norway,2020,1
Poland,2020,2
Portugal,2019,1
Portugal,2020,1
Qatar,2019,1
Qatar,2020,1
Russia,2019,1
Russia,2020,1
Saudi Arabia,2020,1
Serbia,2020,1
Singapore,2019,1
Singapore,2020,1
South Korea,2019,1
South Korea,2020,1
Spain,2020,1
Sri Lanka,2020,2
Sweden,2018,1
Sweden,2019,1
Sweden,2020,1
Switzerland,2020,2
Taiwan,2018,1
Taiwan,2019,1
Taiwan,2020,1
Tunisia,2020,2
Turkey,2020,2
Ukraine,2020,2
United Arab Emirates,2017,1
United Arab Emirates,2018,1
United Arab Emirates,2019,1
United Arab Emirates,2020,1
United Kingdom,2018,1
United Kingdom,2019,1
United Kingdom,2020,1
United States,2019,1
United States,2020,1
Uruguay,2020,2
Vietnam,2020,2
