Footnote,Year,"Country of origin (ISO)","Country of asylum (ISO)","Population type"
"Refugees includes people in refugee-like situations","2020 - 2021",,ARM,REF
"From various sources such as civil status offices, health institutions, schools, municipal child protection units, and social services, UNHCR estimates the number of people with undetermined nationality (at risk of statelessness).",2021,KGZ,ALB,STA
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 160 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 209,007 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).","2020 - 2021",,LVA,STA
"The new statelessness figure is based on a 2019 mapping study jointly conducted by the Government and UNHCR.","2020 - 2021",,CIV,STA
"The 303,100 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.","2020 - 2021",,CHN,REF
"With regard to the statelessness figures, in 2020, Colombia granted nationality by birth to 7,700 children with undetermined nationality born in Colombia to Venezuelan parents displaced abroad. As these children were both identified as persons with undetermined nationality and granted Colombian nationality in 2020, there was no impact on the figures reported.",2020,,COL,STA
"The profiles that are registered under this undetermined nationality category provided by the Ministry of Interior are not clearly defined and therefore these 9,641 have been removed from Stateless statistics published for Belgium.",2020,,BEL,STA
"In 2020, the refugee estimates were updated using the data provided by ISTAT for 2019, augmented with the decisions on asylum applications provided by the Ministry of Interior in 2020. The ISTAT statistics provide the total number of people with valid refugee residence permits, disaggregated for the 50 most common countries of origins. This resulted in a reduction in the start-year refugee population of 91,200 refugees.",2020,,ITA,REF
"UNHCR is verifying the number of stateless persons with the Government of Saudi Arabia.","2020 - 2021",,SAU,STA
"The reduction of about 109,400 is due to improved estimates of Somali refugees in Yemen. Starting in September 2020, UNHCR has been working with the authorities and other actors to improve estimates of refugee and asylum-seeker statistics in Yemen.",2020,,YEM,REF
"The methodology for estimating the number of refugees in Australia is under review and subject to adjustment in future reports. The asylum-seeker figure is based on the number of applications lodged for protection visas.","2020 - 2021",,AUS,REF
"In October 2020, UNHCR Iran received the data on total number of refugees from the Government of the Islamic Republic of Iran, on which consultations are ongoing. According to it, 800,000 refugee card holders reside in the Islamic Republic of Iran, 780,000 of whom are Afghans and 20,000 Iraqis. The last time the Iranian Government had shared information on Afghan refugee population was in May 2015, when according to it 951,410 Afghan refugees resided in Iran; the Iraqi refugee population data was shared in 2013, and according to it 28,268 Iraqi refugees resided in Iran. UNHCR is in consultations with the authorities to understand the reasons behind the decrease reported in 2020 data (170,081 for Afghan refugees and 8,268 for Iraqi refugees).",2020,,IRN,REF
"The statelessness figure refers to stateless persons with permanent residence reported by the Government of Uzbekistan in November 2020 under the XII Report on compliance of Uzbekistan with CERD. Information on other categories of statelessness is unavailable.",2020,,UZB,STA
