tag,dataset_id,id,name,unit,notes
v2ellovttm,0,6,Lower chamber election vote share of third-largest vote-getter,Numeric.,"In this election to the lower (or unicameral) chamber of the legislature, what percentage () of the vote was received by the second largest party in the first/only round?
Leave this question blank if election was nonpartisan, i.e., no parties (not even pro-government parties) were allowed.
Source: Nohlen et al. (1999, 2002, 2005, 2010)."
v3stcitlaw,0,9,Citizenship laws,"0. No.1. Yes.
Dichotomous","Are there laws specifying who is a citizen and who is not and establishing procedures for naturalization?
Source: CCP (v543); http://eudo-citizenship.eu/country-profiles/; various country-specific sources."
v2lgfemleg,0,12,Lower chamber female legislators,"Percent.
Interval.","What percentage () of the lower (or unicameral) chamber of the legislature is female?
Source: Edgel (2014); Paxton et al. (2008); Carmichael et al. (2014); Chronicle of Parliamentary Elections (IPU); genderproject.org."
e_cow_imports,0,17,Imports,"","What is the total value of a country's imports?
Total imports in 2014 US millions of dollars.
Source: Barbieri et al. (2009), Barbieri and Keshk (2016)"
v2elvotlrg,0,19,Presidential election vote share of largest vote-getter,"Percent.
Interval.","In the first (or only round) of this presidential election, what percentage () of the vote was received by candidate eventually winning office?
Source: Nohlen et al. (1999, 2002, 2005, 2010); IFES."
v2ddpartpl,0,26,Plebiscite participation threshold,"Percent.
Interval.","What threshold of participation --- expressed as a percentage of registered voters --- must be reached in order for a plebiscite to be binding?
Enter 0 if there is no threshold.
Converted from (B) to (A) coding by David Altman."
v2ddyrall,0,33,Number of popular votes this year,"Numeric.
Interval.","How many direct democracy elections (initiatives, referendums and/or plebiscites) occurred this year?"
e_migdppc,0,53,GDP per capita,"","What is the GDP per capita?
GDP refers to gross domestic production, understood on a per capita basis.
Source: The Maddison Project Database (2018)"
v2elmonden,0,120,Election international monitors denied,"0: No/Unclear 1: Yes
Dichotomous.","In this national election, were some international election monitors denied opportunity to be present by the government holding the election?
Source: NELDA 48 (Hyde and Marinov 2012); IDEA; websites by international election monitors."
e_radio_n,0,126,Radios,"","What is the number of radio sets?
Original source doesn't specify if the indicators considers total number of radio sets or only radio sets in use.
Source: Comin and Hobijn (2009)."
v2ddyrci,0,136,Occurrence of citizen-initiative this year,"Numeric.
Interval.",How many citizen-initiative occurred this year?
v2elsrgel,0,138,Regional government elected,"0: Generally, offices at the regional level are not elected. 1: Generally, the regional executive is elected but not the assembly. 2: Generally, the regional assembly is elected but not the executive. 3: Generally, the regional executive is elected and there is no assembly. 4: Generally, the regional assembly is elected and there is no executive. 5: Generally, the regional executive and assembly are elected.
Nominal.","At the regional level, are government offices elected in practice?
~Government offices~ here refers to a regional executive and a regional assembly, not a judiciary and not minor bureaucrats. An executive is a single individual (or a very small group) (e.g., a governor). An assembly is a larger body of officials, who may be divided into two chambers. ~Elected~ refers to offices that are directly elected by citizens or indirectly elected by a regional elected assembly. All other methods of obtaining office --- including appointment by higher or lower levels of government --- are considered to be non-elected. In classifying a position as elected one is making no judgments about the freeness/fairness of the election or the relative extent of suffrage. One is simply indicating that there is an election and that the winner of that election (however conducted) generally takes office.
Converted from (C) to (A (C)) coding as of December 2014.
Source: Country expert coding (C data)."
v2ellocgov,0,139,Local government exists,"0: No. 1: Yes.
Dichotomous, converted to interval by the measurement model.","Is there a local government?
Local government refers to the level of government below the regional government. There are many names for units at this level; some common ones are counties, communes, cities, municipalities, towns, rural municipalities, and villages. Countries with more than two subnational levels may have multiple levels that fit the definition of local government. If this is the case, please code the local level that, in practice, has the most responsibilities (e.g. making laws, providing primary, education, maintaining roads, policing, etc.) and resources to carry out those responsibilities.
Converted from (C) to (A (C)) coding as of December 2014.
Source: Country expert coding (C data)."
e_migdpgro,0,155,GDP growth,"","What is the GDP per capita growth rate?
Estimated from the variable GDP per capita.
Source: The Maddison Project Database (2018)"
