Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","03/03/2022 09:04"
"Last updated:","03/03/2022 09:04"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=gmc9Fi
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Resettlement arrivals"
1959,Albania,ALB,-,-,17
1959,Egypt,EGY,-,-,5
1959,Austria,AUT,-,-,17
1959,Bulgaria,BGR,-,-,35
1959,Czechia,CZE,-,-,36
1959,Estonia,EST,-,-,31
1959,Finland,FIN,-,-,5
1959,Germany,DEU,-,-,122
1959,Greece,GRC,-,-,34
1959,Hungary,HUN,-,-,579
1959,Italy,ITA,-,-,63
1959,Lebanon,LBN,-,-,5
1959,Lithuania,LTU,-,-,30
1959,Latvia,LVA,-,-,59
1959,Netherlands,NLD,-,-,8
1959,Poland,POL,-,-,311
1959,Romania,ROU,-,-,22
1959,"Russian Federation",RUS,-,-,194
1959,Spain,ESP,-,-,5
1959,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,1224
1959,"Unknown ",,-,-,241
1960,Albania,ALB,-,-,21
1960,Austria,AUT,-,-,8
1960,Bulgaria,BGR,-,-,21
1960,Czechia,CZE,-,-,9
1960,Germany,DEU,-,-,12
1960,Greece,GRC,-,-,14
1960,Hungary,HUN,-,-,380
1960,Italy,ITA,-,-,60
1960,Latvia,LVA,-,-,18
1960,Poland,POL,-,-,178
1960,Romania,ROU,-,-,28
1960,"Russian Federation",RUS,-,-,43
1960,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,1489
1960,"Unknown ",,-,-,44
1961,Albania,ALB,-,-,20
1961,Austria,AUT,-,-,7
1961,Bulgaria,BGR,-,-,11
1961,Czechia,CZE,-,-,14
1961,Estonia,EST,-,-,6
1961,Germany,DEU,-,-,21
1961,Greece,GRC,-,-,5
1961,Hungary,HUN,-,-,334
1961,Italy,ITA,-,-,8
1961,Lithuania,LTU,-,-,26
1961,Latvia,LVA,-,-,18
1961,Poland,POL,-,-,176
1961,Romania,ROU,-,-,41
1961,"Russian Federation",RUS,-,-,51
1961,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,937
1961,"Unknown ",,-,-,136
1962,Albania,ALB,-,-,20
1962,Bulgaria,BGR,-,-,5
1962,China,CHN,-,-,172
1962,Czechia,CZE,-,-,17
1962,Germany,DEU,-,-,5
1962,Hungary,HUN,-,-,180
1962,Italy,ITA,-,-,19
1962,Lithuania,LTU,-,-,5
1962,Latvia,LVA,-,-,9
1962,Poland,POL,-,-,131
1962,Romania,ROU,-,-,42
1962,"Russian Federation",RUS,-,-,46
1962,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,959
1962,"Unknown ",,-,-,118
1963,Albania,ALB,-,-,43
1963,Bulgaria,BGR,-,-,15
1963,China,CHN,-,-,86
1963,Czechia,CZE,-,-,14
1963,Germany,DEU,-,-,23
1963,Greece,GRC,-,-,7
1963,Hungary,HUN,-,-,126
1963,Italy,ITA,-,-,5
1963,Latvia,LVA,-,-,5
1963,Poland,POL,-,-,83
1963,Romania,ROU,-,-,102
1963,"Russian Federation",RUS,-,-,37
1963,Spain,ESP,-,-,6
1963,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,1423
1963,Turkey,TUR,-,-,5
1963,"Unknown ",,-,-,41
1964,Albania,ALB,-,-,16
1964,Bulgaria,BGR,-,-,13
1964,Czechia,CZE,-,-,23
1964,Estonia,EST,-,-,5
1964,France,FRA,-,-,5
1964,Germany,DEU,-,-,7
1964,Hungary,HUN,-,-,243
1964,Italy,ITA,-,-,5
1964,Poland,POL,-,-,90
1964,Portugal,PRT,-,-,10
1964,Romania,ROU,-,-,86
1964,"Russian Federation",RUS,-,-,42
1964,Spain,ESP,-,-,50
1964,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,1523
1964,"Unknown ",,-,-,152
1965,Albania,ALB,-,-,12
1965,Austria,AUT,-,-,5
1965,Bulgaria,BGR,-,-,39
1965,Czechia,CZE,-,-,90
1965,Germany,DEU,-,-,6
1965,Greece,GRC,-,-,5
1965,Hungary,HUN,-,-,351
1965,Italy,ITA,-,-,5
1965,Lithuania,LTU,-,-,8
1965,Latvia,LVA,-,-,5
1965,Poland,POL,-,-,103
1965,Romania,ROU,-,-,57
1965,"Russian Federation",RUS,-,-,35
1965,Spain,ESP,-,-,20
1965,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,1320
1965,"Unknown ",,-,-,70
1966,Albania,ALB,-,-,15
1966,Bulgaria,BGR,-,-,19
1966,Czechia,CZE,-,-,186
1966,France,FRA,-,-,5
1966,Germany,DEU,-,-,5
