year,country,value
2018,China,76.1
2019,China,75.9
2020,China,75.7
2021,China,75.6
2022,China,75.4
2023,China,75.3
2024,China,75.1
2025,China,75.0
2026,China,74.8
2027,China,74.7
2028,China,74.5
2029,China,74.4
2030,China,74.2
2018,North Korea,81.8
2019,North Korea,81.7
2020,North Korea,81.7
2021,North Korea,81.7
2022,North Korea,81.6
2023,North Korea,81.6
2024,North Korea,81.6
2025,North Korea,81.5
2026,North Korea,81.5
2027,North Korea,81.5
2028,North Korea,81.4
2029,North Korea,81.4
2030,North Korea,81.4
2018,Taiwan,80.6
2019,Taiwan,80.6
2020,Taiwan,80.6
2021,Taiwan,80.6
2022,Taiwan,80.6
2023,Taiwan,80.6
2024,Taiwan,80.5
2025,Taiwan,80.5
2026,Taiwan,80.5
2027,Taiwan,80.5
2028,Taiwan,80.5
2029,Taiwan,80.4
2030,Taiwan,80.4
2018,Cambodia,60.5
2019,Cambodia,60.4
2020,Cambodia,60.3
2021,Cambodia,60.3
2022,Cambodia,60.2
2023,Cambodia,60.2
2024,Cambodia,60.1
2025,Cambodia,60.0
2026,Cambodia,60.0
2027,Cambodia,59.9
2028,Cambodia,59.9
2029,Cambodia,59.8
2030,Cambodia,59.8
2018,Indonesia,78.5
2019,Indonesia,78.4
2020,Indonesia,78.4
2021,Indonesia,78.4
2022,Indonesia,78.4
2023,Indonesia,78.4
2024,Indonesia,78.3
2025,Indonesia,78.3
2026,Indonesia,78.3
2027,Indonesia,78.3
2028,Indonesia,78.3
2029,Indonesia,78.2
2030,Indonesia,78.2
2018,Laos,78.9
2019,Laos,78.9
2020,Laos,78.8
2021,Laos,78.8
2022,Laos,78.8
2023,Laos,78.7
2024,Laos,78.7
2025,Laos,78.7
2026,Laos,78.7
2027,Laos,78.6
2028,Laos,78.6
2029,Laos,78.6
2030,Laos,78.6
2018,Malaysia,78.8
2019,Malaysia,78.7
2020,Malaysia,78.7
2021,Malaysia,78.7
2022,Malaysia,78.7
2023,Malaysia,78.6
2024,Malaysia,78.6
2025,Malaysia,78.6
2026,Malaysia,78.6
2027,Malaysia,78.5
2028,Malaysia,78.5
2029,Malaysia,78.5
2030,Malaysia,78.5
2018,Maldives,74.9
2019,Maldives,74.6
2020,Maldives,74.4
2021,Maldives,74.1
2022,Maldives,73.9
2023,Maldives,73.6
2024,Maldives,73.4
2025,Maldives,73.1
2026,Maldives,72.9
2027,Maldives,72.7
2028,Maldives,72.5
2029,Maldives,72.3
2030,Maldives,72.0
2018,Myanmar,79.4
2019,Myanmar,79.4
2020,Myanmar,79.3
2021,Myanmar,79.3
2022,Myanmar,79.3
2023,Myanmar,79.3
2024,Myanmar,79.3
2025,Myanmar,79.3
2026,Myanmar,79.3
2027,Myanmar,79.3
2028,Myanmar,79.3
2029,Myanmar,79.3
2030,Myanmar,79.2
2018,Philippines,83.0
2019,Philippines,83.0
2020,Philippines,83.0
2021,Philippines,83.0
2022,Philippines,83.0
2023,Philippines,83.0
2024,Philippines,83.0
2025,Philippines,83.0
2026,Philippines,83.0
2027,Philippines,83.0
2028,Philippines,83.0
2029,Philippines,83.0
2030,Philippines,83.0
2018,Sri Lanka,66.8
2019,Sri Lanka,66.8
2020,Sri Lanka,66.8
2021,Sri Lanka,66.7
2022,Sri Lanka,66.7
2023,Sri Lanka,66.7
2024,Sri Lanka,66.7
2025,Sri Lanka,66.7
2026,Sri Lanka,66.7
2027,Sri Lanka,66.7
2028,Sri Lanka,66.7
2029,Sri Lanka,66.7
2030,Sri Lanka,66.7
2018,Thailand,92.4
2019,Thailand,92.4
2020,Thailand,92.4
2021,Thailand,92.4
2022,Thailand,92.4
2023,Thailand,92.4
2024,Thailand,92.4
2025,Thailand,92.4
2026,Thailand,92.4
2027,Thailand,92.4
2028,Thailand,92.4
2029,Thailand,92.4
2030,Thailand,92.4
2018,Timor-Leste,67.2
2019,Timor-Leste,67.2
2020,Timor-Leste,67.2
2021,Timor-Leste,67.2
2022,Timor-Leste,67.2
2023,Timor-Leste,67.3
2024,Timor-Leste,67.3
2025,Timor-Leste,67.3
2026,Timor-Leste,67.3
2027,Timor-Leste,67.3
2028,Timor-Leste,67.4
2029,Timor-Leste,67.4
2030,Timor-Leste,67.4
2018,Vietnam,81.4
2019,Vietnam,81.4
2020,Vietnam,81.4
2021,Vietnam,81.4
2022,Vietnam,81.4
2023,Vietnam,81.4
2024,Vietnam,81.4
2025,Vietnam,81.4
2026,Vietnam,81.4
2027,Vietnam,81.4
2028,Vietnam,81.4
2029,Vietnam,81.4
2030,Vietnam,81.4
2018,Fiji,4.7
2019,Fiji,4.7
2020,Fiji,4.7
2021,Fiji,4.7
2022,Fiji,4.8
2023,Fiji,4.8
2024,Fiji,4.9
2025,Fiji,5.0
2026,Fiji,5.0
2027,Fiji,5.1
2028,Fiji,5.2
2029,Fiji,5.3
2030,Fiji,5.3
2018,Kiribati,6.9
2019,Kiribati,6.9
2020,Kiribati,6.9
2021,Kiribati,6.9
2022,Kiribati,6.8
2023,Kiribati,6.7
2024,Kiribati,6.6
2025,Kiribati,6.5
2026,Kiribati,6.4
2027,Kiribati,6.5
2028,Kiribati,6.7
2029,Kiribati,6.8
2030,Kiribati,6.9
2018,Marshall Islands,3.8
2019,Marshall Islands,3.7
2020,Marshall Islands,3.7
2021,Marshall Islands,3.6
2022,Marshall Islands,3.6
2023,Marshall Islands,3.5
2024,Marshall Islands,3.4
2025,Marshall Islands,3.4
2026,Marshall Islands,3.3
2027,Marshall Islands,3.3
2028,Marshall Islands,3.2
2029,Marshall Islands,3.2
2030,Marshall Islands,3.1
2018,Federated States of Micronesia,4.0
2019,Federated States of Micronesia,3.9
2020,Federated States of Micronesia,3.7
2021,Federated States of Micronesia,3.6
2022,Federated States of Micronesia,3.5
2023,Federated States of Micronesia,3.4
2024,Federated States of Micronesia,3.3
2025,Federated States of Micronesia,3.2
2026,Federated States of Micronesia,3.1
2027,Federated States of Micronesia,3.1
2028,Federated States of Micronesia,3.0
2029,Federated States of Micronesia,3.0
2030,Federated States of Micronesia,2.9
2018,Papua New Guinea,3.8
2019,Papua New Guinea,3.8
2020,Papua New Guinea,3.8
2021,Papua New Guinea,3.8
2022,Papua New Guinea,3.9
2023,Papua New Guinea,3.9
2024,Papua New Guinea,3.9
2025,Papua New Guinea,4.0
2026,Papua New Guinea,4.0
2027,Papua New Guinea,4.0
2028,Papua New Guinea,4.1
2029,Papua New Guinea,4.1
2030,Papua New Guinea,4.1
2018,Samoa,3.9
2019,Samoa,4.0
2020,Samoa,4.0
2021,Samoa,4.1
2022,Samoa,4.1
2023,Samoa,4.2
2024,Samoa,4.3
2025,Samoa,4.4
2026,Samoa,4.5
2027,Samoa,4.7
2028,Samoa,4.8
2029,Samoa,4.9
2030,Samoa,5.0
2018,Solomon Islands,2.0
2019,Solomon Islands,2.1
2020,Solomon Islands,2.1
2021,Solomon Islands,2.1
2022,Solomon Islands,2.1
2023,Solomon Islands,2.2
2024,Solomon Islands,2.2
2025,Solomon Islands,2.2
2026,Solomon Islands,2.2
2027,Solomon Islands,2.2
2028,Solomon Islands,2.3
2029,Solomon Islands,2.3
2030,Solomon Islands,2.3
2018,Tonga,13.3
2019,Tonga,13.1
2020,Tonga,12.9
2021,Tonga,12.8
2022,Tonga,12.6
2023,Tonga,12.5
2024,Tonga,12.4
2025,Tonga,12.3
2026,Tonga,12.2
2027,Tonga,12.1
2028,Tonga,11.9
2029,Tonga,11.8
2030,Tonga,11.7
2018,Vanuatu,8.6
2019,Vanuatu,8.8
2020,Vanuatu,8.9
2021,Vanuatu,9.1
2022,Vanuatu,9.1
2023,Vanuatu,9.2
2024,Vanuatu,9.2
2025,Vanuatu,9.2
2026,Vanuatu,9.3
2027,Vanuatu,9.4
2028,Vanuatu,9.5
2029,Vanuatu,9.6
2030,Vanuatu,9.8
2018,Armenia,100.0
2019,Armenia,99.9
2020,Armenia,99.9
2021,Armenia,99.9
2022,Armenia,99.9
2023,Armenia,99.9
2024,Armenia,100.0
2025,Armenia,100.0
2026,Armenia,100.0
2027,Armenia,100.0
2028,Armenia,100.0
2029,Armenia,100.0
2030,Armenia,100.0
2018,Azerbaijan,100.0
2019,Azerbaijan,99.9
2020,Azerbaijan,99.9
2021,Azerbaijan,99.9
2022,Azerbaijan,99.9
2023,Azerbaijan,99.9
2024,Azerbaijan,99.9
2025,Azerbaijan,99.9
2026,Azerbaijan,99.9
2027,Azerbaijan,99.9
2028,Azerbaijan,99.9
2029,Azerbaijan,99.9
2030,Azerbaijan,99.9
2018,Georgia,100.0
2019,Georgia,100.0
2020,Georgia,100.0
2021,Georgia,100.0
2022,Georgia,100.0
2023,Georgia,100.0
2024,Georgia,100.0
2025,Georgia,100.0
2026,Georgia,100.0
2027,Georgia,100.0
2028,Georgia,100.0
2029,Georgia,100.0
2030,Georgia,100.0
2018,Kazakhstan,96.0
2019,Kazakhstan,96.0
2020,Kazakhstan,96.0
2021,Kazakhstan,95.9
2022,Kazakhstan,95.9
2023,Kazakhstan,95.9
2024,Kazakhstan,95.9
2025,Kazakhstan,95.9
2026,Kazakhstan,95.8
2027,Kazakhstan,95.8
2028,Kazakhstan,95.8
2029,Kazakhstan,95.8
2030,Kazakhstan,95.8
2018,Kyrgyzstan,100.0
2019,Kyrgyzstan,100.0
2020,Kyrgyzstan,100.0
2021,Kyrgyzstan,100.0
2022,Kyrgyzstan,100.0
2023,Kyrgyzstan,100.0
2024,Kyrgyzstan,100.0
2025,Kyrgyzstan,100.0
2026,Kyrgyzstan,100.0
2027,Kyrgyzstan,100.0
2028,Kyrgyzstan,100.0
2029,Kyrgyzstan,100.0
2030,Kyrgyzstan,100.0
2018,Mongolia,99.9
2019,Mongolia,99.9
2020,Mongolia,99.9
2021,Mongolia,99.9
2022,Mongolia,99.9
2023,Mongolia,100.0
2024,Mongolia,100.0
2025,Mongolia,100.0
2026,Mongolia,100.0
2027,Mongolia,100.0
2028,Mongolia,100.0
2029,Mongolia,100.0
2030,Mongolia,100.0
2018,Tajikistan,100.0
2019,Tajikistan,100.0
2020,Tajikistan,100.0
2021,Tajikistan,100.0
2022,Tajikistan,100.0
2023,Tajikistan,100.0
2024,Tajikistan,100.0
2025,Tajikistan,100.0
2026,Tajikistan,100.0
2027,Tajikistan,100.0
2028,Tajikistan,100.0
2029,Tajikistan,100.0
2030,Tajikistan,100.0
2018,Turkmenistan,99.8
2019,Turkmenistan,99.8
2020,Turkmenistan,99.8
2021,Turkmenistan,99.8
2022,Turkmenistan,99.8
2023,Turkmenistan,99.8
2024,Turkmenistan,99.8
2025,Turkmenistan,99.8
2026,Turkmenistan,99.8
2027,Turkmenistan,99.8
2028,Turkmenistan,99.8
2029,Turkmenistan,99.8
2030,Turkmenistan,99.8
2018,Uzbekistan,100.0
2019,Uzbekistan,100.0
2020,Uzbekistan,100.0
2021,Uzbekistan,100.0
2022,Uzbekistan,100.0
2023,Uzbekistan,100.0
2024,Uzbekistan,100.0
2025,Uzbekistan,100.0
2026,Uzbekistan,100.0
2027,Uzbekistan,100.0
2028,Uzbekistan,100.0
2029,Uzbekistan,100.0
2030,Uzbekistan,100.0
2018,Albania,74.9
2019,Albania,74.7
2020,Albania,74.6
2021,Albania,74.4
2022,Albania,74.3
