year,country,value
2018,China,60.2
2019,China,59.9
2020,China,59.6
2021,China,59.2
2022,China,58.9
2023,China,58.5
2024,China,58.2
2025,China,57.8
2026,China,57.5
2027,China,57.1
2028,China,56.7
2029,China,56.4
2030,China,56.0
2018,North Korea,77.9
2019,North Korea,77.8
2020,North Korea,77.8
2021,North Korea,77.8
2022,North Korea,77.9
2023,North Korea,77.9
2024,North Korea,77.9
2025,North Korea,77.9
2026,North Korea,77.9
2027,North Korea,77.9
2028,North Korea,77.9
2029,North Korea,77.9
2030,North Korea,77.9
2018,Taiwan,58.6
2019,Taiwan,58.3
2020,Taiwan,58.0
2021,Taiwan,57.6
2022,Taiwan,57.1
2023,Taiwan,56.7
2024,Taiwan,56.4
2025,Taiwan,56.1
2026,Taiwan,55.7
2027,Taiwan,55.2
2028,Taiwan,54.9
2029,Taiwan,54.6
2030,Taiwan,54.4
2018,Cambodia,44.9
2019,Cambodia,44.9
2020,Cambodia,45.0
2021,Cambodia,45.0
2022,Cambodia,45.0
2023,Cambodia,45.0
2024,Cambodia,45.0
2025,Cambodia,45.1
2026,Cambodia,45.1
2027,Cambodia,45.1
2028,Cambodia,45.2
2029,Cambodia,45.2
2030,Cambodia,45.2
2018,Indonesia,97.4
2019,Indonesia,97.4
2020,Indonesia,97.4
2021,Indonesia,97.4
2022,Indonesia,97.3
2023,Indonesia,97.3
2024,Indonesia,97.3
2025,Indonesia,97.3
2026,Indonesia,97.2
2027,Indonesia,97.2
2028,Indonesia,97.2
2029,Indonesia,97.1
2030,Indonesia,97.1
2018,Laos,69.2
2019,Laos,69.1
2020,Laos,68.9
2021,Laos,68.8
2022,Laos,68.6
2023,Laos,68.5
2024,Laos,68.3
2025,Laos,68.2
2026,Laos,68.1
2027,Laos,67.9
2028,Laos,67.8
2029,Laos,67.6
2030,Laos,67.5
2018,Malaysia,83.0
2019,Malaysia,83.0
2020,Malaysia,82.9
2021,Malaysia,82.9
2022,Malaysia,82.8
2023,Malaysia,82.8
2024,Malaysia,82.8
2025,Malaysia,82.7
2026,Malaysia,82.7
2027,Malaysia,82.6
2028,Malaysia,82.6
2029,Malaysia,82.5
2030,Malaysia,82.5
2018,Maldives,87.8
2019,Maldives,87.9
2020,Maldives,88.1
2021,Maldives,88.2
2022,Maldives,88.3
2023,Maldives,88.4
2024,Maldives,88.6
2025,Maldives,88.7
2026,Maldives,88.8
2027,Maldives,88.9
2028,Maldives,89.0
2029,Maldives,89.1
2030,Maldives,89.2
2018,Myanmar,87.2
2019,Myanmar,87.0
2020,Myanmar,86.8
2021,Myanmar,86.6
2022,Myanmar,86.4
2023,Myanmar,86.2
2024,Myanmar,85.9
2025,Myanmar,85.7
2026,Myanmar,85.5
2027,Myanmar,85.3
2028,Myanmar,85.1
2029,Myanmar,84.8
2030,Myanmar,84.6
2018,Philippines,68.6
2019,Philippines,68.8
2020,Philippines,69.0
2021,Philippines,69.2
2022,Philippines,69.4
2023,Philippines,69.6
2024,Philippines,69.8
2025,Philippines,69.9
2026,Philippines,70.1
2027,Philippines,70.3
2028,Philippines,70.5
2029,Philippines,70.7
2030,Philippines,70.8
2018,Sri Lanka,66.8
2019,Sri Lanka,66.4
2020,Sri Lanka,66.1
2021,Sri Lanka,65.7
2022,Sri Lanka,65.3
2023,Sri Lanka,65.0
2024,Sri Lanka,64.6
2025,Sri Lanka,64.2
2026,Sri Lanka,63.8
2027,Sri Lanka,63.4
2028,Sri Lanka,63.1
2029,Sri Lanka,62.7
2030,Sri Lanka,62.3
2018,Thailand,53.3
2019,Thailand,53.3
2020,Thailand,53.3
2021,Thailand,53.3
2022,Thailand,53.3
2023,Thailand,53.3
2024,Thailand,53.3
2025,Thailand,53.3
2026,Thailand,53.3
2027,Thailand,53.3
2028,Thailand,53.3
2029,Thailand,53.3
2030,Thailand,53.3
2018,Timor-Leste,99.9
2019,Timor-Leste,99.8
2020,Timor-Leste,99.8
2021,Timor-Leste,99.8
2022,Timor-Leste,99.8
2023,Timor-Leste,99.8
2024,Timor-Leste,99.8
2025,Timor-Leste,99.8
2026,Timor-Leste,99.8
2027,Timor-Leste,99.8
2028,Timor-Leste,99.8
2029,Timor-Leste,99.8
2030,Timor-Leste,99.8
2018,Vietnam,30.9
2019,Vietnam,30.6
2020,Vietnam,30.3
2021,Vietnam,30.0
2022,Vietnam,29.8
2023,Vietnam,29.5
2024,Vietnam,29.2
2025,Vietnam,28.9
2026,Vietnam,28.6
2027,Vietnam,28.3
2028,Vietnam,28.1
2029,Vietnam,27.8
2030,Vietnam,27.5
2018,Fiji,76.4
2019,Fiji,76.2
2020,Fiji,76.0
2021,Fiji,75.8
2022,Fiji,75.6
2023,Fiji,75.4
2024,Fiji,75.2
2025,Fiji,75.0
2026,Fiji,74.8
2027,Fiji,74.6
2028,Fiji,74.4
2029,Fiji,74.2
2030,Fiji,74.0
2018,Kiribati,85.9
2019,Kiribati,85.8
2020,Kiribati,85.8
2021,Kiribati,85.7
2022,Kiribati,85.7
2023,Kiribati,85.6
2024,Kiribati,85.6
2025,Kiribati,85.5
2026,Kiribati,85.5
2027,Kiribati,85.4
2028,Kiribati,85.4
2029,Kiribati,85.4
2030,Kiribati,85.3
2018,Marshall Islands,86.3
2019,Marshall Islands,86.2
2020,Marshall Islands,86.0
2021,Marshall Islands,85.9
2022,Marshall Islands,85.7
2023,Marshall Islands,85.5
2024,Marshall Islands,85.4
2025,Marshall Islands,85.2
2026,Marshall Islands,85.0
