year,country,value
2018,China,98.6
2019,China,98.8
2020,China,99.0
2021,China,99.2
2022,China,99.3
2023,China,99.4
2024,China,99.5
2025,China,99.6
2026,China,99.7
2027,China,99.8
2028,China,99.8
2029,China,99.9
2030,China,99.9
2018,North Korea,87.7
2019,North Korea,88.1
2020,North Korea,88.4
2021,North Korea,88.7
2022,North Korea,89.0
2023,North Korea,89.3
2024,North Korea,89.6
2025,North Korea,89.9
2026,North Korea,90.1
2027,North Korea,90.4
2028,North Korea,90.6
2029,North Korea,90.8
2030,North Korea,91.0
2018,Taiwan,99.7
2019,Taiwan,99.8
2020,Taiwan,99.8
2021,Taiwan,99.8
2022,Taiwan,99.8
2023,Taiwan,99.9
2024,Taiwan,99.9
2025,Taiwan,99.9
2026,Taiwan,99.9
2027,Taiwan,99.9
2028,Taiwan,99.9
2029,Taiwan,99.9
2030,Taiwan,99.9
2018,Cambodia,93.6
2019,Cambodia,94.5
2020,Cambodia,95.3
2021,Cambodia,96.0
2022,Cambodia,96.5
2023,Cambodia,97.1
2024,Cambodia,97.5
2025,Cambodia,97.9
2026,Cambodia,98.2
2027,Cambodia,98.5
2028,Cambodia,98.7
2029,Cambodia,98.9
2030,Cambodia,99.1
2018,Indonesia,86.2
2019,Indonesia,87.2
2020,Indonesia,88.2
2021,Indonesia,89.2
2022,Indonesia,90.0
2023,Indonesia,90.8
2024,Indonesia,91.5
2025,Indonesia,92.2
2026,Indonesia,92.8
2027,Indonesia,93.4
2028,Indonesia,93.9
2029,Indonesia,94.4
2030,Indonesia,94.9
2018,Laos,52.5
2019,Laos,55.6
2020,Laos,58.5
2021,Laos,61.3
2022,Laos,63.9
2023,Laos,66.4
2024,Laos,68.8
2025,Laos,71.1
2026,Laos,73.2
2027,Laos,75.2
2028,Laos,77.0
2029,Laos,78.7
2030,Laos,80.3
2018,Malaysia,99.5
2019,Malaysia,99.6
2020,Malaysia,99.6
2021,Malaysia,99.7
2022,Malaysia,99.7
2023,Malaysia,99.8
2024,Malaysia,99.8
2025,Malaysia,99.9
2026,Malaysia,99.9
2027,Malaysia,99.9
2028,Malaysia,99.9
2029,Malaysia,99.9
2030,Malaysia,99.9
2018,Maldives,99.1
2019,Maldives,99.2
2020,Maldives,99.4
2021,Maldives,99.5
2022,Maldives,99.6
2023,Maldives,99.6
2024,Maldives,99.7
2025,Maldives,99.8
2026,Maldives,99.8
2027,Maldives,99.9
2028,Maldives,99.9
2029,Maldives,99.9
2030,Maldives,99.9
2018,Myanmar,69.5
2019,Myanmar,70.6
2020,Myanmar,71.6
2021,Myanmar,72.6
2022,Myanmar,73.6
2023,Myanmar,74.6
2024,Myanmar,75.5
2025,Myanmar,76.4
2026,Myanmar,77.2
2027,Myanmar,78.0
2028,Myanmar,78.8
2029,Myanmar,79.6
2030,Myanmar,80.3
2018,Philippines,69.8
2019,Philippines,70.8
2020,Philippines,71.8
2021,Philippines,72.8
2022,Philippines,73.8
2023,Philippines,74.7
2024,Philippines,75.5
2025,Philippines,76.4
2026,Philippines,77.1
2027,Philippines,77.9
2028,Philippines,78.6
2029,Philippines,79.3
2030,Philippines,80.0
2018,Sri Lanka,100.0
2019,Sri Lanka,100.0
2020,Sri Lanka,100.0
2021,Sri Lanka,100.0
2022,Sri Lanka,100.0
2023,Sri Lanka,100.0
2024,Sri Lanka,100.0
2025,Sri Lanka,100.0
2026,Sri Lanka,100.0
2027,Sri Lanka,100.0
2028,Sri Lanka,100.0
2029,Sri Lanka,100.0
2030,Sri Lanka,100.0
